variable,status,n_bestanden,n_durchgefallen,median_bestanden,median_durchgefallen,U,p
naiv_modulwert_z,ok,7,7,-0.5736413616938802,-0.4617902816095663,23.5,0.9490036864430583
naiv_modulwert_roh,ok,7,7,2.9162552210975092,3.0959390581346855,11.5,0.10983183147447209
naiv_marker_achsendiff,ok,7,7,-0.45559048611671116,0.14631634692605644,7.0,0.026223776223776224
