n_a,n_b,kontrast,null_mittel,null_sd,z,p,mde80,status,zone,probe,vergleich
12,10,1.320585012435913,0.00011022189412033185,0.14726379847630836,8.966730480975809,9.99950002499875e-05,0.4124488576277837,ok,ChondroProg,Pcw6.1_Proximal_UpperLimb,chondrogen_vs_naiv
17,17,0.191369891166687,0.0001335762290749699,0.11569907100021959,1.6528768406208645,0.10509474526273686,0.32409097502968975,ok,ChondroProg,Pcw6.1_Proximal_UpperLimb,osteogen_vs_adipogen
12,10,1.5682387351989746,6.920603243634105e-05,0.14899268887217976,10.525144160005494,9.99950002499875e-05,0.4172487348745396,ok,ChondroProg,Pcw6.1_s1_Middle_UpperLimb,chondrogen_vs_naiv
17,17,0.19082623720169067,9.995216513052582e-05,0.11723839607716374,1.6268244143414268,0.10839458027098645,0.328367461181189,ok,ChondroProg,Pcw6.1_s1_Middle_UpperLimb,osteogen_vs_adipogen
12,10,1.0714261531829834,0.00010116834915243089,0.14221042734043562,7.53337856350857,9.99950002499875e-05,0.39829036490237213,ok,ChondroProg,Pcw6.1_Distal_UpperLimb,chondrogen_vs_naiv
17,17,0.19904735684394836,-1.2976738112047315e-05,0.11167315073583875,1.7825263482798546,0.08119594020298986,0.3126718453222364,ok,ChondroProg,Pcw6.1_Distal_UpperLimb,osteogen_vs_adipogen
12,10,1.3431503772735596,0.00015969789472874255,0.14737363717480392,9.112828489032083,9.99950002499875e-05,0.4128058819841797,ok,ChondroProg,Pcw6.1_Proximal_LowerLimb,chondrogen_vs_naiv
17,17,0.22312666475772858,0.00012270289519801736,0.11571453492502402,1.9271905816069135,0.06869656517174141,0.32412340068526524,ok,ChondroProg,Pcw6.1_Proximal_LowerLimb,osteogen_vs_adipogen
12,10,1.5374963283538818,0.0001641773222014308,0.14909477263413462,10.311106981625421,9.99950002499875e-05,0.41762954069777836,ok,ChondroProg,Pcw6.1_s2_Middle_UpperLimb,chondrogen_vs_naiv
17,17,0.19964534044265747,0.00011273649539798498,0.11723485479666555,1.7019904557678924,0.0983950802459877,0.3283703299260615,ok,ChondroProg,Pcw6.1_s2_Middle_UpperLimb,osteogen_vs_adipogen
12,10,1.0660457611083984,0.0001314578070770949,0.13994362242247896,7.616740833558022,9.99950002499875e-05,0.3919736005900181,ok,ChondroProg,Pcw6.1_Distal_LowerLimb,chondrogen_vs_naiv
17,17,0.1379251629114151,-0.00019529880369082092,0.10998190598796738,1.2558471366209734,0.17129143542822858,0.3077540379626178,ok,ChondroProg,Pcw6.1_Distal_LowerLimb,osteogen_vs_adipogen
12,10,1.246675968170166,5.229936083778739e-05,0.14409731598679734,8.651262240884124,9.99950002499875e-05,0.40352478412387033,ok,ChondroProg,Pcw5.6_Distal_UpperLimb,chondrogen_vs_naiv
17,17,0.1809256672859192,0.00022994722761213778,0.11338951373492524,1.5935840458821082,0.10689465526723664,0.31772058568540285,ok,ChondroProg,Pcw5.6_Distal_UpperLimb,osteogen_vs_adipogen
12,10,1.429714322090149,0.0001198185162153095,0.14755472167724354,9.688571719859855,9.99950002499875e-05,0.4132730392124972,ok,ChondroProg,Pcw5.6_Middle_UpperLimb,chondrogen_vs_naiv
17,17,0.17623844742774963,0.00034102651113644244,0.1157985773623051,1.5189946623115558,0.12409379531023448,0.3245770431255907,ok,ChondroProg,Pcw5.6_Middle_UpperLimb,osteogen_vs_adipogen
12,10,1.4899693727493286,8.738650637678801e-05,0.14788345935868266,10.074703369153209,9.99950002499875e-05,0.41416107271068825,ok,ChondroProg,Pcw5.6_Proximal_UpperLimb,chondrogen_vs_naiv
17,17,0.15433277189731598,0.0002982583425939083,0.11625721352879703,1.3249458582332834,0.16169191540422978,0.3258184562232256,ok,ChondroProg,Pcw5.6_Proximal_UpperLimb,osteogen_vs_adipogen
12,10,1.1488983631134033,0.00013553026556037366,0.14507301373391557,7.918514982771617,9.99950002499875e-05,0.4063399687205239,ok,ChondroProg,Pcw5.6_Distal_LowerLimb,chondrogen_vs_naiv
17,17,0.13891838490962982,0.00013276388058438898,0.11441195629353763,1.213034245065911,0.18689065546722664,0.3204862415024897,ok,ChondroProg,Pcw5.6_Distal_LowerLimb,osteogen_vs_adipogen
12,10,1.2181648015975952,-0.00014252721907105298,0.1457652552624019,8.358009092245673,9.99950002499875e-05,0.4080001875156542,ok,ChondroProg,Pcw5.6_Middle_LowerLimb,chondrogen_vs_naiv
17,17,0.19007708132266998,0.00036904149958863854,0.11471184607045888,1.6537789803030276,0.09879506024698766,0.3215622104968735,ok,ChondroProg,Pcw5.6_Middle_LowerLimb,osteogen_vs_adipogen
12,10,1.3251831531524658,-0.00010923347040079534,0.14804252129020168,8.952106294008262,9.99950002499875e-05,0.4144098261421639,ok,ChondroProg,Pcw5.6_Proximal_LowerLimb,chondrogen_vs_naiv
