"klasse","ensembl"
"Struktur_ECM","ENSG00000106819"
"Struktur_ECM","ENSG00000292224"
"Struktur_ECM","ENSG00000152595"
"Struktur_ECM","ENSG00000116996"
"Struktur_ECM","ENSG00000142910"
"Struktur_ECM","ENSG00000179403"
"Struktur_ECM","ENSG00000163703"
"Struktur_ECM","ENSG00000173269"
"Struktur_ECM","ENSG00000187720"
"Struktur_ECM","ENSG00000182871"
"Struktur_ECM","ENSG00000292234"
"Struktur_ECM","ENSG00000124749"
"Struktur_ECM","ENSG00000143341"
"Struktur_ECM","ENSG00000132205"
"Struktur_ECM","ENSG00000142449"
"Struktur_ECM","ENSG00000188517"
"Struktur_ECM","ENSG00000196739"
"Struktur_ECM","ENSG00000183798"
"Struktur_ECM","ENSG00000050767"
"Struktur_ECM","ENSG00000164932"
"Struktur_ECM","ENSG00000174348"
"Struktur_ECM","ENSG00000182447"
"Struktur_ECM","ENSG00000206384"
"Struktur_ECM","ENSG00000169876"
"Struktur_ECM","ENSG00000100399"
"Struktur_ECM","ENSG00000164764"
"Struktur_ECM","ENSG00000169436"
"Struktur_ECM","ENSG00000171502"
"Struktur_ECM","ENSG00000168743"
"Struktur_ECM","ENSG00000172752"
"Struktur_ECM","ENSG00000148357"
"Struktur_ECM","ENSG00000101680"
"Struktur_ECM","ENSG00000215018"
"Struktur_ECM","ENSG00000188157"
"Struktur_ECM","ENSG00000187664"
"Struktur_ECM","ENSG00000248109"
"Struktur_ECM","ENSG00000121410"
"Struktur_ECM","ENSG00000175899"
"Struktur_ECM","ENSG00000196136"
"Struktur_ECM","ENSG00000087085"
"Struktur_ECM","ENSG00000107796"
"Struktur_ECM","ENSG00000135744"
"Struktur_ECM","ENSG00000145192"
"Struktur_ECM","ENSG00000162551"
"Struktur_ECM","ENSG00000106927"
"Struktur_ECM","ENSG00000214274"
"Struktur_ECM","ENSG00000154188"
"Struktur_ECM","ENSG00000091879"
"Struktur_ECM","ENSG00000135046"
"Struktur_ECM","ENSG00000182718"
"Struktur_ECM","ENSG00000196975"
"Struktur_ECM","ENSG00000164111"
"Struktur_ECM","ENSG00000197043"
"Struktur_ECM","ENSG00000138279"
"Struktur_ECM","ENSG00000122359"
"Struktur_ECM","ENSG00000132703"
"Struktur_ECM","ENSG00000105290"
"Struktur_ECM","ENSG00000118137"
"Struktur_ECM","ENSG00000110244"
"Struktur_ECM","ENSG00000110245"
"Struktur_ECM","ENSG00000130203"
"Struktur_ECM","ENSG00000091583"
"Struktur_ECM","ENSG00000117601"
"Struktur_ECM","ENSG00000160862"
"Struktur_ECM","ENSG00000101144"
"Struktur_ECM","ENSG00000151914"
"Struktur_ECM","ENSG00000149131"
"Struktur_ECM","ENSG00000173372"
"Struktur_ECM","ENSG00000173369"
"Struktur_ECM","ENSG00000159189"
"Struktur_ECM","ENSG00000179218"
"Struktur_ECM","ENSG00000102924"
"Struktur_ECM","ENSG00000149257"
"Struktur_ECM","ENSG00000054179"
"Struktur_ECM","ENSG00000177697"
"Struktur_ECM","ENSG00000170558"
"Struktur_ECM","ENSG00000140945"
"Struktur_ECM","ENSG00000109861"
"Struktur_ECM","ENSG00000136457"
"Struktur_ECM","ENSG00000105205"
"Struktur_ECM","ENSG00000120885"
"Struktur_ECM","ENSG00000092009"
"Struktur_ECM","ENSG00000163751"
"Struktur_ECM","ENSG00000178772"
"Struktur_ECM","ENSG00000130287"
"Struktur_ECM","ENSG00000173546"
"Struktur_ECM","ENSG00000160213"
"Struktur_ECM","ENSG00000118523"
"Struktur_ECM","ENSG00000164733"
"Struktur_ECM","ENSG00000285132"
"Struktur_ECM","ENSG00000117984"
"Struktur_ECM","ENSG00000100448"
"Struktur_ECM","ENSG00000103811"
"Struktur_ECM","ENSG00000135047"
"Struktur_ECM","ENSG00000163131"
"Struktur_ECM","ENSG00000101160"
"Struktur_ECM","ENSG00000173402"
"Struktur_ECM","ENSG00000206047"
"Struktur_ECM","ENSG00000284983"
"Struktur_ECM","ENSG00000100473"
"Struktur_ECM","ENSG00000075711"
"Struktur_ECM","ENSG00000187908"
"Struktur_ECM","ENSG00000152592"
"Struktur_ECM","ENSG00000083782"
"Struktur_ECM","ENSG00000106823"
"Struktur_ECM","ENSG00000291357"
"Struktur_ECM","ENSG00000184349"
"Struktur_ECM","ENSG00000106780"
"Struktur_ECM","ENSG00000197561"
"Struktur_ECM","ENSG00000277571"
"Struktur_ECM","ENSG00000021355"
"Struktur_ECM","ENSG00000180210"
"Struktur_ECM","ENSG00000117525"
"Struktur_ECM","ENSG00000057593"
"Struktur_ECM","ENSG00000101981"
"Struktur_ECM","ENSG00000131187"
"Struktur_ECM","ENSG00000124491"
"Struktur_ECM","ENSG00000085265"
"Struktur_ECM","ENSG00000160339"
"Struktur_ECM","ENSG00000076716"
"Struktur_ECM","ENSG00000113578"
"Struktur_ECM","ENSG00000070193"
"Struktur_ECM","ENSG00000179399"
"Struktur_ECM","ENSG00000066468"
"Struktur_ECM","ENSG00000104760"
"Struktur_ECM","ENSG00000143631"
"Struktur_ECM","ENSG00000137507"
"Struktur_ECM","ENSG00000266524"
"Struktur_ECM","ENSG00000259384"
"Struktur_ECM","ENSG00000147257"
"Struktur_ECM","ENSG00000090863"
"Struktur_ECM","ENSG00000185245"
"Struktur_ECM","ENSG00000063660"
"Struktur_ECM","ENSG00000112293"
"Struktur_ECM","ENSG00000143321"
"Struktur_ECM","ENSG00000110169"
"Struktur_ECM","ENSG00000113905"
"Struktur_ECM","ENSG00000080824"
"Struktur_ECM","ENSG00000090339"
"Struktur_ECM","ENSG00000188379"
"Struktur_ECM","ENSG00000099769"
"Struktur_ECM","ENSG00000163501"
"Struktur_ECM","ENSG00000104432"
"Struktur_ECM","ENSG00000132470"
"Struktur_ECM","ENSG00000055957"
"Struktur_ECM","ENSG00000151655"
"Struktur_ECM","ENSG00000055955"
"Struktur_ECM","ENSG00000113889"
"Struktur_ECM","ENSG00000167768"
"Struktur_ECM","ENSG00000198910"
"Struktur_ECM","ENSG00000159166"
"Struktur_ECM","ENSG00000100097"
"Struktur_ECM","ENSG00000131981"
"Struktur_ECM","ENSG00000108679"
"Struktur_ECM","ENSG00000171747"
"Struktur_ECM","ENSG00000282992"
"Struktur_ECM","ENSG00000168961"
"Struktur_ECM","ENSG00000074695"
"Struktur_ECM","ENSG00000113083"
"Struktur_ECM","ENSG00000129038"
"Struktur_ECM","ENSG00000134013"
"Struktur_ECM","ENSG00000168056"
"Struktur_ECM","ENSG00000187244"
"Struktur_ECM","ENSG00000134061"
"Struktur_ECM","ENSG00000073670"
"Struktur_ECM","ENSG00000110492"
"Struktur_ECM","ENSG00000140259"
"Struktur_ECM","ENSG00000196611"
"Struktur_ECM","ENSG00000087245"
"Struktur_ECM","ENSG00000149968"
"Struktur_ECM","ENSG00000137673"
"Struktur_ECM","ENSG00000118113"
"Struktur_ECM","ENSG00000100985"
"Struktur_ECM","ENSG00000166670"
