n,konkordanz,konkordanz_null,konkordanz_null_sd,konkordanz_z,konkordanz_p,konkordanz_mde80,rang,rang_null,rang_null_sd,rang_z,rang_p,status,punkt,datensatz,arm
163,0.9386503067484663,0.505239263803681,0.039383646097353016,11.004848100488973,0.0006664445184938354,0.6155134728762695,0.2355160252193673,0.0002569576050228671,0.02279641680720184,10.320002025056036,0.0006664445184938354,ok,1,LAMA5-KO (chondr),chondrogen
163,0.950920245398773,0.4992229038854806,0.03962252710103179,11.400013440877423,0.0006664445184938354,0.6101659797683696,0.25669810736852766,0.0005186751231374649,0.022912599188543853,11.180723327691178,0.0006664445184938354,ok,2,LAMA5-KO (osteo),osteogen
173,1.0,0.5207687861271676,0.03744442698992137,12.798465683606894,0.0006664445184938354,0.6256131816989474,0.25773648672706867,0.0005213943137093093,0.02169390527206056,11.85656013463952,0.0006664445184938354,ok,3,FN1 FNC123R,chondrogen
173,1.0,0.5207687861271676,0.03744442698992137,12.798465683606894,0.0006664445184938354,0.6256131816989474,0.27198460808293473,0.0006001372094065627,0.02168537560943799,12.514630862811305,0.0006664445184938354,ok,4,FN1 FNC231W,chondrogen
29,1.0,0.518632183908046,0.09165147943520079,5.252155437733982,0.0006664445184938354,0.7752563263266081,0.32010556342537794,-0.0006794303326670936,0.053170806338692374,6.033103799755805,0.0006664445184938354,ok,5,SERPINA3-KD,chondrogen
170,0.9705882352941176,0.5098882352941176,0.037892461922661,12.158090992881238,0.0006664445184938354,0.6159871286775684,0.359873181176193,0.00021666701368766515,0.021870138389393484,16.445095488601503,0.0006664445184938354,ok,6,MIR181A1HG-KD,osteogen
135,0.9777777777777777,0.4923851851851852,0.042761334660506314,11.351203054026595,0.0006664445184938354,0.6121169222346029,0.33847221837413843,-0.00033566947935939156,0.024824616305059537,13.648061411706287,0.0006664445184938354,ok,7,LINC01638-KD (GSE227512),osteogen
169,0.8047337278106509,0.4944615384615384,0.03837644588826851,8.084964153597172,0.0006664445184938354,0.6019155869486902,0.18430181609237725,-0.0005245732640447017,0.022370176635866237,8.262178362064818,0.0006664445184938354,ok,8,ARSB / MPS VI (GSE218101),chondrogen
167,0.9161676646706587,0.5185548902195608,0.03882974509271018,10.239901742897224,0.0006664445184938354,0.6272781764791493,0.23094750433789374,0.00030397816246538505,0.022735012155685633,10.14486047317764,0.0006664445184938354,ok,9,ACVR1 / FOP (GSE221128),chondrogen
173,0.9248554913294798,0.49205394990366086,0.03829696365805404,11.30119727741911,0.0006664445184938354,0.5992854481462122,0.2671157955316539,-0.0005504232375256566,0.02222791196219521,12.041896657878658,0.0006664445184938354,ok,10,RNF4-KD (GSE205432),osteogen
166,0.8855421686746988,0.5821566265060241,0.03732465450101266,8.128288023682671,0.0006664445184938354,0.6866656591088596,0.250948838741767,3.942274488434797e-06,0.02298531680668568,10.9176174763137,0.0006664445184938354,ok,11,RB1 +/- (GSE245585),osteogen
169,0.9349112426035503,0.4447593688362919,0.03742277777800256,13.097688169352676,0.0006664445184938354,0.549543146614699,0.34166974013648704,-0.0006230453954175431,0.022144924598905387,15.456940663903815,0.0006664445184938354,ok,12,Nonunion (GSE226565),osteogen
31,1.0,0.5006236559139785,0.09118799999706297,5.476338378976463,0.0006664445184938354,0.7559500559057548,0.3754598732683478,0.0016494104697400913,0.05284368060174319,7.073891495481421,0.0006664445184938354,ok,13,SERPINA3-KD osteo (GSE247528),osteogen
171,0.9707602339181286,0.49866276803118914,0.03763474071549748,12.544193394496698,0.0006664445184938354,0.6040400420345821,0.33748064006751494,0.0005045539270768254,0.02233502302039804,15.08733999659127,0.0006664445184938354,ok,14,ERCC6L2-KD (GSE190542),osteogen
173,0.9364161849710982,0.5180539499036608,0.03711648837647011,11.271600665020266,0.0006664445184938354,0.6219801173577771,0.29807120939712717,-0.0003706491946434108,0.0217363146806608,13.730103882665068,0.0006664445184938354,ok,15,TP53 LFS (GSE102732),osteogen
142,0.7323943661971831,0.5019600938967136,0.0417294780620356,5.522098118694484,0.0006664445184938354,0.6188026324704132,0.10351760449758894,0.0002320311564990675,0.02441043262601875,4.2312061782550785,0.0006664445184938354,ok,16,YAP/TAZ-KD (GSE137035),osteogen
173,0.9710982658959537,0.4911946050096339,0.03855898112638142,12.44596321965514,0.0006664445184938354,0.5991597521635019,0.2900072117056599,-0.0009112919935424119,0.02236295588128139,13.008946815600156,0.0006664445184938354,ok,17,RB1-mut isogen (GSE145235),osteogen
171,0.9766081871345029,0.5089551656920077,0.038028687527443455,12.29737474124009,0.0006664445184938354,0.6154354907688494,0.2755352141979383,0.0003953273252237325,0.022176081560454378,12.407056049223742,0.0006664445184938354,ok,18,RB1-del isogen (GSE145235),osteogen
