variante,status,n,n_osteogen,n_chondrogen,auc,mannwhitney_p
primaer_n7_geeicht,ok,7,2,5,0.2,0.38095238095238093
sensitivitaet_n14_alle,ok,14,5,9,0.5777777777777777,0.6993006993006993
