status,n_satz,n_panel,n_hg,beobachtet,null_mittel,null_sd,z,p,OR_gematcht,mde80_anzahl,OR_mde80,OR_roh,p_roh_fisher,panel,klasse,n_klasse_panel
ok,147,267,11581.0,0.0,4.43205,2.059658929834103,-2.1518368579388936,9.99950002499875e-05,,10.199095003535488,2.3982249697098244,0.0,0.05223066714765967,GWAS,CILIUM,267
ok,147,186,11581.0,5.0,3.73845,1.9057342912010145,0.6619758094424368,0.6394680265986701,1.3493348244988934,9.07450601536284,2.521253498774495,2.1891292506419733,0.08812331549189875,GWAS,ECM_STRUKTUR,186
ok,147,30,11581.0,2.0,0.5416,0.7246348699757273,2.012599807747109,0.2033898305084746,3.7299037335099072,2.5705776359320365,4.812942577305405,5.61871921182266,0.055226698092246874,GWAS,GLYKO_LINKER,30
ok,147,256,11581.0,2.0,4.3947,2.059374652946389,-1.1628287240371025,0.12999350032498386,0.44757768566054873,10.160949028249888,2.4095206470413038,0.6071137659516699,0.7746039225406578,GWAS,LYSOSOM,256
ok,147,358,11581.0,5.0,6.2067,2.4172023608632083,-0.49921347899440016,0.49927503624818764,0.7987353284966701,12.974866610416981,2.1960280727480144,1.1053146071898814,0.8077377761072688,GWAS,SIGNAL_FWBI,358
ok,147,472,11581.0,15.0,7.81165,2.677262158275354,2.6849630611559574,0.02039898005099745,2.024778114040626,15.30798404317099,2.071183916142173,2.7295106425303364,0.000961061944537333,GWAS,TF_DNABINDEND,472
ok,147,595,11581.0,1.0,8.17125,2.7576989833345,-2.600446982552392,0.0005999700014999734,0.11636920291449515,15.8928071533366,2.0595152410127784,0.12499423458327567,0.007304694724006453,GWAS,VESIKEL_SEKRET,595
ok,147,5654,11581.0,80.0,80.01675,5.836520597593596,-0.002869860513626537,0.9235538223088846,0.9995407211615066,96.35900767326207,1.5928519784213884,1.2552951068125466,0.18425129814908403,GWAS,_GESAMT,5654
ok,147,98,11581.0,1.0,1.7312,1.3066108531602207,-0.5596157403954596,0.3494825258737064,0.5747410933583166,5.389710388848618,3.1937118082345157,0.8005225250670809,1.0,KLEIN,CILIUM,98
ok,147,53,11581.0,1.0,0.85885,0.9198200807489731,0.1534539231683952,0.8408579571021448,1.165473343216997,3.4343462260971247,4.070509034792318,1.4992096944151738,0.4926632767935395,KLEIN,ECM_STRUKTUR,53
ok,147,18,11581.0,2.0,0.3135,0.5546468531025691,3.0406735214778564,0.07589620518974051,6.4537865038772475,1.8665111886871935,6.017492580603551,9.843103448275862,0.021433354195281123,KLEIN,GLYKO_LINKER,18
ok,147,71,11581.0,0.0,1.1559,1.0711921221835659,-1.0790781373968301,9.99950002499875e-05,,4.155237942113985,3.6702882976623914,0.0,1.0,KLEIN,LYSOSOM,71
ok,147,115,11581.0,2.0,1.39175,1.1617010867562914,0.5235856339760852,0.8204589770511475,1.4430678319902381,4.644513042917616,3.4134278525546087,1.3818736649374428,0.6588213599935189,KLEIN,SIGNAL_FWBI,115
ok,147,66,11581.0,1.0,1.05485,1.0243993104240943,-0.05354357372350489,0.6944652767361632,0.9476459355059896,3.9231680691874637,3.793731220041595,1.1979978925184405,0.5706591225697749,KLEIN,TF_DNABINDEND,66
ok,147,126,11581.0,1.0,1.65755,1.285052748150159,-0.5116910577768478,0.37708114594270276,0.6005829283440695,5.255697694820445,3.251251796820478,0.6196712328767123,1.0,KLEIN,VESIKEL_SEKRET,126
ok,147,1130,11581.0,11.0,13.71195,3.532846054891492,-0.7676388831732706,0.35998200089995497,0.7862230465354073,23.603918953696176,1.8594081964005036,0.7455777217053041,0.4032415803808402,KLEIN,_GESAMT,1130
ok,147,99,11581.0,1.0,1.73825,1.3092450663004929,-0.5638745709281594,0.34758262086895647,0.5723822770894204,5.40413618564138,3.189442311926213,0.7922840369024322,1.0,KLEIN_BREIT,CILIUM,99
ok,147,53,11581.0,1.0,0.85885,0.9198200807489731,0.1534539231683952,0.8408579571021448,1.165473343216997,3.4343462260971247,4.070509034792318,1.4992096944151738,0.4926632767935395,KLEIN_BREIT,ECM_STRUKTUR,54
ok,147,18,11581.0,2.0,0.3135,0.5546468531025691,3.0406735214778564,0.07589620518974051,6.4537865038772475,1.8665111886871935,6.017492580603551,9.843103448275862,0.021433354195281123,KLEIN_BREIT,GLYKO_LINKER,19
ok,147,71,11581.0,0.0,1.1559,1.0711921221835659,-1.0790781373968301,9.99950002499875e-05,,4.155237942113985,3.6702882976623914,0.0,1.0,KLEIN_BREIT,LYSOSOM,72
ok,147,116,11581.0,2.0,1.3988,1.1647430580688456,0.5161653429356299,0.8253587320633968,1.4357252028832597,4.660080562592768,3.4078152318606256,1.3696309739866908,0.6602366954357985,KLEIN_BREIT,SIGNAL_FWBI,124
ok,147,70,11581.0,2.0,1.1267,1.0583964853286352,0.8251161186810232,0.6169691515424229,1.7857863825697873,4.090210158920178,3.705537016417024,2.3054766734279917,0.22291495474236767,KLEIN_BREIT,TF_DNABINDEND,81
ok,147,126,11581.0,1.0,1.65755,1.285052748150159,-0.5116910577768478,0.37708114594270276,0.6005829283440695,5.255697694820445,3.251251796820478,0.6196712328767123,1.0,KLEIN_BREIT,VESIKEL_SEKRET,129
ok,147,1144,11581.0,12.0,13.8118,3.5445181534937893,-0.5111555143861035,0.5256737163141842,0.8571620723664628,23.73645082978261,1.8569344880097511,0.8089517078916372,0.5781582540339275,KLEIN_BREIT,_GESAMT,1187
ok,147,23,11581.0,1.0,0.5972,0.7732283324495457,0.5209327996608083,0.8996550172491375,1.6791006431841748,2.7622393308587276,4.6947440189814795,3.5529265255292652,0.25479327088388776,NOSO,CILIUM,23
ok,147,15,11581.0,0.0,0.34385,0.5823522423814562,-0.5904502034608275,9.99950002499875e-05,,1.9744362786680774,5.806705642702065,0.0,1.0,NOSO,ECM_STRUKTUR,15
zu klein,147,8,,,,,,,,,,,,NOSO,GLYKO_LINKER,8
ok,147,13,11581.0,0.0,0.1709,0.41448978285236954,-0.4123141439673801,9.99950002499875e-05,,1.3314713919866348,7.853010537342284,0.0,1.0,NOSO,LYSOSOM,13
ok,147,26,11581.0,1.0,0.37915,0.6109942251749683,1.0161307168201292,0.6360681965901704,2.648694177133783,2.089933830489911,5.577231273202087,3.125753424657534,0.28286922342084925,NOSO,SIGNAL_FWBI,26
zu klein,147,4,,,,,,,,,,,,NOSO,TF_DNABINDEND,4
ok,147,17,11581.0,0.0,0.0928,0.3029731830335515,-0.30629773589474174,9.99950002499875e-05,,0.941124912493944,10.200334724337061,0.0,1.0,NOSO,VESIKEL_SEKRET,17
ok,147,154,11581.0,2.0,2.4177,1.5337028141775417,-0.2723474170737532,0.5991700414979251,0.8248494936053503,6.712067879697116,2.8612034821906454,1.023774954627949,0.7230591675328739,NOSO,_GESAMT,154
ok,147,100,11581.0,1.0,2.0398,1.4094024552142792,-0.7377594640573502,0.25318734063296827,0.4867526631001964,5.986126874599981,3.0167913089679126,0.7842119828421198,1.0,NOSO_BREIT,CILIUM,130
ok,147,57,11581.0,1.0,0.8409,0.9107297411598414,0.17469507452055033,0.8594570271486426,1.1904979498482546,3.390943275247556,4.104121438843546,1.3916340508806262,0.5180530884526996,NOSO_BREIT,ECM_STRUKTUR,69
ok,147,17,11581.0,2.0,0.23565,0.4786758130788533,3.6858975360623765,0.04249787510624469,8.590434381790645,1.5759422766207891,6.749275858022317,10.500229885057472,0.019209831813705634,NOSO_BREIT,GLYKO_LINKER,17
ok,147,41,11581.0,0.0,0.5484,0.7422162651473035,-0.738868205604686,9.99950002499875e-05,,2.6266055424124497,4.858524123205959,0.0,1.0,NOSO_BREIT,LYSOSOM,45
ok,147,112,11581.0,1.0,1.25865,1.1014131073496685,-0.23483468489165688,0.5537723113844308,0.7930945256088144,4.342606700579071,3.5247962838169147,0.698691842527459,1.0,NOSO_BREIT,SIGNAL_FWBI,140
ok,147,41,11581.0,1.0,0.41655,0.6454896826026868,0.9038874140442713,0.6825658717064147,2.410265833337444,2.223921111287523,5.405555961391921,1.951027397260274,0.40824640321191535,NOSO_BREIT,TF_DNABINDEND,70
