n_a,n_b,kontrast,null_mittel,null_sd,z,p,mde80,status,zone,probe,vergleich
435,173,0.06134037673473358,-0.00017468588035553695,0.02638338208962151,2.3315836614930214,0.010999450027498626,0.07369878397058469,ok,MesCond,Pcw5.1_WholeLimb_LowerLimb,PA309_vs_Modul
435,173,0.06876014173030853,-0.0002944874543696642,0.026947136806323838,2.5625961556135626,0.004999750012499375,0.07515749560333708,ok,MesCond,Pcw6.1_Distal_UpperLimb,PA309_vs_Modul
435,173,0.07031717151403427,-0.0002718222629278898,0.026583242647110896,2.6553944044382365,0.0039998000099995,0.07416125714898261,ok,MesCond,Pcw6.1_Distal_LowerLimb,PA309_vs_Modul
435,173,0.08372028172016144,-0.0003082575062289834,0.02872994155609035,2.924772369005308,0.001799910004499775,0.080135578850824,ok,MesCond,Pcw5.6_Distal_UpperLimb,PA309_vs_Modul
435,173,0.0744154304265976,-0.0003515315197408199,0.02945512359509134,2.5383346875108086,0.006299685015749213,0.08212281454651493,ok,MesCond,Pcw5.6_Middle_UpperLimb,PA309_vs_Modul
435,173,0.08670350909233093,-0.00024155146051198245,0.029137795910253096,2.9839271584110594,0.0007999600019999,0.08134427708819668,ok,MesCond,Pcw5.6_Proximal_UpperLimb,PA309_vs_Modul
435,173,0.0909702330827713,-0.00024866262003779414,0.028790891168273887,3.168324841689087,0.0006999650017499125,0.08036583265112908,ok,MesCond,Pcw5.6_Distal_LowerLimb,PA309_vs_Modul
435,173,0.09512791037559509,-0.0003423888217657804,0.030166773923878832,3.164750047130175,0.0006999650017499125,0.08412457816509494,ok,MesCond,Pcw5.6_Middle_LowerLimb,PA309_vs_Modul
435,173,0.07490234076976776,-0.00024557728823274374,0.029309581205437443,2.563936943734264,0.006499675016249188,0.08182125008699209,ok,MesCond,Pcw5.6_Proximal_LowerLimb,PA309_vs_Modul
435,173,0.07027499377727509,-0.0002674861220642924,0.029121939813957956,2.422313910062022,0.009699515024248788,0.08127394535701798,ok,ChondroProg,Pcw5.1_WholeLimb_LowerLimb,PA309_vs_Modul
435,173,0.10377225279808044,-0.0003071663480252027,0.02954242608606546,3.5230491511730553,0.000199990000499975,0.08241162669295808,ok,ChondroProg,Pcw7.2_s1_Thigh_LowerLimb,PA309_vs_Modul
435,173,0.08118045330047607,-0.00037822468392550946,0.030348857577351254,2.687372260274706,0.00279986000699965,0.084598576532658,ok,ChondroProg,Pcw7.2_s2_Thigh_LowerLimb,PA309_vs_Modul
435,173,0.10600821673870087,-0.0003601549865677953,0.029502555698658887,3.6053951668364754,0.000199990000499975,0.08224700096967708,ok,ChondroProg,Pcw6.5_Thigh_LowerLimb,PA309_vs_Modul
435,173,0.11527524888515472,-0.00029899939484894276,0.02910022648111574,3.9715927418985637,0.000199990000499975,0.08118163475227513,ok,ChondroProg,Pcw5.4_s1_Thigh_LowerLimb,PA309_vs_Modul
435,173,0.10677509754896164,-0.00028453691080212594,0.02895520516520935,3.6974227552149936,0.000199990000499975,0.08079003755178404,ok,ChondroProg,Pcw5.4_s2_Thigh_LowerLimb,PA309_vs_Modul
435,173,0.11639098823070526,-0.00034533611871302125,0.030392850725762692,3.8409139505451524,0.000199990000499975,0.08475464591342251,ok,ChondroProg,Pcw6.1_Proximal_UpperLimb,PA309_vs_Modul
435,173,0.12499949336051941,-0.0003574757680296898,0.030883251195659444,4.059059984790969,9.99950002499875e-05,0.08611562757981675,ok,ChondroProg,Pcw6.1_s1_Middle_UpperLimb,PA309_vs_Modul
435,173,0.10711883008480072,-0.00022845489364117384,0.029283867424028585,3.665748223213139,9.99950002499875e-05,0.08176637389363886,ok,ChondroProg,Pcw6.1_Distal_UpperLimb,PA309_vs_Modul
435,173,0.11814109981060028,-0.00034568176958709953,0.030426876592340793,3.894148688597681,0.000199990000499975,0.08484957268896712,ok,ChondroProg,Pcw6.1_Proximal_LowerLimb,PA309_vs_Modul
435,173,0.12353591620922089,-0.00036121957693248987,0.030905516044301064,4.008900404981261,9.99950002499875e-05,0.08617422534711049,ok,ChondroProg,Pcw6.1_s2_Middle_UpperLimb,PA309_vs_Modul
435,173,0.11136175692081451,-0.00017774998899549246,0.02880526955366527,3.87219104830829,0.000199990000499975,0.08047700476126726,ok,ChondroProg,Pcw6.1_Distal_LowerLimb,PA309_vs_Modul
435,173,0.1136370599269867,-0.00023720516301691533,0.029678791730240656,3.836890198396235,9.99950002499875e-05,0.08286341168165692,ok,ChondroProg,Pcw5.6_Distal_UpperLimb,PA309_vs_Modul
435,173,0.11391164362430573,-0.0003330759286880493,0.030468377817533504,3.7496160851481193,0.000199990000499975,0.08497838196040576,ok,ChondroProg,Pcw5.6_Middle_UpperLimb,PA309_vs_Modul
435,173,0.11945314705371857,-0.00033074024058878424,0.030453027459368377,3.9333983281014575,9.99950002499875e-05,0.08493773664564266,ok,ChondroProg,Pcw5.6_Proximal_UpperLimb,PA309_vs_Modul
435,173,0.10957013070583344,-0.00024257667064666748,0.029862223432577613,3.6773118259065085,9.99950002499875e-05,0.08337164894057064,ok,ChondroProg,Pcw5.6_Distal_LowerLimb,PA309_vs_Modul
435,173,0.11010788381099701,-0.00033027454316616057,0.030018931761913354,3.678950311425873,0.000199990000499975,0.08372273439019123,ok,ChondroProg,Pcw5.6_Middle_LowerLimb,PA309_vs_Modul
435,173,0.11666160821914673,-0.0003135443590581417,0.030494058868277312,3.8359981228964255,9.99950002499875e-05,0.08506982047211832,ok,ChondroProg,Pcw5.6_Proximal_LowerLimb,PA309_vs_Modul
435,173,0.12047351151704788,-0.00031943406369537114,0.029854175642467878,4.046098844843467,9.99950002499875e-05,0.08327225773521468,ok,RestingChon,Pcw7.2_s1_Thigh_LowerLimb,PA309_vs_Modul
435,173,0.12238916009664536,-0.0003154456090182066,0.02974867233398802,4.1247086366766315,9.99950002499875e-05,0.08298083692614824,ok,RestingChon,Pcw7.2_s2_Thigh_LowerLimb,PA309_vs_Modul
