"ensembl","satz"
"ENSG00000172757","S_ZELLZYKLUS"
"ENSG00000180198","S_ZELLZYKLUS"
"ENSG00000170004","S_ZELLZYKLUS"
"ENSG00000149554","S_ZELLZYKLUS"
"ENSG00000053254","S_ZELLZYKLUS"
"ENSG00000173207","S_ZELLZYKLUS"
"ENSG00000123975","S_ZELLZYKLUS"
"ENSG00000141367","S_ZELLZYKLUS"
"ENSG00000173846","S_ZELLZYKLUS"
"ENSG00000115966","S_ZELLZYKLUS"
"ENSG00000008405","S_ZELLZYKLUS"
"ENSG00000112062","S_ZELLZYKLUS"
"ENSG00000141551","S_ZELLZYKLUS"
"ENSG00000101266","S_ZELLZYKLUS"
"ENSG00000070770","S_ZELLZYKLUS"
"ENSG00000159692","S_ZELLZYKLUS"
"ENSG00000168036","S_ZELLZYKLUS"
"ENSG00000083799","S_ZELLZYKLUS"
"ENSG00000140465","S_ZELLZYKLUS"
"ENSG00000111012","S_ZELLZYKLUS"
"ENSG00000276644","S_ZELLZYKLUS"
"ENSG00000167657","S_ZELLZYKLUS"
"ENSG00000092345","S_ZELLZYKLUS"
"ENSG00000078725","S_ZELLZYKLUS"
"ENSG00000204843","S_ZELLZYKLUS"
"ENSG00000167986","S_ZELLZYKLUS"
"ENSG00000116717","S_ZELLZYKLUS"
"ENSG00000175197","S_ZELLZYKLUS"
"ENSG00000215301","S_ZELLZYKLUS"
"ENSG00000013573","S_ZELLZYKLUS"
"ENSG00000180096","S_ZELLZYKLUS"
"ENSG00000075711","S_ZELLZYKLUS"
"ENSG00000137090","S_ZELLZYKLUS"
"ENSG00000138346","S_ZELLZYKLUS"
"ENSG00000197102","S_ZELLZYKLUS"
"ENSG00000079805","S_ZELLZYKLUS"
"ENSG00000117505","S_ZELLZYKLUS"
"ENSG00000149295","S_ZELLZYKLUS"
"ENSG00000151577","S_ZELLZYKLUS"
"ENSG00000120129","S_ZELLZYKLUS"
"ENSG00000108861","S_ZELLZYKLUS"
"ENSG00000101412","S_ZELLZYKLUS"
"ENSG00000007968","S_ZELLZYKLUS"
"ENSG00000282899","S_ZELLZYKLUS"
"ENSG00000112242","S_ZELLZYKLUS"
"ENSG00000167967","S_ZELLZYKLUS"
"ENSG00000114346","S_ZELLZYKLUS"
"ENSG00000078401","S_ZELLZYKLUS"
"ENSG00000124205","S_ZELLZYKLUS"
"ENSG00000151617","S_ZELLZYKLUS"
"ENSG00000138798","S_ZELLZYKLUS"
"ENSG00000146648","S_ZELLZYKLUS"
"ENSG00000151247","S_ZELLZYKLUS"
"ENSG00000187840","S_ZELLZYKLUS"
"ENSG00000114867","S_ZELLZYKLUS"
"ENSG00000110321","S_ZELLZYKLUS"
"ENSG00000066629","S_ZELLZYKLUS"
"ENSG00000143420","S_ZELLZYKLUS"
"ENSG00000151491","S_ZELLZYKLUS"
"ENSG00000104884","S_ZELLZYKLUS"
"ENSG00000124882","S_ZELLZYKLUS"
"ENSG00000163161","S_ZELLZYKLUS"
"ENSG00000175595","S_ZELLZYKLUS"
"ENSG00000225830","S_ZELLZYKLUS"
"ENSG00000134954","S_ZELLZYKLUS"
"ENSG00000085276","S_ZELLZYKLUS"
"ENSG00000185862","S_ZELLZYKLUS"
"ENSG00000291721","S_ZELLZYKLUS"
"ENSG00000106462","S_ZELLZYKLUS"
"ENSG00000187741","S_ZELLZYKLUS"
"ENSG00000144554","S_ZELLZYKLUS"
"ENSG00000078098","S_ZELLZYKLUS"
"ENSG00000168496","S_ZELLZYKLUS"
"ENSG00000182511","S_ZELLZYKLUS"
"ENSG00000138685","S_ZELLZYKLUS"
"ENSG00000107831","S_ZELLZYKLUS"
"ENSG00000070193","S_ZELLZYKLUS"
"ENSG00000077782","S_ZELLZYKLUS"
"ENSG00000066468","S_ZELLZYKLUS"
"ENSG00000022267","S_ZELLZYKLUS"
"ENSG00000176165","S_ZELLZYKLUS"
"ENSG00000054598","S_ZELLZYKLUS"
"ENSG00000186790","S_ZELLZYKLUS"
"ENSG00000111206","S_ZELLZYKLUS"
"ENSG00000196924","S_ZELLZYKLUS"
"ENSG00000102384","S_ZELLZYKLUS"
