status,n_satz,beobachtet,null_mittel,null_sd,z,p,mde80_delta,delta_beobachtet,lauf,zielgroesse,matching,satz
ok,355,0.7529832498233435,0.7074175473837995,0.014463239238308412,3.1504493349494864,0.001999000499750125,0.04049706986726355,0.045565702439544054,P1_expression_ohne_pub,expr_rank_med,laenge,PA309
ok,154,0.7397505422779015,0.7076674149368825,0.022534925390035213,1.4237068366423777,0.1489255372313843,0.06309779109209859,0.032083127341019035,P1_expression_ohne_pub,expr_rank_med,laenge,NOSO
ok,539,0.7441561548784059,0.7074537544166964,0.012108428943261555,3.031144720235128,0.001999000499750125,0.03390360104113235,0.03670240046170947,P1_expression_ohne_pub,expr_rank_med,laenge,NOSO_BREIT
ok,1129,0.748702022787294,0.7103567610557747,0.008067736963697383,4.752914219199576,0.0009995002498750624,0.02258966349835267,0.03834526173151931,P1_expression_ohne_pub,expr_rank_med,laenge,KLEIN
ok,5649,0.718711812143756,0.7055678846778735,0.0038265832582769733,3.434899119848493,0.0009995002498750624,0.010714433123175524,0.013143927465882554,P1_expression_ohne_pub,expr_rank_med,laenge,GWAS
ok,1296,0.7399763755359683,0.7005268152893539,0.007877757125776236,5.007714710768926,0.0009995002498750624,0.022057719952173458,0.03944956024661439,P1_expression_ohne_pub,expr_rank_med,laenge,ZELLZYKLUS_NK
ok,147,0.6766025867305305,0.7021409325905862,0.022991590335609075,-1.1107690023731067,0.2718640679660169,0.06437645293970541,-0.025538345860055656,P1_expression_ohne_pub,expr_rank_med,laenge,PROGRAMM
ok,355,0.7529832498233435,0.7582378681915423,0.013214697531528855,-0.39763440333475514,0.6906546726636682,0.037001153088280794,-0.005254618368198738,P1_expression_mit_pub,expr_rank_med,laenge+log_pub,PA309
ok,154,0.7397505422779015,0.7617080751459653,0.019820383289320034,-1.1078258451185115,0.2848575712143928,0.05549707321009609,-0.02195753286806379,P1_expression_mit_pub,expr_rank_med,laenge+log_pub,NOSO
ok,539,0.7441561548784059,0.7576912838823311,0.010692556345290765,-1.2658459368218655,0.22488755622188905,0.02993915776681414,-0.013535129003925173,P1_expression_mit_pub,expr_rank_med,laenge+log_pub,NOSO_BREIT
ok,1129,0.748702022787294,0.7653571065118697,0.007377667477341107,-2.2574999179250272,0.026986506746626625,0.0206574689365551,-0.016655083724575692,P1_expression_mit_pub,expr_rank_med,laenge+log_pub,KLEIN
ok,5649,0.718711812143756,0.7144931356247771,0.0033702269595373858,1.251748493388697,0.2178910544727636,0.009436635486704679,0.004218676518978892,P1_expression_mit_pub,expr_rank_med,laenge+log_pub,GWAS
ok,1296,0.7399763755359683,0.761287499841373,0.006993195817902361,-3.047408489670618,0.003998000999500217,0.01958094829012661,-0.021311124305404716,P1_expression_mit_pub,expr_rank_med,laenge+log_pub,ZELLZYKLUS_NK
ok,147,0.6766025867305305,0.7043504197223456,0.021277891459772484,-1.304068734642927,0.19490254872563728,0.059578096087362954,-0.027747832991815047,P1_expression_mit_pub,expr_rank_med,laenge+log_pub,PROGRAMM
ok,353,0.64,0.6225545,0.033604116534645546,0.5191477056691506,0.6586706646676662,0.09409152629700752,0.017445500000000003,P3_loeuf_ohne_pub,loeuf,expr_rank_med+laenge,PA309
ok,153,0.637,0.6264359999999999,0.05030909864729592,0.20998189758996877,0.8685657171414293,0.14086547621242856,0.010564000000000129,P3_loeuf_ohne_pub,loeuf,expr_rank_med+laenge,NOSO
ok,537,0.636,0.6265935,0.027603808484907236,0.34076819527070396,0.7936031984007996,0.07729066375774025,0.009406499999999984,P3_loeuf_ohne_pub,loeuf,expr_rank_med+laenge,NOSO_BREIT
ok,1124,0.548,0.6096245,0.019741158943390704,-3.1216252387569026,0.001999000499750114,0.05527524504149397,-0.06162449999999997,P3_loeuf_ohne_pub,loeuf,expr_rank_med+laenge,KLEIN
ok,5613,0.616,0.6688965,0.00941818129043022,-5.616424059892323,0.0009995002498750624,0.02637090761320461,-0.05289650000000001,P3_loeuf_ohne_pub,loeuf,expr_rank_med+laenge,GWAS
ok,1292,0.5545,0.676827,0.0174981617272191,-6.99084863352905,0.0009995002498750624,0.04899485283621347,-0.12232699999999996,P3_loeuf_ohne_pub,loeuf,expr_rank_med+laenge,ZELLZYKLUS_NK
ok,147,0.741,0.720961,0.053937279260702645,0.37152411605974245,0.7016491754122939,0.1510243819299674,0.02003900000000003,P3_loeuf_ohne_pub,loeuf,expr_rank_med+laenge,PROGRAMM
ok,353,0.64,0.5781839999999999,0.033870366766134016,1.8250761920242355,0.06996501749125437,0.09483702694517523,0.06181600000000009,P3_loeuf_mit_pub,loeuf,expr_rank_med+laenge+log_pub,PA309
ok,153,0.637,0.5724215,0.049604759386846276,1.3018609665330683,0.23388305847076463,0.13889332628316955,0.06457849999999998,P3_loeuf_mit_pub,loeuf,expr_rank_med+laenge+log_pub,NOSO
ok,537,0.636,0.5708979999999999,0.027323833771013394,2.3826085514055437,0.021989005497251374,0.0765067345588375,0.0651020000000001,P3_loeuf_mit_pub,loeuf,expr_rank_med+laenge+log_pub,NOSO_BREIT
ok,1124,0.548,0.5418475,0.017219211491011594,0.357304398242138,0.7216391804097951,0.04821379217483246,0.006152500000000005,P3_loeuf_mit_pub,loeuf,expr_rank_med+laenge+log_pub,KLEIN
ok,5613,0.616,0.6559055,0.008548983115327412,-4.667865108828411,0.0009995002498750624,0.023937152722916754,-0.03990550000000004,P3_loeuf_mit_pub,loeuf,expr_rank_med+laenge+log_pub,GWAS
ok,1292,0.5545,0.59615675,0.016395974152873968,-2.540669411380977,0.011994002998500852,0.045908727628047104,-0.04165675000000002,P3_loeuf_mit_pub,loeuf,expr_rank_med+laenge+log_pub,ZELLZYKLUS_NK
ok,147,0.741,0.7018325,0.05026265622761621,0.7792564687116538,0.42478760619690153,0.1407354374373254,0.03916750000000002,P3_loeuf_mit_pub,loeuf,expr_rank_med+laenge+log_pub,PROGRAMM
ok,355,0.387400852313168,0.40571682452031194,0.025895003587672535,-0.7073168437738062,0.44677661169415295,0.0725060100454831,-0.018315972207143927,P2_dynamik_mit_pub,dWT_abs,expr_rank_med+laenge+log_pub,PA309
ok,154,0.4114916315965127,0.41383874730021125,0.03911308375821242,-0.06000845441407416,0.9795102448775612,0.10951663452299477,-0.0023471157036985546,P2_dynamik_mit_pub,dWT_abs,expr_rank_med+laenge+log_pub,NOSO
ok,539,0.379873867822009,0.40399570849222083,0.020931710973066016,-1.1524065424585088,0.24587706146926536,0.05860879072458484,-0.024121840670211836,P2_dynamik_mit_pub,dWT_abs,expr_rank_med+laenge+log_pub,NOSO_BREIT
ok,1129,0.391439934859597,0.4060897045625353,0.014643248284382723,-1.000445353273326,0.33083458270864563,0.041001095196271625,-0.014649769702938298,P2_dynamik_mit_pub,dWT_abs,expr_rank_med+laenge+log_pub,KLEIN
ok,5649,0.390475384762369,0.395150991992818,0.0057647885856516555,-0.8110630877403608,0.35382308845577204,0.016141408039824636,-0.004675607230449019,P2_dynamik_mit_pub,dWT_abs,expr_rank_med+laenge+log_pub,GWAS
ok,1296,0.46402525775828724,0.4117608971018073,0.014064156236803188,3.7161390826784313,0.0009995002498750624,0.03937963746304892,0.052264360656479936,P2_dynamik_mit_pub,dWT_abs,expr_rank_med+laenge+log_pub,ZELLZYKLUS_NK
