variante,n,status,beobachtet,null_mittel,null_sd,z,p
primaer_n7_geeicht,7,ok,0.42857142857142866,0.19838839285714288,0.2786025519101948,0.8262057692439349,0.6697912760904887
sensitivitaet_n14_alle,14,ok,0.19801992180625097,0.18892530684196054,0.1443727409242718,0.06299398976612107,0.9666291713535808
