status,n_satz,beobachtet,null_mittel,null_sd,z,p,mde80_wert,mde80_delta,delta_beobachtet,pruefung,satz
ok,355,0.7529832498233435,0.7079572100645023,0.014483363305372534,3.1088110412958456,0.0029985007496251873,0.7485106273195454,0.04055341725504309,0.04502603975884123,P1_absolute_expression,PA309
ok,154,0.7397505422779015,0.7069962404259272,0.02223050205460951,1.4733946076212268,0.12993503248375812,0.7692416461788338,0.06224540575290662,0.032754301851974255,P1_absolute_expression,NOSO
ok,539,0.7441561548784059,0.7082870671957971,0.012040460174540111,2.9790462459611766,0.004997501249375313,0.7420003556845095,0.03371328848871231,0.03586908768260877,P1_absolute_expression,NOSO_BREIT
ok,1130,0.7485579933050402,0.7110130444412422,0.008491074738846062,4.421695723867855,0.0009995002498750624,0.7347880537100112,0.023775009268768972,0.037544948863798,P1_absolute_expression,KLEIN
ok,5654,0.7187353878578995,0.705715967879939,0.0038016286440656455,3.4246953600488776,0.0009995002498750624,0.7163605280833227,0.010644560203383807,0.013019419977960522,P1_absolute_expression,GWAS
ok,1296,0.7399763755359683,0.7007962386250454,0.0076908375806067145,5.0943914105948505,0.0009995002498750624,0.7223305838507441,0.0215343452256988,0.039180136910922925,P1_absolute_expression,ZELLZYKLUS_NK
ok,147,0.6766025867305305,0.7013995159888494,0.023446002633503306,-1.0576186331603141,0.29885057471264376,0.7670483233626587,0.06564880737380925,-0.02479692925831889,P1_absolute_expression,PROGRAMM
ok,355,0.387400852313168,0.39596382098766536,0.024702774662783096,-0.3466399540695409,0.7316341829085458,0.46513159004345805,0.06916776905579267,-0.008562968674497351,P2_dynamik_dWT_abs,PA309
ok,154,0.4114916315965127,0.3979229686211345,0.03795061772517556,0.35753470664528975,0.657671164417791,0.504184698251626,0.10626172963049156,0.013568662975378176,P2_dynamik_dWT_abs,NOSO
ok,539,0.379873867822009,0.39483294552471754,0.01993845922050081,-0.7502624720032306,0.4397801099450276,0.4506606313421198,0.055827685817402266,-0.014959077702708545,P2_dynamik_dWT_abs,NOSO_BREIT
ok,1130,0.39149999675611147,0.39545624154824827,0.013151994757620576,-0.30080948670120605,0.7956021989005497,0.4322818268695859,0.03682558532133761,-0.003956244792136798,P2_dynamik_dWT_abs,KLEIN
ok,5654,0.39048529752840977,0.39367113173654844,0.005762343944482845,-0.5528712341423055,0.5327336331834083,0.4098056947811004,0.016134563044551964,-0.0031858342081386715,P2_dynamik_dWT_abs,GWAS
ok,1296,0.46402525775828724,0.39561346781868495,0.012954171551667434,5.281062526209672,0.0009995002498750624,0.43188514816335377,0.036271680344668815,0.06841178993960229,P2_dynamik_dWT_abs,ZELLZYKLUS_NK
ok,147,1.135480222821935,0.3995180289146233,0.03934717945269245,18.704318940882846,0.0009995002498750624,0.5096901313821621,0.11017210246753885,0.7359621939073117,P2_dynamik_dWT_abs,PROGRAMM
ok,353,0.64,0.6212375,0.034643703422749465,0.5415847079351006,0.6326836581709145,0.7182398695836985,0.0970023695836985,0.018762500000000015,P3_loeuf,PA309
ok,153,0.637,0.631746,0.05185493179028864,0.10132112450264465,0.9625187406296851,0.7769398090128082,0.14519380901280818,0.005253999999999981,P3_loeuf,NOSO
ok,537,0.636,0.625961,0.027953536074878715,0.35913166667389423,0.7936031984007996,0.7042309010096603,0.0782699010096604,0.01003900000000002,P3_loeuf,NOSO_BREIT
ok,1125,0.548,0.6093345,0.019826021923791518,-3.09363624411197,0.0029985007496251656,0.6648473613866163,0.05551286138661625,-0.06133449999999996,P3_loeuf,KLEIN
ok,5618,0.6154999999999999,0.66632625,0.009185389029502876,-5.533380223390587,0.0009995002498750624,0.692045339282608,0.025719089282608052,-0.05082625000000007,P3_loeuf,GWAS
ok,1292,0.5545,0.674313,0.017214817918816003,-6.959876111674873,0.0009995002498750624,0.7225144901726849,0.048201490172684804,-0.11981300000000006,P3_loeuf,ZELLZYKLUS_NK
ok,147,0.741,0.7189355000000001,0.05115329578418963,0.43134073106623927,0.6326836581709145,0.862164728195731,0.14322922819573095,0.02206449999999993,P3_loeuf,PROGRAMM
