panel,symbol,ensembl,mode_of_inheritance,confidence_level
PA309,NOTCH1,ENSG00000148400,"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown",3
PA309,NOTCH2,ENSG00000134250,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,NPR2,ENSG00000159899,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,NPR3,ENSG00000113389,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,NSD1,ENSG00000165671,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,NSDHL,ENSG00000147383,"X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)",3
PA309,NT5E,ENSG00000135318,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,NXN,ENSG00000167693,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,OBSL1,ENSG00000124006,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,OFD1,ENSG00000046651,"X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)",3
PA309,ORC1,ENSG00000085840,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,ORC4,ENSG00000115947,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,ORC6,ENSG00000091651,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,OSTM1,ENSG00000081087,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,P3H1,ENSG00000117385,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,P4HB,ENSG00000185624,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,PAPSS2,ENSG00000198682,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,PAX3,ENSG00000135903,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,PCNT,ENSG00000160299,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,PCYT1A,ENSG00000161217,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,PDE3A,ENSG00000172572,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,PDE4D,ENSG00000113448,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,PEX5,ENSG00000139197,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,PEX7,ENSG00000112357,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,PGM3,ENSG00000013375,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,PHEX,ENSG00000102174,"X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)",3
PA309,PHGDH,ENSG00000092621,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,PIGT,ENSG00000124155,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,PIGV,ENSG00000060642,"BIALLELIC, autosomal or pseudoautosomal",3
