"klasse","ensembl"
"ECM_STRUKTUR","ENSG00000138615"
"ECM_STRUKTUR","ENSG00000181092"
"ECM_STRUKTUR","ENSG00000164176"
"ECM_STRUKTUR","ENSG00000132464"
"ECM_STRUKTUR","ENSG00000116690"
"ECM_STRUKTUR","ENSG00000156575"
"ECM_STRUKTUR","ENSG00000262655"
"ECM_STRUKTUR","ENSG00000140092"
"ECM_STRUKTUR","ENSG00000133110"
"ECM_STRUKTUR","ENSG00000127951"
"ECM_STRUKTUR","ENSG00000138080"
"ECM_STRUKTUR","ENSG00000087303"
"ECM_STRUKTUR","ENSG00000138722"
"ECM_STRUKTUR","ENSG00000149506"
"ECM_STRUKTUR","ENSG00000101825"
"ECM_STRUKTUR","ENSG00000154175"
"ECM_STRUKTUR","ENSG00000188770"
"ECM_STRUKTUR","ENSG00000102359"
"ECM_STRUKTUR","ENSG00000172638"
"ECM_STRUKTUR","ENSG00000080573"
"ECM_STRUKTUR","ENSG00000081148"
"ECM_STRUKTUR","ENSG00000106819"
"ECM_STRUKTUR","ENSG00000292224"
"ECM_STRUKTUR","ENSG00000152595"
"ECM_STRUKTUR","ENSG00000116996"
"ECM_STRUKTUR","ENSG00000142910"
"ECM_STRUKTUR","ENSG00000179403"
"ECM_STRUKTUR","ENSG00000163703"
"ECM_STRUKTUR","ENSG00000173269"
"ECM_STRUKTUR","ENSG00000187720"
"ECM_STRUKTUR","ENSG00000182871"
"ECM_STRUKTUR","ENSG00000292234"
"ECM_STRUKTUR","ENSG00000124749"
"ECM_STRUKTUR","ENSG00000143341"
"ECM_STRUKTUR","ENSG00000132205"
"ECM_STRUKTUR","ENSG00000142449"
"ECM_STRUKTUR","ENSG00000188517"
"ECM_STRUKTUR","ENSG00000196739"
"ECM_STRUKTUR","ENSG00000183798"
"ECM_STRUKTUR","ENSG00000050767"
"ECM_STRUKTUR","ENSG00000164932"
"ECM_STRUKTUR","ENSG00000174348"
"ECM_STRUKTUR","ENSG00000182447"
"ECM_STRUKTUR","ENSG00000206384"
"ECM_STRUKTUR","ENSG00000169876"
"ECM_STRUKTUR","ENSG00000100399"
"ECM_STRUKTUR","ENSG00000164764"
"ECM_STRUKTUR","ENSG00000169436"
"ECM_STRUKTUR","ENSG00000171502"
"ECM_STRUKTUR","ENSG00000168743"
"ECM_STRUKTUR","ENSG00000172752"
"ECM_STRUKTUR","ENSG00000148357"
"ECM_STRUKTUR","ENSG00000101680"
"ECM_STRUKTUR","ENSG00000215018"
"ECM_STRUKTUR","ENSG00000188157"
"ECM_STRUKTUR","ENSG00000187664"
"ECM_STRUKTUR","ENSG00000248109"
"ECM_STRUKTUR","ENSG00000097007"
