satz,n_kohorten,mittlerer_z,median_z,min_z,max_z,mittleres_U,ueber_mde80
Laesionsantwort,4,-0.9387034553605673,-0.2555458223138791,-4.141157843926077,0.8974356671115663,0.4849052946222177,0
Programm,4,-0.6928714685619182,-0.5991896306406819,-3.9546356980362742,2.3815290850699653,0.4910342304289722,0
