"ensembl","expr","expr_rank","arm","klasse","punkt","label","n_undiff","n_diff"
"ENSG00000001561",6.78755105030261,0.531614487415592,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
"ENSG00000002933",1.66727110453025,0.0724370779619398,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
"ENSG00000003056",11.55884317479,0.958563535911602,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
"ENSG00000003137",4.33896661774099,0.317065684468999,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
"ENSG00000004478",9.88070941646976,0.859116022099447,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
"ENSG00000004799",6.12978919039297,0.466850828729282,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
"ENSG00000005022",11.9228612571168,0.970534069981584,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
"ENSG00000005073",4.2270791889855,0.307857581338244,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
"ENSG00000005700",9.30452692348564,0.799570288520565,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
"ENSG00000006210",4.35387869744632,0.31767955801105,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
"ENSG00000006451",10.4274579231508,0.902394106813996,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
"ENSG00000006606",5.52714721091326,0.41743400859423,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
"ENSG00000006634",7.70807042307855,0.61817065684469,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
"ENSG00000006831",9.73688925448211,0.846531614487416,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
"ENSG00000007376",9.2424714468436,0.79158993247391,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
"ENSG00000007520",6.03271972942212,0.455187231430325,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
"ENSG00000007968",3.81301800020164,0.278084714548803,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
"ENSG00000008018",11.7637043015,0.96316758747698,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
"ENSG00000010310",2.07604779138659,0.116022099447514,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
"ENSG00000013275",11.2908005943654,0.949969306322897,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
"ENSG00000013288",10.497182367489,0.907612031921424,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
"ENSG00000013293",4.91394604062862,0.365254757519951,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
"ENSG00000013392",7.72948364461449,0.621546961325967,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
"ENSG00000014164",9.64357759665957,0.836402701043585,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
"ENSG00000015479",8.36038893258106,0.689073050951504,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
"ENSG00000019995",6.85374472702541,0.537139349294045,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
"ENSG00000023318",10.7855610067254,0.923265807243708,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
"ENSG00000023516",9.06746877213899,0.769797421731123,"osteogen","N",13,"SERPINA3-KD osteo (GSE247528)",6,12
