"ensembl","expr","expr_rank","arm","klasse","punkt","label","n_undiff","n_diff"
"ENSG00000000003",10.4469241987957,0.862824704487479,"chondrogen","M",3,"FN1 FNC123R",6,6
"ENSG00000000005",11.7188038759632,0.950238925017066,"chondrogen","M",3,"FN1 FNC123R",6,6
"ENSG00000000419",10.0357999650796,0.82527934466281,"chondrogen","M",3,"FN1 FNC123R",6,6
"ENSG00000000457",8.62820274158498,0.701685050120361,"chondrogen","M",3,"FN1 FNC123R",6,6
"ENSG00000000460",8.1989020478394,0.672187690870549,"chondrogen","M",3,"FN1 FNC123R",6,6
"ENSG00000000938",3.37869710636392,0.427550030539288,"chondrogen","M",3,"FN1 FNC123R",6,6
"ENSG00000000971",11.4764763351902,0.937556138396867,"chondrogen","M",3,"FN1 FNC123R",6,6
"ENSG00000001036",11.3999659480224,0.933424352387454,"chondrogen","M",3,"FN1 FNC123R",6,6
"ENSG00000001084",9.77529870650673,0.800596414328315,"chondrogen","M",3,"FN1 FNC123R",6,6
"ENSG00000001167",10.1165176642163,0.832500988035785,"chondrogen","M",3,"FN1 FNC123R",6,6
"ENSG00000001460",8.0650849597158,0.664103761721697,"chondrogen","M",3,"FN1 FNC123R",6,6
"ENSG00000001461",11.0254347997924,0.908633636330974,"chondrogen","M",3,"FN1 FNC123R",6,6
"ENSG00000001497",9.52558503651026,0.776811698343693,"chondrogen","M",3,"FN1 FNC123R",6,6
"ENSG00000001561",5.93178197454324,0.561348040096289,"chondrogen","M",3,"FN1 FNC123R",6,6
"ENSG00000001617",9.71140304811159,0.794775985341142,"chondrogen","M",3,"FN1 FNC123R",6,6
"ENSG00000001629",11.8714192576425,0.957280925520066,"chondrogen","M",3,"FN1 FNC123R",6,6
"ENSG00000001630",9.25059018898494,0.752200625157188,"chondrogen","M",3,"FN1 FNC123R",6,6
"ENSG00000001631",8.32330511429103,0.679660834261488,"chondrogen","M",3,"FN1 FNC123R",6,6
"ENSG00000002016",8.37149439334985,0.682571048755075,"chondrogen","M",3,"FN1 FNC123R",6,6
"ENSG00000002079",2.18805002367892,0.34042323860166,"chondrogen","M",3,"FN1 FNC123R",6,6
"ENSG00000002330",9.75010237427976,0.798117342722667,"chondrogen","M",3,"FN1 FNC123R",6,6
"ENSG00000002549",11.587938201712,0.944202924585923,"chondrogen","M",3,"FN1 FNC123R",6,6
"ENSG00000002586",12.9053132192476,0.982430927316495,"chondrogen","M",3,"FN1 FNC123R",6,6
