"ensembl","expr","expr_rank","arm","klasse","punkt","label","n_undiff","n_diff"
"ENSG00000040608",1.35853572412635,0.0718402095612312,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000280159",2.02813312610337,0.11041257367387,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000185681",0.776575403050972,0.031041257367387,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000178015",3.59885008433515,0.183562540929928,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000161860",4.383319505238,0.215913555992141,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000259803",2.13030007700085,0.11683038637852,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000139547",2.60074494286136,0.1396201702685,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000119283",2.68593595332819,0.144138834315652,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000181374",1.728435702801,0.0942370661427636,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000171766",3.26211671964149,0.168631303208906,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000185269",1.5982227788052,0.0865749836280288,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000154227",0.580500779310313,0.0168958742632613,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000173338",1.88692041532979,0.103274394237066,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000104888",2.62514549140369,0.14060248853962,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000197153",2.58295340967557,0.138899803536346,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000033122",1.2977875353994,0.0681074001309758,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000163347",1.96595965747005,0.107203667321546,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000179133",2.43292464768678,0.131565160445318,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000113924",2.42677394103045,0.131106745252128,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000166183",1.54297228800834,0.0831041257367387,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000277957",3.0193366864766,0.158611656843484,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000214212",3.77586886709714,0.190373280943026,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000187715",1.37913166383046,0.0734774066797642,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000173486",3.22598650955196,0.16732154551408,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000166359",2.15897401190908,0.117943680419122,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000144452",1.35373900038508,0.0715782580222659,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000284554",1.79417984423458,0.0988212180746562,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000131771",3.76622457898016,0.189914865749836,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000038295",2.99110739390167,0.157301899148657,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000271092",0.889994563960444,0.0402750491159136,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000067840",2.87814167043928,0.152324819908317,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000152936",4.49273295458933,0.220890635232482,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000206432",1.12402600146788,0.0576948264571054,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000188707",1.05420048605666,0.0525212835625409,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000152939",1.12580201084159,0.0579567779960707,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000002745",2.10520173326496,0.115258677144728,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000277157",0.811018724664723,0.0337917485265226,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000261456",1.91294606103809,0.104322200392927,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000276180",2.54938526269178,0.136673215455141,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000288520",2.10998900519663,0.115455140798952,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000154146",4.3530347749707,0.214603798297315,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000279613",1.66655033216488,0.0903077930582842,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
