"ensembl","expr","expr_rank","arm","klasse","punkt","label","n_undiff","n_diff"
"ENSG00000001561",7.61004782879223,0.655162738496072,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000003056",12.111852967421,0.973063973063973,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000003137",4.25373727633191,0.366161616161616,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000004478",9.65644822949785,0.84371492704826,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000004799",9.29734555037828,0.813131313131313,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000005022",11.8919394858908,0.964927048260382,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000005073",5.11938050284299,0.432098765432099,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000005381",0.208038092364622,0.00224466891133558,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000005421",0.330907586517971,0.00392817059483726,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000005700",10.1564257574965,0.882996632996633,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000006210",2.09207344592568,0.145903479236813,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000006451",10.6746671168023,0.913299663299663,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000006606",5.10672766088984,0.430695847362514,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000006634",8.34787859775189,0.718013468013468,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000006831",8.60053254035104,0.739337822671156,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000007376",5.4078726517221,0.457631874298541,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000007520",5.27643323716529,0.442760942760943,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000007968",2.09850112875421,0.147867564534231,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000008018",12.3912296040042,0.979517396184063,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000010310",4.35785694705324,0.374579124579125,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000013275",10.900436190178,0.931537598204265,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000013288",8.49226955722408,0.730078563411897,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000013293",4.45416894274858,0.38047138047138,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000013392",8.01309256332897,0.689674523007856,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000014164",4.54668074012759,0.387205387205387,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000015479",9.19096952941602,0.802188552188552,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000019995",7.68738215543037,0.662457912457912,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000023318",11.4291707177126,0.953984287317621,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000023516",9.75156088246064,0.854096520763187,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000023608",11.2387394559094,0.947250280583614,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000025772",10.0988535994522,0.878226711560045,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000027644",1.46946360074894,0.0726711560044893,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000029559",10.6989357654057,0.914983164983165,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000031691",6.83983296159915,0.583052749719416,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000033050",10.1858007148153,0.884399551066218,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000034510",14.9143544672414,0.998035914702581,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000034713",11.0467259168274,0.939674523007856,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000035681",9.052235025456,0.785353535353535,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000036530",5.45511055556731,0.46043771043771,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000037042",8.99188266771781,0.778900112233446,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000037241",10.1482690010628,0.881874298540965,"chondrogen","N",5,"SERPINA3-KD",6,12
"ENSG00000037965",7.4749928536532,0.641694725028058,"chondrogen","N",5,"SERPINA3-KD",6,12
