"go","groesse","nA_3","nB_3","nA_4","nB_4","nA_5","nB_5","nA_11","nB_11","nA_13","nB_13","nA_14","nB_14","nA_15","nB_15","nA_17","nB_17","nA_18","nB_18","min_nA","min_nB","testbar","name"
"GO:0046513",79,19,846,21,886,2,138,27,1562,2,130,14,685,10,725,14,673,15,711,2,130,FALSE,"ceramide biosynthetic process"
"GO:0046530",83,22,849,23,889,5,138,21,1563,1,132,14,689,20,731,21,676,24,713,1,132,FALSE,"photoreceptor cell differentiation"
"GO:0046545",109,40,845,42,885,12,137,40,1554,6,132,26,686,24,728,28,676,26,712,6,132,FALSE,"development of primary female sexual characteristics"
"GO:0046546",166,59,845,63,884,9,137,60,1559,6,132,30,689,43,726,37,672,42,713,6,132,FALSE,"development of primary male sexual characteristics"
"GO:0046578",58,22,849,22,889,0,138,21,1564,1,132,18,691,15,732,11,678,15,715,0,132,FALSE,"regulation of Ras protein signal transduction"
"GO:0046596",78,22,851,22,891,1,138,12,1564,4,132,13,690,11,732,18,677,17,717,1,132,FALSE,"regulation of viral entry into host cell"
"GO:0046605",59,17,843,17,883,2,138,27,1555,1,132,17,688,10,731,13,676,19,714,1,132,FALSE,"regulation of centrosome cycle"
"GO:0046620",106,40,847,42,887,6,137,28,1560,3,131,19,689,31,726,17,675,28,714,3,131,FALSE,"regulation of organ growth"
"GO:0046622",55,17,847,17,887,1,138,11,1561,0,132,10,690,13,728,9,677,15,716,0,132,FALSE,"positive regulation of organ growth"
"GO:0046626",74,20,845,20,885,3,137,30,1559,4,131,24,690,23,730,16,675,17,713,3,131,FALSE,"regulation of insulin receptor signaling pathway"
"GO:0046631",272,83,838,87,877,11,138,62,1557,13,132,44,685,47,724,54,671,47,710,11,132,FALSE,"alpha-beta T cell activation"
"GO:0046632",157,57,839,60,878,7,138,46,1557,8,132,28,686,32,725,30,671,31,710,7,132,FALSE,"alpha-beta T cell differentiation"
"GO:0046633",64,24,851,25,891,3,138,11,1565,5,132,11,691,17,731,19,678,12,717,3,132,FALSE,"alpha-beta T cell proliferation"
"GO:0046634",185,57,843,60,882,6,138,38,1561,7,132,28,687,34,727,34,674,28,713,6,132,FALSE,"regulation of alpha-beta T cell activation"
"GO:0046635",115,38,847,39,886,4,138,27,1562,5,132,18,689,26,729,21,675,16,715,4,132,FALSE,"positive regulation of alpha-beta T cell activation"
"GO:0046636",66,26,847,29,887,3,138,14,1562,2,132,9,689,12,730,14,676,12,715,2,132,FALSE,"negative regulation of alpha-beta T cell activation"
"GO:0046637",104,38,844,40,883,5,138,30,1561,4,132,15,688,25,728,18,674,16,713,4,132,FALSE,"regulation of alpha-beta T cell differentiation"
"GO:0046638",80,27,847,28,886,4,138,22,1562,3,132,11,689,19,730,14,675,12,715,3,132,FALSE,"positive regulation of alpha-beta T cell differentiation"
"GO:0046640",61,22,851,23,891,3,138,10,1565,5,132,11,691,14,731,18,678,11,717,3,132,FALSE,"regulation of alpha-beta T cell proliferation"
"GO:0046651",389,120,845,129,884,19,135,80,1554,15,130,60,684,87,724,74,670,77,710,15,130,TRUE,"lymphocyte proliferation"
"GO:0046660",126,50,845,52,885,13,137,46,1553,6,132,30,685,29,727,30,676,28,712,6,132,FALSE,"female sex differentiation"
"GO:0046661",190,67,845,73,884,13,137,70,1559,6,132,35,689,47,726,40,672,47,713,6,132,FALSE,"male sex differentiation"
