"go","groesse","nA_3","nB_3","nA_4","nB_4","nA_5","nB_5","nA_11","nB_11","nA_13","nB_13","nA_14","nB_14","nA_15","nB_15","nA_17","nB_17","nA_18","nB_18","min_nA","min_nB","testbar","name"
"GO:0000018",146,44,838,46,877,3,137,72,1548,8,131,33,684,19,725,26,672,30,711,3,131,FALSE,"regulation of DNA recombination"
"GO:0000041",112,29,848,30,888,6,138,33,1560,0,132,29,687,31,731,28,677,37,713,0,132,FALSE,"transition metal ion transport"
"GO:0000045",137,41,847,40,887,3,137,57,1555,2,130,32,682,36,727,41,671,49,708,2,130,FALSE,"autophagosome assembly"
"GO:0000070",214,86,837,89,875,6,136,94,1540,7,130,62,677,30,728,33,670,38,707,6,130,FALSE,"mitotic sister chromatid segregation"
"GO:0000075",233,80,829,83,868,5,135,81,1528,7,130,60,669,28,717,40,661,40,701,5,130,FALSE,"cell cycle checkpoint signaling"
"GO:0000077",157,46,833,48,873,3,135,49,1535,6,130,30,674,19,717,26,663,28,703,3,130,FALSE,"DNA damage checkpoint signaling"
"GO:0000079",90,34,846,35,885,3,137,27,1555,4,131,22,686,13,728,11,675,13,714,3,131,FALSE,"regulation of cyclin-dependent protein serine/threonine kinase activity"
"GO:0000082",271,90,836,95,876,5,135,98,1531,3,130,51,675,48,711,44,666,52,703,3,130,FALSE,"G1/S transition of mitotic cell cycle"
"GO:0000086",160,48,842,52,881,2,135,59,1546,2,131,40,683,26,721,24,671,36,711,2,131,FALSE,"G2/M transition of mitotic cell cycle"
"GO:0000184",55,11,844,11,883,1,138,15,1543,2,129,7,685,6,726,4,673,7,712,1,129,FALSE,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
"GO:0000209",304,105,842,110,882,16,137,147,1548,9,130,69,683,85,721,71,667,85,704,9,130,FALSE,"protein polyubiquitination"
"GO:0000245",109,0,818,0,857,0,136,2,1504,0,129,0,678,0,715,0,660,0,698,0,129,FALSE,"spliceosomal complex assembly"
"GO:0000271",67,26,846,26,886,7,138,24,1562,3,132,13,691,18,730,19,676,27,716,3,132,FALSE,"polysaccharide biosynthetic process"
"GO:0000281",96,41,845,40,885,3,138,39,1560,1,131,27,684,21,730,29,675,30,709,1,131,FALSE,"mitotic cytokinesis"
"GO:0000288",73,13,824,14,863,3,136,15,1532,4,129,6,678,6,716,6,666,7,704,3,129,FALSE,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
"GO:0000302",210,75,836,76,877,8,137,75,1549,13,130,48,682,65,724,52,668,57,704,8,130,FALSE,"response to reactive oxygen species"
"GO:0000375",390,8,746,9,779,1,120,19,1339,1,123,4,622,3,665,1,613,1,649,1,120,FALSE,"RNA splicing, via transesterification reactions"
"GO:0000377",386,8,749,9,782,1,120,19,1343,1,123,4,624,3,667,1,614,1,651,1,120,FALSE,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"
"GO:0000380",79,3,828,4,865,0,134,8,1521,0,129,2,679,0,715,1,670,1,702,0,129,FALSE,"alternative mRNA splicing, via spliceosome"
"GO:0000381",60,2,832,3,869,0,134,6,1534,0,129,1,684,0,719,0,672,0,705,0,129,FALSE,"regulation of alternative mRNA splicing, via spliceosome"
"GO:0000387",70,1,837,1,877,0,134,3,1534,0,130,1,684,0,719,0,677,0,716,0,130,FALSE,"spliceosomal snRNP assembly"
"GO:0000398",386,8,749,9,782,1,120,19,1343,1,123,4,624,3,667,1,614,1,651,1,120,FALSE,"mRNA splicing, via spliceosome"
"GO:0000422",120,36,845,35,884,1,138,56,1558,5,132,30,686,42,727,40,674,48,712,1,132,FALSE,"autophagy of mitochondrion"
"GO:0000423",99,29,845,27,884,1,138,42,1559,4,132,24,687,35,728,29,676,37,714,1,132,FALSE,"mitophagy"
"GO:0000723",192,48,830,48,869,3,134,81,1527,5,131,29,675,21,717,27,667,25,707,3,131,FALSE,"telomere maintenance"
"GO:0000724",195,67,834,71,874,4,136,110,1539,7,131,51,676,28,723,39,667,40,706,4,131,FALSE,"double-strand break repair via homologous recombination"
"GO:0000725",201,70,834,74,874,4,136,112,1537,7,131,51,676,29,723,39,667,40,706,4,131,FALSE,"recombinational repair"
"GO:0000768",72,20,851,21,891,2,138,11,1565,1,132,10,691,20,730,13,678,15,716,1,132,FALSE,"syncytium formation by plasma membrane fusion"
"GO:0000819",257,97,835,100,873,6,136,117,1538,8,130,72,677,37,726,37,670,43,706,6,130,FALSE,"sister chromatid segregation"
"GO:0000910",201,69,840,69,879,7,137,73,1554,4,130,49,679,39,727,38,669,48,703,4,130,FALSE,"cytokinesis"
"GO:0000956",151,22,816,24,853,3,136,34,1498,5,126,16,667,12,705,10,658,13,695,3,126,FALSE,"nuclear-transcribed mRNA catabolic process"
"GO:0000959",56,6,841,5,881,2,134,12,1533,2,127,5,672,4,717,4,669,5,704,2,127,FALSE,"mitochondrial RNA metabolic process"
"GO:0001101",157,53,842,56,882,7,138,55,1554,5,129,47,684,38,726,34,669,40,707,5,129,FALSE,"response to acid chemical"
"GO:0001504",57,16,850,16,890,0,138,12,1565,1,132,7,691,11,732,12,678,8,717,0,132,FALSE,"neurotransmitter uptake"
"GO:0001508",192,44,850,48,889,10,138,49,1559,7,132,34,687,55,727,42,675,50,713,7,132,FALSE,"action potential"
"GO:0001510",87,3,837,3,876,1,132,5,1502,0,127,0,664,0,707,1,649,2,692,0,127,FALSE,"RNA methylation"
"GO:0001523",105,20,850,24,890,5,138,27,1564,1,132,20,690,31,731,28,677,24,716,1,132,FALSE,"retinoid metabolic process"
"GO:0001539",228,53,851,54,891,8,137,64,1564,6,132,44,690,46,729,74,674,75,712,6,132,FALSE,"cilium or flagellum-dependent cell motility"
"GO:0001541",60,22,848,23,888,9,137,21,1556,4,132,11,686,17,729,17,676,16,714,4,132,FALSE,"ovarian follicle development"
"GO:0001558",455,142,829,142,868,21,134,155,1533,14,128,99,680,102,712,85,668,95,701,14,128,FALSE,"regulation of cell growth"
"GO:0001570",92,42,848,41,887,5,138,34,1561,4,132,24,687,28,727,19,676,22,716,4,132,FALSE,"vasculogenesis"
"GO:0001578",140,39,850,39,889,3,138,43,1563,3,132,35,689,36,730,48,677,45,715,3,132,FALSE,"microtubule bundle formation"
"GO:0001580",64,11,851,11,891,3,138,4,1565,0,132,2,691,3,732,10,678,13,717,0,132,FALSE,"detection of chemical stimulus involved in sensory perception of bitter taste"
"GO:0001649",304,104,839,107,878,20,135,76,1540,15,130,64,679,69,726,52,670,56,709,15,130,TRUE,"osteoblast differentiation"
"GO:0001654",450,131,836,140,876,24,137,140,1550,15,130,102,681,126,725,97,668,108,704,15,130,TRUE,"eye development"
"GO:0001655",68,35,849,35,889,11,138,26,1564,7,132,21,691,23,731,15,677,17,717,7,132,FALSE,"urogenital system development"
"GO:0001656",101,31,847,35,887,8,138,33,1562,6,132,25,688,28,730,18,675,14,714,6,132,FALSE,"metanephros development"
"GO:0001657",106,34,847,36,887,15,138,30,1560,11,132,25,688,34,726,15,673,17,714,11,132,FALSE,"ureteric bud development"
"GO:0001658",66,21,849,23,889,12,138,19,1561,7,132,16,688,23,729,7,676,9,716,7,132,FALSE,"branching involved in ureteric bud morphogenesis"
"GO:0001659",209,64,839,63,879,11,135,78,1551,13,127,56,685,70,723,53,673,53,710,11,127,FALSE,"temperature homeostasis"
"GO:0001666",348,135,831,137,871,14,136,113,1539,19,129,63,672,84,711,67,664,73,699,14,129,FALSE,"response to hypoxia"
"GO:0001667",249,103,843,104,882,7,137,84,1556,8,132,66,687,72,724,58,675,71,711,7,132,FALSE,"ameboidal-type cell migration"
"GO:0001676",117,29,848,31,888,4,137,33,1562,6,131,30,689,36,729,39,677,36,715,4,131,FALSE,"long-chain fatty acid metabolic process"
"GO:0001678",185,56,839,56,878,9,136,56,1548,7,129,42,685,50,725,41,671,44,708,7,129,FALSE,"intracellular glucose homeostasis"
"GO:0001701",442,140,825,150,865,24,132,152,1512,19,128,109,670,97,703,87,653,102,692,19,128,TRUE,"in utero embryonic development"
"GO:0001704",151,61,847,63,887,7,137,41,1556,9,132,37,688,41,726,24,673,34,711,7,132,FALSE,"formation of primary germ layer"
"GO:0001706",69,28,849,31,889,4,138,22,1561,4,132,19,690,21,731,11,677,19,714,4,132,FALSE,"endoderm formation"
"GO:0001707",87,32,849,32,889,4,137,19,1561,6,132,19,690,21,727,16,674,20,714,4,132,FALSE,"mesoderm formation"
"GO:0001708",126,27,847,30,887,6,138,29,1560,6,132,25,688,38,728,21,674,23,714,6,132,FALSE,"cell fate specification"
"GO:0001709",70,19,851,18,891,2,138,10,1565,2,132,13,691,12,731,11,678,11,716,2,132,FALSE,"cell fate determination"
"GO:0001738",59,13,849,15,889,1,138,15,1564,0,132,11,690,16,732,16,678,15,715,0,132,FALSE,"morphogenesis of a polarized epithelium"
"GO:0001754",64,14,849,15,889,3,138,17,1563,1,132,11,689,15,732,16,677,20,714,1,132,FALSE,"eye photoreceptor cell differentiation"
"GO:0001755",58,26,851,27,891,1,138,17,1565,0,132,13,691,22,732,13,678,13,717,0,132,FALSE,"neural crest cell migration"
"GO:0001756",67,22,847,22,887,5,138,24,1554,4,132,16,688,20,729,14,674,15,713,4,132,FALSE,"somitogenesis"
"GO:0001763",238,76,843,80,883,17,138,73,1556,16,132,61,686,63,728,44,674,44,714,16,132,TRUE,"morphogenesis of a branching structure"
"GO:0001764",198,67,846,68,886,9,138,56,1556,9,131,41,686,52,729,35,675,42,714,9,131,FALSE,"neuron migration"
"GO:0001774",75,19,850,19,890,2,138,13,1564,4,132,13,689,10,732,14,677,20,716,2,132,FALSE,"microglial cell activation"
"GO:0001776",127,50,847,53,887,9,138,43,1561,2,131,31,689,39,729,35,676,37,714,2,131,FALSE,"leukocyte homeostasis"
"GO:0001818",473,131,834,134,874,15,138,87,1547,15,131,66,678,92,720,84,670,88,709,15,131,TRUE,"negative regulation of cytokine production"
"GO:0001822",342,112,842,120,882,26,137,116,1553,21,130,99,685,100,723,76,667,80,704,21,130,TRUE,"kidney development"
"GO:0001823",111,36,847,38,887,15,138,33,1560,11,132,26,688,36,726,16,673,18,714,11,132,FALSE,"mesonephros development"
"GO:0001824",142,37,843,42,883,6,135,41,1542,5,129,26,683,21,719,30,668,36,706,5,129,FALSE,"blastocyst development"
"GO:0001825",57,11,849,12,889,3,136,17,1555,3,131,9,689,6,728,9,674,15,713,3,131,FALSE,"blastocyst formation"
"GO:0001836",59,22,849,25,889,4,138,21,1562,2,132,13,689,22,728,15,676,18,716,2,132,FALSE,"release of cytochrome c from mitochondria"
"GO:0001837",214,67,842,65,882,15,137,62,1551,10,131,50,682,49,724,39,673,43,710,10,131,FALSE,"epithelial to mesenchymal transition"
"GO:0001838",131,39,846,40,886,5,138,48,1554,5,132,29,687,37,728,24,673,26,714,5,132,FALSE,"embryonic epithelial tube formation"
"GO:0001841",105,31,846,33,886,2,138,39,1555,3,132,23,688,29,728,23,674,24,714,2,132,FALSE,"neural tube formation"
"GO:0001843",93,27,846,29,886,2,138,33,1555,2,132,20,688,27,728,18,674,16,714,2,132,FALSE,"neural tube closure"
"GO:0001881",52,15,847,16,888,4,138,26,1560,2,132,13,685,19,730,14,672,14,710,2,132,FALSE,"receptor recycling"
"GO:0001885",78,31,851,31,891,3,138,22,1565,5,132,26,691,21,732,18,678,20,717,3,132,FALSE,"endothelial cell development"
"GO:0001889",162,47,841,51,879,13,137,38,1551,4,132,30,685,36,724,34,672,42,714,4,132,FALSE,"liver development"
"GO:0001890",157,48,840,51,880,8,137,50,1549,11,132,41,684,42,724,26,672,38,714,8,132,FALSE,"placenta development"
"GO:0001892",90,25,843,27,883,5,137,29,1559,8,132,23,688,23,727,16,675,22,715,5,132,FALSE,"embryonic placenta development"
"GO:0001894",297,88,841,92,882,12,137,81,1554,12,131,66,678,72,724,73,669,80,704,12,131,FALSE,"tissue homeostasis"
"GO:0001895",60,16,850,17,891,2,138,19,1565,1,132,10,690,22,730,21,675,23,714,1,132,FALSE,"retina homeostasis"
"GO:0001906",471,92,848,93,888,13,138,62,1563,20,132,54,689,69,731,82,677,65,716,13,132,FALSE,"cell killing"
"GO:0001909",330,52,848,53,888,7,138,37,1563,9,132,34,689,37,731,50,677,40,716,7,132,FALSE,"leukocyte mediated cytotoxicity"
"GO:0001910",239,36,849,39,889,6,138,22,1564,8,132,25,690,22,732,36,678,29,717,6,132,FALSE,"regulation of leukocyte mediated cytotoxicity"
"GO:0001911",107,12,851,12,891,0,138,8,1565,2,132,7,691,6,732,11,678,10,717,0,132,FALSE,"negative regulation of leukocyte mediated cytotoxicity"
"GO:0001912",145,27,850,30,890,4,138,12,1564,5,132,17,691,16,732,28,678,23,717,4,132,FALSE,"positive regulation of leukocyte mediated cytotoxicity"
"GO:0001913",138,28,850,30,890,3,138,13,1565,5,132,20,690,15,732,26,678,21,717,3,132,FALSE,"T cell mediated cytotoxicity"
"GO:0001914",130,23,850,26,890,3,138,7,1565,5,132,16,690,11,732,22,678,19,717,3,132,FALSE,"regulation of T cell mediated cytotoxicity"
"GO:0001916",109,20,851,23,891,3,138,6,1565,5,132,13,691,8,732,17,678,14,717,3,132,FALSE,"positive regulation of T cell mediated cytotoxicity"
"GO:0001933",260,68,839,71,879,13,135,85,1540,12,129,63,675,68,722,59,670,63,710,12,129,FALSE,"negative regulation of protein phosphorylation"
"GO:0001935",215,68,843,72,883,7,137,52,1556,5,132,38,685,45,729,42,672,46,708,5,132,FALSE,"endothelial cell proliferation"
"GO:0001936",191,63,845,67,885,6,138,45,1560,5,132,33,688,39,730,37,676,40,712,5,132,FALSE,"regulation of endothelial cell proliferation"
"GO:0001937",88,21,848,22,888,1,138,14,1564,1,132,12,690,12,731,14,676,15,714,1,132,FALSE,"negative regulation of endothelial cell proliferation"
"GO:0001938",110,43,847,47,887,4,138,32,1561,3,132,23,689,27,731,27,678,28,714,3,132,FALSE,"positive regulation of endothelial cell proliferation"
"GO:0001942",105,33,845,36,884,9,137,32,1560,1,131,21,691,28,730,15,676,20,711,1,131,FALSE,"hair follicle development"
"GO:0001947",70,23,850,23,890,4,138,19,1562,2,132,20,690,25,732,19,677,25,716,2,132,FALSE,"heart looping"
"GO:0001952",141,40,844,43,883,6,138,33,1555,3,132,27,685,36,726,32,673,40,709,3,132,FALSE,"regulation of cell-matrix adhesion"
"GO:0001954",58,22,849,23,889,2,138,13,1561,2,132,13,689,22,731,16,676,19,715,2,132,FALSE,"positive regulation of cell-matrix adhesion"
"GO:0001959",214,88,839,88,878,7,137,66,1549,5,130,54,681,45,725,51,672,48,711,5,130,FALSE,"regulation of cytokine-mediated signaling pathway"
"GO:0001960",112,42,845,44,885,2,137,30,1555,2,131,28,685,21,728,30,676,25,714,2,131,FALSE,"negative regulation of cytokine-mediated signaling pathway"
"GO:0001961",79,34,846,32,885,4,138,20,1561,3,131,15,687,14,729,18,675,19,714,3,131,FALSE,"positive regulation of cytokine-mediated signaling pathway"
"GO:0001974",52,18,848,20,888,3,138,15,1562,4,132,11,689,15,728,13,677,17,714,3,132,FALSE,"blood vessel remodeling"
"GO:0002011",72,33,851,34,891,2,138,26,1564,2,132,24,690,19,730,16,678,15,717,2,132,FALSE,"morphogenesis of an epithelial sheet"
"GO:0002027",117,30,850,37,890,5,138,28,1562,6,132,26,690,33,729,24,678,27,716,5,132,FALSE,"regulation of heart rate"
"GO:0002028",84,23,850,24,890,7,138,23,1561,6,132,22,690,32,728,20,677,18,716,6,132,FALSE,"regulation of sodium ion transport"
"GO:0002040",205,64,845,64,884,3,138,44,1557,8,132,32,684,38,726,34,674,33,712,3,132,FALSE,"sprouting angiogenesis"
"GO:0002042",101,27,849,27,888,0,138,21,1561,5,132,11,688,14,729,13,677,16,716,0,132,FALSE,"cell migration involved in sprouting angiogenesis"
"GO:0002043",57,14,851,14,891,1,138,8,1565,2,132,4,691,11,732,8,678,7,717,1,132,FALSE,"blood vessel endothelial cell proliferation involved in sprouting angiogenesis"
"GO:0002062",121,47,847,47,887,13,138,40,1559,6,132,39,689,36,729,31,676,40,715,6,132,FALSE,"chondrocyte differentiation"
"GO:0002064",238,92,846,94,886,14,138,70,1560,13,132,68,690,76,729,51,673,67,712,13,132,FALSE,"epithelial cell development"
"GO:0002065",147,52,844,52,884,8,137,32,1556,5,131,29,691,37,726,22,674,33,711,5,131,FALSE,"columnar/cuboidal epithelial cell differentiation"
"GO:0002066",56,24,847,22,887,2,138,16,1561,4,132,15,691,18,729,7,676,13,714,2,132,FALSE,"columnar/cuboidal epithelial cell development"
"GO:0002067",74,31,848,31,888,3,138,20,1561,4,132,15,691,22,729,12,677,18,717,3,132,FALSE,"glandular epithelial cell differentiation"
"GO:0002088",93,25,849,24,889,5,138,27,1563,2,132,21,690,28,732,17,675,26,714,2,132,FALSE,"lens development in camera-type eye"
"GO:0002090",86,26,847,31,887,2,138,22,1562,3,132,21,689,24,729,23,675,18,713,2,132,FALSE,"regulation of receptor internalization"
"GO:0002181",189,3,829,3,869,9,132,51,1485,5,128,5,665,52,668,45,622,6,697,3,128,FALSE,"cytoplasmic translation"
"GO:0002200",80,23,843,26,882,1,137,33,1557,2,131,23,684,9,728,13,675,18,713,1,131,FALSE,"somatic diversification of immune receptors"
"GO:0002204",57,18,846,19,885,1,137,22,1562,2,131,17,688,6,728,10,676,12,714,1,131,FALSE,"somatic recombination of immunoglobulin genes involved in immune response"
"GO:0002208",57,18,846,19,885,1,137,22,1562,2,131,17,688,6,728,10,676,12,714,1,131,FALSE,"somatic diversification of immunoglobulins involved in immune response"
"GO:0002218",401,124,834,127,873,9,138,121,1537,10,131,77,680,76,722,85,667,93,706,9,131,FALSE,"activation of innate immune response"
"GO:0002220",117,40,848,41,888,4,138,32,1564,5,132,28,690,27,731,31,676,36,715,4,132,FALSE,"innate immune response activating cell surface receptor signaling pathway"
"GO:0002221",347,113,836,116,875,7,138,113,1544,8,131,71,683,70,724,73,667,83,707,7,131,FALSE,"pattern recognition receptor signaling pathway"
"GO:0002224",93,41,849,42,889,1,138,41,1563,1,132,26,691,24,730,18,678,28,717,1,132,FALSE,"toll-like receptor signaling pathway"
"GO:0002228",224,29,849,29,889,4,138,20,1563,5,132,18,690,19,731,29,677,24,716,4,132,FALSE,"natural killer cell mediated immunity"
"GO:0002237",463,149,833,157,872,22,138,120,1544,30,128,91,686,104,721,85,669,94,711,22,128,TRUE,"response to molecule of bacterial origin"
"GO:0002244",142,50,834,54,874,10,136,44,1544,7,130,35,680,33,727,28,670,33,709,7,130,FALSE,"hematopoietic progenitor cell differentiation"
"GO:0002251",52,10,851,10,891,5,138,14,1565,3,132,4,691,9,732,6,678,7,717,3,132,FALSE,"organ or tissue specific immune response"
"GO:0002260",84,38,849,40,889,7,138,31,1562,2,132,20,691,34,730,27,677,29,717,2,132,FALSE,"lymphocyte homeostasis"
"GO:0002262",225,63,836,69,876,6,137,61,1544,6,129,42,679,49,722,43,667,49,706,6,129,FALSE,"myeloid cell homeostasis"
"GO:0002263",377,113,833,116,871,10,137,92,1545,14,130,66,683,67,719,71,668,70,707,10,130,FALSE,"cell activation involved in immune response"
"GO:0002269",78,21,850,21,890,2,138,15,1564,4,132,15,689,10,732,14,677,21,716,2,132,FALSE,"leukocyte activation involved in inflammatory response"
"GO:0002274",309,97,840,99,880,12,137,80,1555,10,131,61,687,65,728,64,672,66,711,10,131,FALSE,"myeloid leukocyte activation"
"GO:0002275",116,35,848,36,888,3,138,35,1561,3,132,19,691,26,731,25,677,24,716,3,132,FALSE,"myeloid cell activation involved in immune response"
"GO:0002279",61,20,850,20,890,2,138,19,1564,1,132,10,691,14,732,14,678,13,716,1,132,FALSE,"mast cell activation involved in immune response"
"GO:0002285",268,81,837,82,875,7,137,62,1550,11,131,48,683,42,720,51,669,47,708,7,131,FALSE,"lymphocyte activation involved in immune response"
"GO:0002286",166,55,844,58,883,7,138,33,1556,8,132,24,686,29,724,31,671,26,711,7,132,FALSE,"T cell activation involved in immune response"
"GO:0002287",102,41,845,44,884,5,138,29,1561,7,132,18,688,20,726,16,674,18,713,5,132,FALSE,"alpha-beta T cell activation involved in immune response"
"GO:0002292",111,45,845,48,884,6,138,30,1560,7,132,20,687,21,726,19,673,19,712,6,132,FALSE,"T cell differentiation involved in immune response"
"GO:0002293",102,41,845,44,884,5,138,29,1561,7,132,18,688,20,726,16,674,18,713,5,132,FALSE,"alpha-beta T cell differentiation involved in immune response"
"GO:0002294",101,41,845,44,884,5,138,29,1561,7,132,18,688,20,726,16,674,17,713,5,132,FALSE,"CD4-positive, alpha-beta T cell differentiation involved in immune response"
"GO:0002312",110,28,843,29,882,2,137,30,1558,3,131,23,687,14,726,19,675,20,713,2,131,FALSE,"B cell activation involved in immune response"
"GO:0002347",67,22,851,23,891,2,138,16,1564,1,132,10,689,10,730,11,676,7,714,1,132,FALSE,"response to tumor cell"
"GO:0002366",373,113,834,116,872,10,137,92,1546,14,131,65,683,65,719,71,668,70,707,10,131,FALSE,"leukocyte activation involved in immune response"
"GO:0002367",213,58,845,61,884,7,137,34,1558,5,131,34,689,38,727,43,674,39,711,5,131,FALSE,"cytokine production involved in immune response"
"GO:0002369",58,20,848,22,887,1,138,9,1565,1,132,10,691,13,729,12,676,14,715,1,132,FALSE,"T cell cytokine production"
"GO:0002370",69,5,851,6,891,1,138,1,1565,1,132,4,691,2,732,3,678,4,717,1,132,FALSE,"natural killer cell cytokine production"
"GO:0002377",123,36,843,38,882,2,137,42,1559,4,131,26,687,23,728,23,675,25,714,2,131,FALSE,"immunoglobulin production"
"GO:0002381",61,20,846,21,885,1,137,23,1562,2,131,18,688,8,728,11,676,12,714,1,131,FALSE,"immunoglobulin production involved in immunoglobulin-mediated immune response"
"GO:0002396",113,7,850,8,890,1,138,1,1564,0,132,2,691,3,732,9,678,5,717,0,132,FALSE,"MHC protein complex assembly"
"GO:0002399",97,5,851,6,891,1,138,1,1565,0,132,1,691,2,732,7,678,4,717,0,132,FALSE,"MHC class II protein complex assembly"
"GO:0002418",51,16,851,17,891,1,138,10,1564,0,132,6,690,6,732,9,677,4,716,0,132,FALSE,"immune response to tumor cell"
"GO:0002428",73,11,851,13,891,1,138,2,1565,3,132,10,691,1,732,10,678,10,717,1,132,FALSE,"antigen processing and presentation of peptide antigen via MHC class Ib"
"GO:0002429",429,128,843,139,882,12,138,105,1555,9,132,76,683,89,726,95,672,93,710,9,132,FALSE,"immune response-activating cell surface receptor signaling pathway"
"GO:0002437",112,26,849,28,889,3,138,25,1563,5,132,15,690,24,729,18,677,12,716,3,132,FALSE,"inflammatory response to antigenic stimulus"
"GO:0002440",321,87,838,92,876,10,136,74,1553,10,130,59,686,60,724,66,672,63,709,10,130,FALSE,"production of molecular mediator of immune response"
"GO:0002444",142,41,848,41,888,3,138,40,1560,5,132,23,691,31,731,30,678,29,715,3,132,FALSE,"myeloid leukocyte mediated immunity"
"GO:0002446",53,12,850,13,890,0,138,15,1564,1,132,7,691,11,732,12,678,12,717,0,132,FALSE,"neutrophil mediated immunity"
"GO:0002448",61,20,850,19,890,2,138,17,1564,2,132,12,691,14,732,15,678,13,716,2,132,FALSE,"mast cell mediated immunity"
"GO:0002455",85,24,850,24,890,1,138,9,1563,3,132,14,691,22,731,11,678,17,717,1,132,FALSE,"humoral immune response mediated by circulating immunoglobulin"
"GO:0002456",229,64,846,69,884,5,138,36,1563,7,132,36,689,37,729,49,674,45,713,5,132,FALSE,"T cell mediated immunity"
"GO:0002474",103,20,850,22,890,1,138,6,1563,3,132,19,691,7,732,19,678,22,716,1,132,FALSE,"antigen processing and presentation of peptide antigen via MHC class I"
"GO:0002475",80,11,851,14,891,2,138,4,1565,4,132,10,691,2,732,11,678,11,717,2,132,FALSE,"antigen processing and presentation via MHC class Ib"
"GO:0002476",71,10,851,12,891,1,138,2,1565,3,132,9,691,1,732,9,678,9,717,1,132,FALSE,"antigen processing and presentation of endogenous peptide antigen via MHC class Ib"
"GO:0002478",148,21,851,22,891,1,138,10,1565,1,132,13,691,8,732,19,678,17,717,1,132,FALSE,"antigen processing and presentation of exogenous peptide antigen"
"GO:0002483",103,13,850,15,890,1,138,3,1564,3,132,13,691,2,732,14,678,14,717,1,132,FALSE,"antigen processing and presentation of endogenous peptide antigen"
"GO:0002484",71,10,851,12,891,1,138,2,1565,3,132,9,691,1,732,9,678,9,717,1,132,FALSE,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway"
"GO:0002486",63,9,851,11,891,1,138,2,1565,3,132,8,691,1,732,8,678,9,717,1,132,FALSE,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent"
"GO:0002495",117,14,851,15,891,1,138,7,1564,0,132,7,691,5,732,12,677,10,717,0,132,FALSE,"antigen processing and presentation of peptide antigen via MHC class II"
"GO:0002501",113,7,850,8,890,1,138,1,1564,0,132,2,691,3,732,9,678,5,717,0,132,FALSE,"peptide antigen assembly with MHC protein complex"
"GO:0002503",97,5,851,6,891,1,138,1,1565,0,132,1,691,2,732,7,678,4,717,0,132,FALSE,"peptide antigen assembly with MHC class II protein complex"
"GO:0002504",119,15,851,16,891,1,138,7,1564,0,132,8,691,6,732,13,677,11,717,0,132,FALSE,"antigen processing and presentation of peptide or polysaccharide antigen via MHC class II"
"GO:0002507",58,16,850,17,890,2,138,10,1565,3,132,4,691,9,732,11,678,6,716,2,132,FALSE,"tolerance induction"
"GO:0002520",247,80,837,85,876,9,137,77,1550,13,131,55,680,52,726,41,672,50,709,9,131,FALSE,"immune system development"
"GO:0002526",127,39,850,39,890,10,137,27,1565,9,132,25,690,36,731,31,676,32,716,9,132,FALSE,"acute inflammatory response"
"GO:0002532",137,34,849,35,889,4,138,29,1563,6,132,25,689,37,732,26,676,32,715,4,132,FALSE,"production of molecular mediator involved in inflammatory response"
"GO:0002534",109,27,849,28,889,3,138,19,1563,3,132,19,690,24,732,17,677,20,716,3,132,FALSE,"cytokine production involved in inflammatory response"
"GO:0002548",67,23,851,23,891,5,138,10,1565,8,132,13,691,13,732,11,678,14,717,5,132,FALSE,"monocyte chemotaxis"
"GO:0002562",74,21,845,24,884,1,137,31,1559,2,131,21,685,8,728,11,675,17,713,1,131,FALSE,"somatic diversification of immune receptors via germline recombination within a single locus"
"GO:0002573",299,102,835,102,874,13,136,79,1545,15,129,77,678,75,719,62,668,65,706,13,129,FALSE,"myeloid leukocyte differentiation"
"GO:0002637",93,26,846,28,885,1,137,26,1562,4,131,18,689,20,730,19,676,20,716,1,131,FALSE,"regulation of immunoglobulin production"
"GO:0002639",63,16,850,18,889,1,137,22,1565,3,131,12,690,14,731,14,678,16,717,1,131,FALSE,"positive regulation of immunoglobulin production"
"GO:0002673",61,14,850,13,890,3,137,16,1565,1,132,7,691,16,732,12,677,14,717,1,132,FALSE,"regulation of acute inflammatory response"
"GO:0002685",277,100,838,109,878,20,137,64,1555,25,131,69,686,74,728,67,672,66,711,20,131,TRUE,"regulation of leukocyte migration"
"GO:0002686",64,15,848,17,888,5,138,13,1563,6,132,19,690,16,731,15,677,16,714,5,132,FALSE,"negative regulation of leukocyte migration"
"GO:0002687",184,73,844,80,884,12,137,41,1558,14,131,41,687,47,730,42,673,41,714,12,131,FALSE,"positive regulation of leukocyte migration"
"GO:0002688",147,59,850,64,890,14,138,36,1563,15,132,41,690,46,731,37,677,35,716,14,132,FALSE,"regulation of leukocyte chemotaxis"
"GO:0002690",112,46,850,51,890,9,138,29,1563,11,132,29,690,33,731,26,677,25,716,9,132,FALSE,"positive regulation of leukocyte chemotaxis"
"GO:0002691",52,14,846,17,886,2,137,10,1563,5,131,11,689,12,731,11,676,13,717,2,131,FALSE,"regulation of cellular extravasation"
"GO:0002695",258,85,845,93,885,12,138,47,1558,9,132,38,683,48,729,49,672,50,710,9,132,FALSE,"negative regulation of leukocyte activation"
