"set","ensembl","quelle"
"S_UPR","ENSG00000131871","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000137817","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000005486","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000137504","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000122557","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000198171","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000136986","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000151883","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000122484","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000099219","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000116406","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000108465","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000125247","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000158615","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000157613","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000099958","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000274437","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000165192","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000136848","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000164463","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000180535","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000151778","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000207752","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000225973","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000159461","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000115307","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000179218","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000127022","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000283777","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000105974","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000153132","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000136827","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000135924","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000044574","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000111885","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
