satz,panel,n_satz,n_panel,null_mittel,null_sd,mde80_anzahl,OR_mde80
Programm,GWAS,147,5654,79.9926,5.819822914568608,96.2881041607921,1.590507579781688
Programm,KLEIN,147,1130,13.71645,3.4951624004486934,23.502904721256343,1.8492670180991622
Programm,KLEIN_BREIT,147,1144,13.8148,3.5067386302362253,23.63366816466143,1.8469104859722856
Programm,NOSO,147,154,2.419,1.5371587890836598,6.723044609434247,2.8645408343611702
Programm,NOSO_BREIT,147,539,7.1054,2.5777166390341586,14.323006589295645,2.125450472699187
Programm,PA1471,147,62,0.9185,0.9531543291402279,3.5873321215926377,3.978323822094651
Programm,PA309,147,355,4.65785,2.1162956581880623,10.583477842926573,2.3708793519861793
Laesionsantwort,GWAS,173,5654,84.12735,6.440217837759053,102.15995994572535,1.523466248480256
Laesionsantwort,KLEIN,173,1130,16.89945,3.8706315746838196,27.737218409114696,1.7637637517707958
Laesionsantwort,KLEIN_BREIT,173,1144,17.09125,3.8863194170616717,27.972944367772676,1.759485995599211
Laesionsantwort,NOSO,173,154,2.42865,1.5353263623255944,6.727563814511664,2.841703229505005
Laesionsantwort,NOSO_BREIT,173,539,8.5446,2.8234038712998575,16.450130839639602,2.0224279059491237
Laesionsantwort,PA1471,173,62,0.8538,0.9245908843457039,3.442654476167971,4.093719839870693
Laesionsantwort,PA309,173,355,5.45835,2.272426780706847,11.82114498597917,2.251193809486555
