"satz","ensembl"
"S_DISTAL","ENSG00000117475"
"S_DISTAL","ENSG00000162407"
"S_DISTAL","ENSG00000213983"
"S_DISTAL","ENSG00000065000"
"S_DISTAL","ENSG00000029725"
"S_DISTAL","ENSG00000008256"
"S_DISTAL","ENSG00000049245"
"S_DISTAL","ENSG00000166685"
"S_DISTAL","ENSG00000145087"
"S_DISTAL","ENSG00000085365"
"S_DISTAL","ENSG00000108433"
"S_DISTAL","ENSG00000138078"
"S_DISTAL","ENSG00000135968"
"S_DISTAL","ENSG00000090565"
"S_DISTAL","ENSG00000275338"
"S_DISTAL","ENSG00000141258"
"S_DISTAL","ENSG00000242802"
"S_DISTAL","ENSG00000066455"
"S_DISTAL","ENSG00000054793"
"S_DISTAL","ENSG00000123240"
"S_DISTAL","ENSG00000101246"
"S_DISTAL","ENSG00000135823"
"S_DISTAL","ENSG00000157823"
"S_DISTAL","ENSG00000164597"
"S_DISTAL","ENSG00000284369"
"S_DISTAL","ENSG00000100568"
"S_DISTAL","ENSG00000124198"
"S_DISTAL","ENSG00000070367"
"S_DISTAL","ENSG00000129250"
"S_DISTAL","ENSG00000105438"
"S_DISTAL","ENSG00000136240"
"S_DISTAL","ENSG00000100196"
"S_DISTAL","ENSG00000168461"
"S_DISTAL","ENSG00000126062"
"S_DISTAL","ENSG00000157916"
"S_DISTAL","ENSG00000034713"
"S_DISTAL","ENSG00000135775"
"S_DISTAL","ENSG00000111481"
"S_DISTAL","ENSG00000083097"
"S_DISTAL","ENSG00000103365"
"S_DISTAL","ENSG00000111647"
"S_DISTAL","ENSG00000125447"
"S_DISTAL","ENSG00000197969"
"S_DISTAL","ENSG00000144036"
"S_DISTAL","ENSG00000185963"
"S_DISTAL","ENSG00000127603"
"S_DISTAL","ENSG00000180957"
"S_DISTAL","ENSG00000167964"
"S_DISTAL","ENSG00000103051"
"S_DISTAL","ENSG00000100083"
"S_DISTAL","ENSG00000242247"
"S_DISTAL","ENSG00000017260"
"S_DISTAL","ENSG00000006715"
"S_DISTAL","ENSG00000076321"
"S_DISTAL","ENSG00000101997"
"S_DISTAL","ENSG00000106266"
"S_DISTAL","ENSG00000147164"
"S_DISTAL","ENSG00000013016"
"S_DISTAL","ENSG00000153317"
"S_DISTAL","ENSG00000005243"
"S_DISTAL","ENSG00000177951"
"S_DISTAL","ENSG00000143952"
"S_DISTAL","ENSG00000154917"
"S_DISTAL","ENSG00000151779"
"S_DISTAL","ENSG00000167578"
"S_DISTAL","ENSG00000125633"
"S_DISTAL","ENSG00000138190"
"S_DISTAL","ENSG00000070540"
"S_DISTAL","ENSG00000143457"
"S_DISTAL","ENSG00000123106"
"S_DISTAL","ENSG00000138660"
"S_DISTAL","ENSG00000089177"
"S_DISTAL","ENSG00000090989"
"S_DISTAL","ENSG00000112685"
"S_DISTAL","ENSG00000053501"
"S_DISTAL","ENSG00000134278"
"S_DISTAL","ENSG00000103544"
"S_DISTAL","ENSG00000142186"
"S_DISTAL","ENSG00000133103"
"S_DISTAL","ENSG00000132405"
"S_DISTAL","ENSG00000131558"
"S_DISTAL","ENSG00000137177"
"S_DISTAL","ENSG00000113384"
"S_DISTAL","ENSG00000262246"
"S_DISTAL","ENSG00000282725"
"S_DISTAL","ENSG00000176783"
"S_DISTAL","ENSG00000284260"
"S_DISTAL","ENSG00000125149"
"S_DISTAL","ENSG00000172007"
"S_DISTAL","ENSG00000120519"
"S_DISTAL","ENSG00000222014"
"S_DISTAL","ENSG00000292140"
"S_DISTAL","ENSG00000213380"
"S_DISTAL","ENSG00000149182"
"S_DISTAL","ENSG00000204991"
"S_DISTAL","ENSG00000174007"
"S_DISTAL","ENSG00000145506"
"S_DISTAL","ENSG00000276920"
"S_DISTAL","ENSG00000204070"
"S_DISTAL","ENSG00000162878"
"S_DISTAL","ENSG00000168434"
"S_DISTAL","ENSG00000108018"
"S_DISTAL","ENSG00000021762"
"S_DISTAL","ENSG00000127328"
"S_DISTAL","ENSG00000164506"
"S_DISTAL","ENSG00000146809"
"S_DISTAL","ENSG00000116903"
"S_DISTAL","ENSG00000173163"
"S_DISTAL","ENSG00000233087"
"S_DISTAL","ENSG00000162852"
"S_DISTAL","ENSG00000157214"
"S_DISTAL","ENSG00000276600"
"S_DISTAL","ENSG00000147127"
"S_DISTAL","ENSG00000166377"
"S_DISTAL","ENSG00000274273"
"S_DISTAL","ENSG00000282266"
"S_DISTAL","ENSG00000196535"
"S_DISTAL","ENSG00000107331"
"S_DISTAL","ENSG00000175164"
"S_DISTAL","ENSG00000281879"
"S_DISTAL","ENSG00000134825"
"S_DISTAL","ENSG00000129562"
"S_DISTAL","ENSG00000244038"
"S_DISTAL","ENSG00000172269"
"S_DISTAL","ENSG00000182197"
"S_DISTAL","ENSG00000158008"
"S_DISTAL","ENSG00000012232"
"S_DISTAL","ENSG00000174951"
"S_DISTAL","ENSG00000196371"
"S_DISTAL","ENSG00000130383"
"S_DISTAL","ENSG00000180549"
"S_DISTAL","ENSG00000141429"
"S_DISTAL","ENSG00000143641"
"S_DISTAL","ENSG00000111846"
"S_DISTAL","ENSG00000285222"
"S_DISTAL","ENSG00000134910"
"S_DISTAL","ENSG00000196547"
"S_DISTAL","ENSG00000168282"
"S_DISTAL","ENSG00000128268"
"S_DISTAL","ENSG00000013375"
"S_DISTAL","ENSG00000100417"
"S_DISTAL","ENSG00000140650"
"S_DISTAL","ENSG00000080815"
"S_DISTAL","ENSG00000163902"
"S_DISTAL","ENSG00000118705"
"S_DISTAL","ENSG00000291973"
"S_DISTAL","ENSG00000073849"
"S_DISTAL","ENSG00000157350"
"S_DISTAL","ENSG00000110080"
"S_DISTAL","ENSG00000126091"
"S_DISTAL","ENSG00000111728"
"S_DISTAL","ENSG00000113532"
"S_DISTAL","ENSG00000104723"
"S_DISTAL","ENSG00000140557"
"S_DISTAL","ENSG00000147162"
"S_DISTAL","ENSG00000121578"
"S_DISTAL","ENSG00000117411"
"S_DISTAL","ENSG00000235863"
"S_DISTAL","ENSG00000235155"
