status,n_satz,n_panel,n_hg,beobachtet,null_mittel,null_sd,z,p,OR_gematcht,mde80_anzahl,OR_mde80,OR_roh,p_roh_fisher,satz,panel,tor_a
ok,147,5654,11581,80,79.9926,5.819822914568608,0.0012715163517226353,0.9226538673066347,1.0002029665355985,96.2881041607921,1.590507579781688,1.2552951068125466,0.18425129814908403,Programm,GWAS,True
ok,147,1130,11581,11,13.71645,3.4951624004486934,-0.7772027988316864,0.36348182590870465,0.7859385724697674,23.502904721256343,1.8492670180991622,0.7455777217053041,0.4032415803808402,Programm,KLEIN,True
ok,147,1144,11581,12,13.8148,3.5067386302362253,-0.5175178966439677,0.5257737113144343,0.8569566294441068,23.63366816466143,1.8469104859722856,0.8089517078916372,0.5781582540339275,Programm,KLEIN_BREIT,True
ok,147,154,11581,2,2.419,1.5371587890836598,-0.2725808179191278,0.6050697465126744,0.8243987968810137,6.723044609434247,2.8645408343611702,1.023774954627949,0.7230591675328739,Programm,NOSO,True
ok,147,539,11581,8,7.1054,2.5777166390341586,0.34705133467858446,0.8375581220938954,1.1331505291446184,14.323006589295645,2.125450472699187,1.1817529027625358,0.5565245853041747,Programm,NOSO_BREIT,True
ok,147,62,11581,1,0.9185,0.9531543291402279,0.08550556558192976,0.79946002699865,1.0893393785281242,3.5873321215926377,3.978323822094651,1.277004266786436,0.5480224399824951,Programm,PA1471,True
ok,147,355,11581,4,4.65785,2.1162956581880623,-0.31084976121117225,0.6197690115494225,0.8548146894808981,10.583477842926573,2.3708793519861793,0.8832307293845756,1.0,Programm,PA309,True
ok,173,5654,11581,94,84.12735,6.440217837759053,1.532968332548716,0.14939253037348132,1.2569895972887335,102.15995994572535,1.523466248480256,1.2515071487114107,0.14621144392284247,Laesionsantwort,GWAS,True
ok,173,1130,11581,18,16.89945,3.8706315746838196,0.28433344242790637,0.8601569921503924,1.0726861410549817,27.737218409114696,1.7637637517707958,1.0752378742167557,0.7957078749499925,Laesionsantwort,KLEIN,True
ok,173,1144,11581,18,17.09125,3.8863194170616717,0.23383306992482866,0.8991550422478876,1.0593451185878457,27.972944367772676,1.759485995599211,1.060425141809431,0.7970869089707788,Laesionsantwort,KLEIN_BREIT,True
ok,173,154,11581,4,2.42865,1.5353263623255944,1.0234631792681783,0.4506774661266937,1.6623192786018286,6.727563814511664,2.841703229505005,1.7764102564102564,0.2956556624419582,Laesionsantwort,NOSO,True
ok,173,539,11581,5,8.5446,2.8234038712998575,-1.255434986128327,0.13019349032548372,0.5728186167147615,16.450130839639602,2.0224279059491237,0.6060504726235063,0.36103861307226404,Laesionsantwort,NOSO_BREIT,True
ok,173,62,11581,2,0.8538,0.9245908843457039,1.2396834312411806,0.42107894605269736,2.3581703536580183,3.442654476167971,4.093719839870693,2.212085769980507,0.23680586993380048,Laesionsantwort,PA1471,True
ok,173,355,11581,2,5.45835,2.272426780706847,-1.5218752169978684,0.050697465126743724,0.35900069837740417,11.82114498597917,2.251193809486555,0.36628398190944783,0.18095246489745864,Laesionsantwort,PA309,True
