datensatz,fenster,bestanden,n_a,n_b,kontrast,null_mittel,null_sd,z,p,mde80
GSE129031,P,True,12,10,0.7588749550568826,-0.001093770477833483,0.130671855903398,5.81585621693886,9.99950002499875e-05,0.3647874260516809
GSE129031,T10,True,12,10,0.6618839187449753,0.00030730040836742705,0.08461231687516753,7.8189162378411465,9.99950002499875e-05,0.2372217876588365
GSE129031,T50,True,12,10,0.5665297365068919,0.0005000061328580006,0.06785303262784514,8.34199605312482,9.99950002499875e-05,0.1904884974908244
