symbol,chondrogen,linienkonsistent,basis,linie_8A,linie_2454e,im_modul,ri
OR4F5,0.065921338623147,False,0.03361267573408915,-0.047621787771777585,0.1794644650180716,False,
OR4F29,0.014918572390826598,False,0.028654185485070052,-0.09625319579062255,0.12609034057227575,False,
OR4F16,-0.02910410769445871,False,0.0294163240358251,-0.13269988165512997,0.07449166626621255,False,
SAMD11,-0.0425280215376791,False,0.037471826767755706,-0.15833628187721602,0.07328023880185781,False,
NOC2L,-0.16741357325230266,True,0.057359492911175355,-0.2630814251891044,-0.07174572131550096,False,
KLHL17,-0.16650783742696385,True,0.05771117516410235,-0.26823728199932656,-0.06477839285460113,False,
PLEKHN1,-0.16416445224812598,True,0.0559250951485248,-0.23535837589807582,-0.09297052859817612,False,
PERM1,-0.10571115957884364,False,0.03599958357505995,-0.24212706924901625,0.030704750091328975,False,
HES4,-0.5765923711409154,True,0.0619294196029135,-0.3008182564752991,-0.8523664858065318,False,
ISG15,-0.5902027663571019,True,0.06268590238785146,-0.3157803539812359,-0.8646251787329678,False,
AGRN,-0.36516772555040977,True,0.054874888467144944,-0.28808763327769304,-0.44224781782312644,False,
RNF223,-0.19426085217917075,True,0.044608477404951,-0.3258100559526446,-0.06271164840569686,False,
C1orf159,-0.17352925804612188,True,0.04443429932668585,-0.21455485880742026,-0.1325036572848235,False,
TTLL10,-0.002759772245225417,False,0.0334995952650515,-0.13479169012928457,0.12927214563883374,False,
TNFRSF18,-0.1388726251284038,False,0.05390203757333095,-0.34704634755597497,0.06930109729916738,False,
TNFRSF4,0.006537528245751295,False,0.0453046177862616,-0.32989817374695113,0.3429732302384537,False,
SDF4,-0.017326385748162143,False,0.0542542178233716,-0.1652731014757851,0.13062032997946083,False,
B3GALT6,-0.018179925252976334,False,0.05424065746487135,-0.16419251729394793,0.12783266678799526,False,
C1QTNF12,-0.1923039610955935,True,0.04725962575303625,-0.29198025104147574,-0.09262767114971128,False,
UBE2J2,-0.3537697182832604,True,0.08503052052413079,-0.41839622343091076,-0.2891432131356101,False,
SCNN1D,-0.288427323329152,True,0.07479174451333435,-0.28141367744206947,-0.2954409692162345,False,
ACAP3,-0.3072600100019319,True,0.0709516941632935,-0.2680662582664741,-0.3464537617373898,False,
PUSL1,-0.3177827648885303,True,0.0692275417126061,-0.2866584193278071,-0.3489071104492535,False,
INTS11,-0.3116779653687012,True,0.08740290489400115,-0.3787002926194778,-0.2446556381179245,False,
CPTP,-0.31058283525912006,True,0.08731890512265915,-0.3788043147338125,-0.24236135578442766,False,
TAS1R3,-0.20899804129152935,True,0.07083729460815315,-0.3523906058458911,-0.0656054767371676,False,
DVL1,-0.31372188050034094,False,0.0890111274458444,-0.6683642642615123,0.04092050326083045,False,
MXRA8,-0.3231974612951374,False,0.08150608148073196,-0.7327209709534406,0.08632604836316582,False,
AURKAIP1,-0.3418927881934472,True,0.08747420973597406,-0.451681845222192,-0.23210373116470237,False,
CCNL2,-0.13379896709770986,False,0.07531368242434025,-0.33296364077412544,0.06536570657870572,False,
MRPL20,-0.19231004297137103,True,0.07757409302904135,-0.3640784453979932,-0.020541640544748815,False,
ANKRD65,-0.06454687149991171,False,0.054666582496549945,-0.20298363604628733,0.0738898930464639,False,
TMEM88B,0.015126463697357095,False,0.0615201996665628,-0.24486135811817117,0.27511428551288536,False,
VWA1,0.056470830986985854,False,0.0591360562111271,-0.24319767056261193,0.35613933253658364,False,
ATAD3C,-0.06541980467242248,False,0.03582682443884135,-0.18397615396259764,0.053136544617752676,False,
ATAD3B,-0.10825531096650158,True,0.05996818503909365,-0.157951808937426,-0.05855881299557716,False,
ATAD3A,-0.37820255498814004,True,0.0835990788393993,-0.4460781772298249,-0.31032693274645523,False,
TMEM240,-0.22803787805934858,True,0.05324483440881765,-0.36966900296176614,-0.08640675315693101,False,
SSU72,-0.23873423517392614,True,0.09334287138331965,-0.2351140661900469,-0.24235440415780538,False,
FNDC10,-0.07522252126556045,False,0.0372543508617819,-0.23618334409709899,0.08573830156597807,False,
MIB2,-0.33917413959347464,True,0.0795495965870914,-0.2635347171328823,-0.41481356205406705,False,
MMP23B,-0.024301306609830958,False,0.037672392415710354,-0.13091991620567536,0.08231730298601345,False,
CDK11B,-0.03878982228175875,False,0.08120066622682355,-0.1480989187919352,0.07051927422841771,False,
SLC35E2B,-0.27164295022869145,True,0.07969952532569705,-0.43903724248917564,-0.10424865796820727,False,
CDK11A,-0.07149734992471207,True,0.0736890682093535,-0.11873194323567453,-0.02426275661374963,False,
NADK,0.02850352415019984,False,0.0563060091614936,-0.11923472034307517,0.17624176864347485,False,
