"symbol","AD-3d","AD-5d","AD-7d","MSC-0d","OB-3d","OB-5d","OB-7d"
"OR4F5",0.00332715092684987,0.00119159382356296,0.00429666522053305,0.00104836401532149,0.00112644929096651,0.00128969048591717,0.00420974333183234
"OR4F29",0.0029468151195035,0.00141086023595223,0.00325895169572462,0.00189532756273057,0.0011693614931973,0.00131790100912012,0.00374333639268136
"OR4F16",0.0134255069285499,0.00850993566650809,0.0239519679586163,0.0138826793620742,0.013216411592483,0.0139582886247363,0.0155654839768668
"SAMD11",0.335719707190939,0.306132100081367,0.261483158952156,0.411463160654703,0.334359578613782,0.339429495162303,0.315416452045981
"NOC2L",0.357886053245687,0.335632644174638,0.299759463047229,0.392953872779946,0.354103142653954,0.367056097367727,0.323556026255384
"KLHL17",0.361652155868447,0.335519705191387,0.301986483726973,0.398694161932148,0.356733334466712,0.370391420540252,0.325596187146233
"PLEKHN1",0.398468486359983,0.366575430267616,0.321680992601717,0.425248064222098,0.400172251623108,0.389561276557806,0.324891205821833
"PERM1",0.230166022768694,0.183601265830706,0.190338985636035,0.176233205356313,0.180708612789315,0.234514349746332,0.186673459538545
"HES4",0.454003032089735,0.348500918107853,0.248404870369466,0.23438386192797,0.288522082474439,0.306707752014109,0.474095333827662
"ISG15",0.455541466987116,0.354369991943736,0.250928126613425,0.24322371003434,0.287373342419666,0.306618998597148,0.483681085115931
"AGRN",0.289643182234722,0.312625482591338,0.233723904104603,0.258794570381935,0.249627310007067,0.326411686559826,0.250929195704098
"RNF223",0.211960393287794,0.191321939917137,0.188793039006832,0.196882492673368,0.203618650594002,0.254274933476695,0.176918490018702
"C1orf159",0.486464746053191,0.479405660259852,0.328317379276754,0.350150721055342,0.441034791765182,0.442861180289314,0.438098912752789
"TTLL10",0.120877421849968,0.0653828119070805,0.100177110851061,0.0845831976546779,0.0700009879025423,0.109951865350611,0.0818407579827453
"TNFRSF18",0.195786318292084,0.193080757837927,0.164355652721771,0.177418815333439,0.173660119253744,0.215826710251094,0.168759521864772
"TNFRSF4",0.199329334335934,0.178603760844772,0.162338166258166,0.152993265746583,0.141347873786555,0.205434586535529,0.159923825698733
"SDF4",0.432686672168642,0.430460620574917,0.356563413686648,0.364382064607931,0.386776903841567,0.395016194428863,0.373252497534778
"B3GALT6",0.432708504212045,0.431722341379228,0.356563145037726,0.365834870218637,0.388093784871491,0.396345833214521,0.37363450200595
"C1QTNF12",0.183084436047234,0.151765056168322,0.132133034341229,0.182497009072191,0.151838155496102,0.145812734783117,0.129044450043038
"UBE2J2",0.273998978410222,0.230702277507842,0.302762511185811,0.271418476968188,0.402823017630239,0.358764146107258,0.222956791396654
"SCNN1D",0.268021266203581,0.243549665799131,0.210899912223526,0.242205682237543,0.286879973275237,0.287638447321737,0.200468251150914
"ACAP3",0.647287943365064,0.66565148178601,0.4979560265028,0.599575353332472,0.617887724748423,0.607736387076419,0.573294630351101
