"symbol","MSC_8A","CHON_8A","MSC_2454e","CHON_2454e"
"OR4F5",0.0696587556630058,0.0373951648809889,0.0586813945365089,0.0588141147314457
"OR4F29",0.0290913435527732,0.0205165177839032,0.0358688216189437,0.0537288019383726
"OR4F16",0.0344689743997387,0.0208016876504548,0.0478585224556346,0.0400965031131856
"SAMD11",0.042480176025507,0.0383732473445258,0.0472043191237643,0.0362975933274692
"NOC2L",0.0357918549799439,0.0467573171575602,0.0449261817961658,0.0453520455235586
"KLHL17",0.0410492709092839,0.0467573171575602,0.0440842824540071,0.0460707384978766
"PLEKHN1",0.0425757994485273,0.0620743711680212,0.0437412612005842,0.0484225100080087
"PERM1",0.0340919474359959,0.0277988012903023,0.0506680517637382,0.0539700883446313
"HES4",0.0591930513389866,0.056431246186399,0.0559394846577329,0.0391451854987794
"ISG15",0.05794368024588,0.04965949651958,0.0569856735528729,0.0454541982507793
"AGRN",0.0198111751783517,0.0316014977399324,0.0406331788925925,0.0450977213008877
"RNF223",0.0493827822171757,0.0383186363125812,0.0416738979610892,0.0436100092686628
"C1orf159",0.0335689727821539,0.0322895359440549,0.0538898540437778,0.0521985683216325
"TTLL10",0.0290752107839659,0.0376208305835142,0.0526236082738019,0.0525350709289113
"TNFRSF18",0.0411987148875016,0.0423234344064535,0.0543826157414401,0.0414934290915274
"TNFRSF4",0.0560179355649534,0.0411076396299186,0.0447993431695732,0.0492959529113866
"SDF4",0.0537732507653814,0.106663004796842,0.0415327343373207,0.0476953501543702
"B3GALT6",0.0367922434696513,0.0451449957046083,0.0456879947921123,0.0451583027915679
"C1QTNF12",0.043728183510388,0.0403745203166298,0.0404328863694933,0.0492795723284976
"UBE2J2",0.0573800532915194,0.0338587480229671,0.0492244018266748,0.0419926663113015
"SCNN1D",0.0364623542009562,0.0422357432642101,0.0500942076970296,0.0549018271194093
"ACAP3",0.0404745130762962,0.0921896595221102,0.0522764926905264,0.0504453891143386
"PUSL1",0.0247639956585013,0.0722319956163951,0.047356747707561,0.0446325555468019
"INTS11",0.0282121449259715,0.0363137620265953,0.0428883913136591,0.0496472188835544
"CPTP",0.0390804403500914,0.0449651359076841,0.0421360477368423,0.0521488191613496
"TAS1R3",0.040473491566502,0.0527609211881847,0.049315012891975,0.056069871329786
"DVL1",0,0.0153797071503788,0.0438729822919262,0.0530540569045368
"MXRA8",0.0352199148640034,0.0361738755983003,0.0490632604454684,0.0571949061255381
"AURKAIP1",0.049528044688126,0.0395018724860432,0.054047242252204,0.0386953639221541
"CCNL2",0.054171205478172,0.0253940603949699,0.0393396048239364,0.0548326516947994
"MRPL20",0.0393547024538891,0.0558690156961257,0.0509786766949974,0.0397147950763741
"ANKRD65",0.0363508310376554,0.0413512993081812,0.0475226830993081,0.0565965200528262
"TMEM88B",0.026211239732064,0.0576192720838036,0.0504701400764651,0.0420946939685142
"VWA1",0.0396224178554771,0,0.0560510297524886,0.0484628195432136
"ATAD3C",0.0499465601440903,0.0404562235708483,0.0481048899437819,0.0514432502860024
"ATAD3B",0.0288162839163971,0.0648476417311472,0.0470618385975848,0.0459067195215975
"ATAD3A",0.0392300635580805,0.0302853582013113,0.055280192816219,0.0463447606550288
"TMEM240",0.0356601793663811,0.0507677487757678,0.0457029196510838,0.0552409241757148
"SSU72",0.0545262198328381,0.0368766819516531,0.0461249761669057,0.0436523097342863
"FNDC10",0.029883559800904,0.0310481638725316,0.0515703351326041,0.0460190929821342
"MIB2",0.0629854582178068,0.0773668059579157,0.0546627600912566,0.0522409854430963
"MMP23B",0.0517292819270159,0.0263345816573621,0.0424427188773693,0.0489456331557677
"CDK11B",0.0298144952208169,0.025779850260877,0.040404660539685,0.053087511914657
"SLC35E2B",0.0241109860070232,0.0191943011318662,0.0547131941519425,0.0431587454526461
"CDK11A",0.0436833085713742,0.0293442477057998,0.0515156897707648,0.048758967032658
"NADK",0.0372518398632386,0.0602230688288636,0.0519695533667468,0.0541361365200248
"GNB1",0.03797149010838,0.0163568825016697,0.0422842059807975,0.0513023752072077
"CALML6",0.035649053754693,0.0667681844377648,0.0534076403927999,0.0531277581756271
"TMEM52",0.0469974194001219,0.0508760207603681,0.048815500970788,0.0595335666596177
"CFAP74",0.0369612002953449,0.0536896469408031,0.0457835300898127,0.0495585326237363
"GABRD",0.0532241690192137,0.0438157269342241,0.0415927872260205,0.0533801627115585
"PRKCZ",0.0409101503954465,0.0337819699812479,0.0588987022176064,0.0532145149279061
"FAAP20",0.0271100554088226,0.0513011331324292,0.0532799166849918,0.0551558719218342
"SKI",0.047609517526642,0.0279469023991649,0.0485860455232758,0.0474585065572282
"MORN1",0.0515091629966445,0.0229731934486501,0.0450781826996384,0.0498595863565914
"RER1",0.0396224144020515,0.0201964456987237,0.0471072354893043,0.047400843755934
"PEX10",0.0427807000556784,0.0338587474007117,0.0520663999176109,0.0454098865702742
"PLCH2",0.0543448958996571,0.0323491215539619,0.0556836988234537,0.0484705530107236
"PANK4",0.045617930018852,0.0251061458244017,0.0456913572362745,0.0419130812392837
"HES5",0.0342556869162398,0.0320632076385459,0.0503733080477064,0.0314458658769745
"TNFRSF14",0.0245593336551894,0.0188104152917571,0.0406139153475272,0.0415217344635061
"PRXL2B",0.0277356665981418,0.0332317338826087,0.0421374101686921,0.0431671387785752
"MMEL1",0.028045075892366,0.0393706366158201,0.0423909163602608,0.0414289088891138
"TTC34",0.0327235364408932,0.0325259493170343,0.0460735505816571,0.0517833052295337
"ACTRT2",0.0510064463349196,0.0500765252000123,0.0568043123065383,0.0514767235468495
"PRDM16",0.0316979443307108,0.0506193890781756,0.0555747562206911,0.0429067768593325
"ARHGEF16",0.0675382140493403,0.0541739965878452,0.0407052527691709,0.0456364743528845
"MEGF6",0.0468896332938789,0.0682331108663292,0.0478878568683128,0.0493737750912767
"TPRG1L",0.0357542672962714,0.0479338762286424,0.0478902466575163,0.0461903970750662
"WRAP73",0.0490174175556849,0.0406165631029497,0.0465714881396057,0.0436986133657324
