"symbol","AD-3d","AD-5d","AD-7d","MSC-0d","OB-3d","OB-5d","OB-7d"
"OR4F5",0,0,0,0,0,0.000103958950831259,0
"OR4F29",0,0,0,0,0,0,0
"OR4F16",0,0,0,0.0010316824592049,0.000976997070213248,0,0
"SAMD11",0.321743519616449,0.367295352150651,0.248918814532406,0.35704959607591,0.422321102987101,0.36555060505746,0.307584381130292
"NOC2L",0.209979555767195,0.208897995907618,0.169006506795947,0.211321944826334,0.229240482907342,0.27007034845756,0.249628692068734
"KLHL17",0.25371417667511,0.309478659374028,0.18143840369436,0.296996330404593,0.249710871935153,0.273561519036956,0.221993701341608
"PLEKHN1",0.325338045718778,0.324842024406758,0.207092924585659,0.32939313684691,0.272929435088705,0.306289951652583,0.178544145791452
"PERM1",0.246662828936937,0.351870462329675,0.216185538776838,0.298392827229973,0.35249277390239,0.41439656541254,0.219721207920635
"HES4",1.0567043079549,1.3294299136554,0.606507940464977,0.751061663227096,1.23890043499181,1.16151618921494,1.25443306362382
"ISG15",0.342506003022178,0.29933672676611,0.240351857924832,0.208728938187085,0.282309124755433,0.333651288310069,0.337273869543835
"AGRN",0.184278847337816,0.188016691206654,0.137321306242851,0.180631433749953,0.165178752130625,0.200692777513398,0.164490040762111
"RNF223",0.196554783009764,0.181828534316459,0.177659413259075,0.188081712801699,0.187854883411673,0.216139124694865,0.165347193293055
"C1orf159",0.135063459665584,0.140699310698262,0.157182002403936,0.192060333980975,0.233837621021705,0.160815695661694,0.19583893932427
"TTLL10",0.0956623969673951,0.0597167639094149,0.0819346237698075,0.0654433533341443,0.0609061657289012,0.0816015621733603,0.0739603436868206
"TNFRSF18",0.159280304512246,0.14167053019689,0.13625637209156,0.160757586315301,0.119797997737904,0.172433999875723,0.125817579411743
"TNFRSF4",0.18789007426065,0.225557215966143,0.114622311329168,0.164201201663564,0.201249142840777,0.203640885981338,0.10802117971298
"SDF4",0.281744975029788,0.489181025066351,0.314030716591187,0.275812898604871,0.275563576732806,0.358119468263564,0.354525198000908
"B3GALT6",0.527583309632123,0.467039810557472,0.315095591606725,0.370086962533596,0.475714786452493,0.542196216398616,0.588523434555148
"C1QTNF12",0.137207195101386,0.135305453717351,0.0988229413877336,0.157861297326275,0.164014157059501,0.177436643179588,0.118446293671635
"UBE2J2",0.185634731681336,0.169654484187744,0.217668357217709,0.23179856136528,0.385466061583924,0.276043338588243,0.198639621276075
"SCNN1D",0.19816446274316,0.191664598350211,0.156391786175142,0.250171426229547,0.279537015198216,0.218921306399427,0.127583718891762
"ACAP3",0.627356823958333,0.731867365248061,0.416807128433315,0.582667482507775,0.720113529763174,0.621961492063795,0.565444318143752
"PUSL1",0.702428048588556,0.848354804740158,0.533268138527346,0.784144539839608,0.950149738880942,0.768370095308907,0.583556539122015
"INTS11",0.268059434882122,0.328952407147654,0.199680953855135,0.364718165435148,0.276646748259462,0.289564122597645,0.257706948509794
"CPTP",0.396146351250969,0.480398154330624,0.351889916467544,0.598304702214161,0.658584983583065,0.528403000790616,0.416661403340521
"TAS1R3",0.259277015124209,0.406511674835318,0.236746906792575,0.523397499976233,0.39887275223491,0.442938455540297,0.246717832142967
"DVL1",0.289528673561578,0.405328790706245,0.295916774359293,0.416587889868471,0.403181020027033,0.447820340753044,0.307054485600436
"MXRA8",1.04865960202043,2.02748072065953,1.57124608890442,1.38549486052815,2.1340271575552,1.77751067863474,1.24937161144981
"AURKAIP1",1.29191994605391,1.28975175814467,0.914986053976243,1.13478405005779,1.11376906316333,0.964896675498532,1.02589029452896
"CCNL2",0.25782849354078,0.206731863142946,0.21683768159675,0.293836665239573,0.305372396588367,0.229259027975223,0.259621780900389
"MRPL20",0.372809345445953,0.48203191324183,0.366168609443813,0.535270566498089,0.528845439071193,0.4444115715738,0.387760339009046
"ANKRD65",0.309899065296433,0.353875038615079,0.275030102773815,0.361537287313889,0.373957818130354,0.457260004640558,0.270830642186873
"TMEM88B",0.19563334509511,0.284538313870112,0.232368446313196,0.273464599317342,0.229425805652964,0.266894885592413,0.368713614233077
"VWA1",0.308700387143031,0.338923659127146,0.223694450837447,0.351903496683059,0.349989842585327,0.361846512117563,0.235938325065451
"ATAD3C",0.0771521693561533,0.056076509399798,0.0960236030637657,0.0924517032799597,0.093524789411974,0.0937229708351106,0.0630325933103834
"ATAD3B",0.0970637890159627,0.0839883544560406,0.0736124613017322,0.105590436716872,0.0889850706364284,0.0739971281582996,0.107846442945347
"ATAD3A",0.0983183733254033,0.205179482137067,0.0826296036965472,0.200220557337764,0.169099942727692,0.139572950119446,0.0983862984029897
"TMEM240",0.255825558561413,0.296868642212947,0.175326200895416,0.337947404290131,0.29237525448729,0.311373677483149,0.18505630394493
"SSU72",0.266521954411129,0.199460667692079,0.208472470793506,0.36024042625322,0.390986821353684,0.220999373416983,0.292144644049693
"FNDC10",0.23169350509031,0.233506233293582,0.136915690021576,0.28784437002883,0.358946711367043,0.25747737488891,0.167546593892507
"MIB2",0.357056938521081,0.700144276055909,0.24499793214384,0.571379494041687,0.582184492461913,0.37051864904285,0.369744402064136
"MMP23B",0.0209517564522181,0.0161558925205917,0.0144355852870761,0.0282252414755256,0.0201692202060099,0.0370245487483807,0.0255510966570531
"CDK11B",0.0523695682228737,0.0960361601673244,0.0427462760519279,0.0470313554836612,0.0359478247135892,0.0523496171835527,0.0572778055154576
"SLC35E2B",0.153564021575938,0.121899869120869,0.108734839957414,0.141036716785654,0.114639695059265,0.10808874999293,0.176777198339938
"CDK11A",0.0552491464489322,0.0756743597936451,0.0609475767210497,0.0722830493340747,0.0974529975310948,0.0854648466662746,0.0411075076158133
"NADK",0.253805099059645,0.261985145318747,0.205922078562529,0.183997579061811,0.365094129128041,0.240730670608841,0.250736210826817
"GNB1",0.141785889673382,0.0997444565704768,0.143397886318336,0.151946483139982,0.122614025733498,0.142005689350724,0.115515689592269
"CALML6",0.24038371718237,0.178647835316636,0.123730463263467,0.152609053796377,0.142615155822758,0.187909659438454,0.123074143705745
"TMEM52",0.378925290033564,0.375247499168974,0.31067112334538,0.459596243964448,0.422943441524505,0.395188876230691,0.335135453976858
"CFAP74",0.137266982893816,0.116157874951135,0.118508184579865,0.117603543931299,0.0952696764730109,0.126947726711805,0.109099440866119
"GABRD",0.143304740365267,0.126747790765002,0.11550930629929,0.11403959902287,0.0981765100564848,0.134073167521583,0.0952205899286943
"PRKCZ",0.211897439693123,0.235468415606855,0.188514826671063,0.20338311170986,0.261960198604061,0.230482680724841,0.234820996706312
"FAAP20",0.723882118464509,1.30233480822894,0.62220883410109,0.801110726683982,1.05143091738046,1.04380543152238,0.901035969385917
"SKI",0.2844588406777,0.485484827904048,0.330969850620405,0.379187554888837,0.564988161725249,0.460962505890786,0.351954738086985
"MORN1",0.212399609366876,0.204462774007209,0.170796775347268,0.184603534731723,0.227632672677282,0.238135444482427,0.192408541103988
"RER1",0.347110326914072,0.397467473834026,0.204713132535223,0.328844581943887,0.365328850116194,0.309704714562514,0.190335892229657
"PEX10",0.482434912657163,0.525591113920056,0.310954605458392,0.518235474677979,0.444332039003746,0.400604791083733,0.323852077654337
"PLCH2",0.166319775977608,0.155722932494961,0.132749572852345,0.183245100042382,0.16084001341049,0.17270726799548,0.121859137877433
"PANK4",0.196255269064969,0.264356161593212,0.136954938571739,0.155642422657958,0.246636282910519,0.238579995943929,0.240679088816393
"HES5",0.15356403306139,0.145515270249854,0.167662635485697,0.278381092845362,0.228176524391365,0.191962271708254,0.155709182124219
"TNFRSF14",0.208756533139059,0.319433305861928,0.217152908735094,0.308282974529234,0.263058837425401,0.248080130655907,0.204970224733206
"PRXL2B",0.741816320812036,0.976642651082064,0.349653743693253,0.653678779586933,0.545201025428322,0.835729357163119,0.568210474225454
"MMEL1",0.118394654756311,0.190458501842801,0.102079032649754,0.135943176590848,0.14883339069671,0.174439015744413,0.125816918025547
"TTC34",0.0582670849383607,0.0528944175446937,0.067341977811831,0.055256928348073,0.0373973419464197,0.053169985276194,0.0725484558731083
"ACTRT2",0.113902462136533,0.151210662485163,0.111892068255129,0.123436978590613,0.101180039722265,0.117963157668272,0.125984562247758
"PRDM16",0.177306496979637,0.192645108343242,0.145862983564309,0.176690831076884,0.176044573128944,0.181956756454394,0.150312290306263
"ARHGEF16",0.192857362540886,0.238136254651536,0.1580185201244,0.253736963523808,0.22719847157101,0.205683882655484,0.164151608735177
"MEGF6",0.200672142960511,0.237466378664356,0.20255555869258,0.239447119475898,0.242504935183662,0.253748946901518,0.190090761598199
"TPRG1L",0.245035193247557,0.415470198048682,0.263314212014516,0.561926715310949,0.461263770895888,0.343634646082396,0.162291193002862
"WRAP73",0.134187365534009,0.0833357962650592,0.100130666436921,0.144344834231406,0.098372870644617,0.114110738511243,0.099021196187894
"TP73",0.180577482667352,0.162876113467002,0.132413980629313,0.155703443495878,0.156154377288174,0.172616937441675,0.140151338870764
"CCDC27",0.136281511661697,0.104767222905426,0.141914166594727,0.130955382557776,0.105688747517107,0.114129249737472,0.0910280193329318
"SMIM1",0.329754115603433,0.613810757770212,0.340974935833112,0.536951820566916,0.569115842186742,0.525278289107198,0.304330191992582
"LRRC47",0.147146196924673,0.225830220964652,0.127880428837992,0.174308685817785,0.220322930605602,0.173764205462437,0.192727250066028
"CEP104",0.125613561476396,0.141723469947561,0.118899816971276,0.100874531456101,0.0747493434870068,0.0965266985676543,0.0801555020367607
"DFFB",0.164754077144534,0.1910238188455,0.0974867258649285,0.178622329813743,0.215920091603702,0.178855960772348,0.13091895540291
"C1orf174",0.186757521255211,1.11737837039019,0.286518929718066,0.56678028695117,0.8116385755093,0.462633071463775,0.816120885093768
"AJAP1",0.0998362969629276,0.0641871624090223,0.0861490421150874,0.0503281229416042,0.0484677990628486,0.0701193335734801,0.0607948306185259
"NPHP4",0.146581259350991,0.191671179466329,0.148190428756474,0.122032027645907,0.170172864651822,0.179733780431418,0.132632104914836
"KCNAB2",0.149419754967944,0.145647884046947,0.139486062030671,0.160645075008774,0.15049264657767,0.163640455511747,0.126411090179111
"CHD5",0.120511596540726,0.101996182113404,0.109369706056407,0.101713253890465,0.112710606757253,0.119803752894427,0.0943859143022026
"ENSG00000285629",0.159154530734051,0.209866655702854,0.109907032669579,0.191749549964695,0.194203499622648,0.159085462701737,0.175639122874135
"RPL22",0.30788001396789,0.416666017928749,0.285877937716044,0.311483334253608,0.422690997234439,0.355425101856179,0.311159722230529
"RNF207",0.151524823638806,0.13983082982312,0.1355663517719,0.186901166762335,0.183389359848241,0.226062408524716,0.151617705079056
"ICMT",0.150602854469929,0.196122117869325,0.121715427112846,0.130026350545208,0.13425444815772,0.182201876963612,0.168974605114452
"HES3",0.539198160583592,0.748796157918694,0.271760360067541,0.399929843811,0.579783163230938,0.475014140172094,0.450501360834947
"GPR153",0.218616208115212,0.262644962671101,0.171670907178103,0.19402005551771,0.255256390002035,0.248074083292011,0.206106132322593
"ACOT7",0.164687094269884,0.170322430662562,0.129549176524397,0.133085014665655,0.152990943689287,0.174759597769041,0.123758231067926
"HES2",0.158528784128738,0.199429732665843,0.16635433464398,0.215692878051463,0.202160407213846,0.201890289921604,0.187958201990227
"ESPN",0.115272002532128,0.0978006170875227,0.0992096755888617,0.13196314649147,0.118955783691206,0.107328445574679,0.0995092660220075
"TNFRSF25",0.106031603469275,0.0696592459283382,0.0959955556628161,0.111230888800236,0.10641073180139,0.108276568673381,0.0815405219971569
