ebene,datensatz,fenster,achse,null,geeicht,schwelle_erreicht,k,wilson_lo,wilson_hi,urteil,n,konkordanz,konkordanz_null,konkordanz_null_sd,konkordanz_z,konkordanz_p,konkordanz_mde80,rang,rang_null,rang_null_sd,rang_z,rang_p
ATAC,GSE332758,P,osteogen,Hintergrund,False,True,118,0.609377502593181,0.7468735152668701,Ebene fuer diese Achse nicht geeicht,172,0.686046511627907,0.538161046511628,0.03756899642224939,3.936369858117827,9.99950002499875e-05,0.6433542364939263,0.13738385628900393,1.787038867976939e-05,0.022065154319494327,6.225471343246523,9.99950002499875e-05
ATAC,GSE332758,P,osteogen,H1 basisgeschichtet,False,True,118,0.609377502593181,0.7468735152668701,Ebene fuer diese Achse nicht geeicht,172,0.686046511627907,0.5302191860465116,0.03755471981607572,4.1493406513098705,9.99950002499875e-05,0.6353724015315236,0.13738385628900393,-0.0043152116334390315,0.022401278593740647,6.325490187066217,9.99950002499875e-05
ATAC,GSE332758,P,adipogen,Hintergrund,True,False,117,0.6034032833249139,0.7415381784125961,unter Schwelle,172,0.6802325581395349,0.5939334302325581,0.03505744535859827,2.4616490740906447,0.017799110044497773,0.6920942772366332,0.10915183223878276,6.584126426183489e-05,0.0218434154556872,4.993998818354163,9.99950002499875e-05
ATAC,GSE332758,P,adipogen,H1 basisgeschichtet,True,True,117,0.6034032833249139,0.7415381784125961,SCHWELLE ERREICHT,172,0.6802325581395349,0.5732366279069767,0.03606440526368187,2.966801461171102,0.0018999050047497626,0.674216962645286,0.10915183223878276,-0.014937418048544112,0.02197936333581675,5.645716319958898,9.99950002499875e-05
ATAC,GSE332758,P,differenz,Hintergrund,False,False,75,0.36191566874050524,0.5080244358502699,Ebene fuer diese Achse nicht geeicht,172,0.436046511627907,0.4062700581395349,0.03522824601752331,0.8452437136257263,0.44277786110694467,0.5049091469886001,0.017715147134016253,7.33846480479104e-05,0.02198028423945589,0.8026175773605491,0.4274786260686966
ATAC,GSE332758,P,differenz,H1 basisgeschichtet,False,False,75,0.36191566874050524,0.5080244358502699,Ebene fuer diese Achse nicht geeicht,172,0.436046511627907,0.42324651162790694,0.035477466033128034,0.36079239673001706,0.7731613419329033,0.5225834165206654,0.017715147134016253,0.015289689577199079,0.02105506686291364,0.11519590854823508,0.9083545822708865
ATAC,GSE332758,T10,osteogen,Hintergrund,False,True,113,0.5796219469698011,0.7200812902775434,Ebene fuer diese Achse nicht geeicht,173,0.653179190751445,0.5215875722543353,0.037622468680519085,3.497686970372784,0.0008999550022498875,0.6269304845597887,0.14200649814874278,-0.0003044851689498405,0.02180663195450183,6.52604141779508,9.99950002499875e-05
ATAC,GSE332758,T10,osteogen,H1 basisgeschichtet,False,True,113,0.5796219469698011,0.7200812902775434,Ebene fuer diese Achse nicht geeicht,173,0.653179190751445,0.5203078034682082,0.037998179465551,3.4967829815030367,0.0004999750012499375,0.6267027059717509,0.14200649814874278,-0.0008169855272716953,0.02242197792297804,6.369798604147628,9.99950002499875e-05
ATAC,GSE332758,T10,adipogen,Hintergrund,True,False,111,0.5677986299140293,0.7092854950882325,unter Schwelle,173,0.6416184971098265,0.5651595375722543,0.03650396948466643,2.0945382274026105,0.041097945102744865,0.6673706521293203,0.09524165949781661,-0.00018528865829530299,0.021939906053380743,4.349469315134441,9.99950002499875e-05
ATAC,GSE332758,T10,adipogen,H1 basisgeschichtet,True,False,111,0.5677986299140293,0.7092854950882325,unter Schwelle,173,0.6416184971098265,0.5533052023121386,0.03704699929326328,2.38381775804841,0.022198890055497224,0.6570368003332758,0.09524165949781661,-0.009538124504321434,0.021604626787277557,4.849877067251184,9.99950002499875e-05
