"symbol","AD-3d","AD-5d","AD-7d","MSC-0d","OB-3d","OB-5d","OB-7d"
"OR4F5",0,0,0,0,0,0,0
"OR4F29",0,0,0,0,0,0,0
"OR4F16",0.00267431424613395,0.00655282292490101,0,0.0101558853007252,0.00941957951257121,0,0.0309351480787374
"SAMD11",0.596401915247632,0.51195242831614,0.445583588450472,0.572531077046986,0.461394541788499,0.452130998802972,0.506188355636322
"NOC2L",1.03323460634556,0.897830052000724,0.825461973474434,1.00845606383103,0.942969211667433,0.995293692894652,0.957840396023254
"KLHL17",1.0208672466024,0.931469200228973,0.905383466600576,1.07276778401775,0.965951320076676,1.06916731680811,0.993962953618953
"PLEKHN1",0.547805291985565,0.602088573244056,0.601255777288008,0.69946160235053,0.528526429671423,0.586039053542275,0.327873512919606
"PERM1",0.346025612353455,0.24161619127424,0.304053580713279,0.216723752584668,0.160721992866953,0.213761502351291,0.24308242500538
"HES4",1.92166197699783,1.52004067271121,1.22510656389931,0.857768723832286,1.34343779280944,1.33386583654693,2.23383125928778
"ISG15",1.92596937079868,1.60720518345677,1.19957486599899,0.883060484127815,1.32437470889858,1.39992722216449,2.31556953878479
"AGRN",0.697653483242857,0.755732431061942,0.324388333023088,0.486305120252339,0.473620950181409,0.678052491473787,0.596395077575522
"RNF223",0.232121551088951,0.128039098595014,0.189687390814859,0.150078541083442,0.178756019981277,0.224408595032624,0.140996090527566
"C1orf159",2.43537886105019,1.5788016769987,1.27847253679091,1.43073189995051,1.45383160090602,1.80274615597651,1.28633543482803
"TTLL10",0.0976413399282629,0.0660746094437729,0.103157417931353,0.0780421972333367,0.0691406033479588,0.0811077641178174,0.0793154669116351
"TNFRSF18",0.409754154329248,0.380898954282326,0.327612801077192,0.389662429012522,0.328484827402859,0.43408745608805,0.497481209808843
"TNFRSF4",0.179860379362192,0.186950922008624,0.165712403126021,0.136181472428245,0.135462040056777,0.130650844488089,0.127757610498512
"SDF4",1.67327933509887,1.73657276341816,1.28139176195682,1.22709930957533,1.29047732034559,1.43796476048028,1.4864137064075
"B3GALT6",2.27075072398632,2.25084685004517,2.18379119291261,1.88537847865358,2.01510306912384,2.09576390279507,2.06857745229461
"C1QTNF12",0.176234460691439,0.174692981798204,0.178346319993935,0.247722116621532,0.1561269600973,0.173870323581517,0.158793574947754
"UBE2J2",0.985445747767739,0.816659545397876,0.631056732750843,0.764918658834441,0.864155814371178,0.961034024997336,0.703868184397124
