symbol,osteogen,adipogen,differenz,basis,im_modul,ri,markerklasse
OR4F5,-0.06565575964993363,-0.011646991342983548,-0.05400876830695008,0.0290408423075943,False,,
OR4F29,-0.0901957185749162,-0.06595109625277348,-0.024244622322142723,0.0059031701358676,False,,
OR4F16,-0.17422791987969877,-0.17628889543216986,0.0020609755524710893,0.0378035475142517,False,,
SAMD11,-0.05000239849805161,-0.2153522943277221,0.1653498958296705,0.310592465159722,False,,
NOC2L,0.06810201860585877,-0.07172572541352608,0.13982774401938486,0.308687690891669,False,,
KLHL17,0.07158557727509642,-0.0689548002902753,0.14054037756537172,0.307884988989474,False,,
PLEKHN1,0.08201665412741574,-0.060099710449851386,0.14211636457726712,0.304171784425443,False,,
PERM1,0.07584579872116999,-0.06068948376767972,0.13653528248884972,0.291710472500241,False,,
HES4,0.05159860734672961,-0.08136073440171951,0.13295934174844912,0.268260900005974,False,,
ISG15,0.05069396784985253,-0.07974908931498494,0.13044305716483745,0.266764394213337,False,,
AGRN,-0.024013699403060806,-0.06160584552618448,0.03759214612312367,0.243223600249635,False,,
RNF223,-0.013983980299817853,-0.051572308949096125,0.037588328649278274,0.20327767046141,False,,
C1orf159,0.20031285004799046,0.11902648305415647,0.08128636699383399,0.17638638120622,False,,
TTLL10,-0.0533537646198769,0.09864306224068908,-0.15199682686056598,0.154948573852197,False,,
TNFRSF18,0.025097852602801493,-0.002024785202628998,0.02712263780543049,0.182303443469816,False,,
TNFRSF4,-0.012187282186810722,-0.03365816088231176,0.021470878695501038,0.192404685729272,False,,
SDF4,-0.015650953595242944,-0.09720952464306572,0.08155857104782277,0.227092363230203,False,,
B3GALT6,-0.017720650590652514,-0.09977648096072993,0.08205583037007741,0.227795174013767,False,,
C1QTNF12,-0.14494296056787556,-0.22574510172687576,0.0808021411590002,0.277213689547393,False,,
UBE2J2,0.08261602143582518,-0.16861878777318065,0.2512348092090058,0.324822017908571,False,,
SCNN1D,0.07323857869318236,-0.2026707646387044,0.27590934333188677,0.338379931820702,False,,
ACAP3,0.07285040048859089,-0.03811094166378506,0.11096134215237594,0.408961909385951,False,,
