symbol,flach,saeule,osteogen,basis,im_modul,ri,markerklasse
A1BG,0.05188785028162268,0.3449678453575613,0.198427847819592,5.351831716267739,False,,
A1BG-AS1,0.26505939187646455,1.0831987610281082,0.6741290764522864,2.055401026302789,False,,
A2M,0.9845315567501397,-1.3040049600441457,-0.159736701647003,1.1034338707059603,False,,
A2ML1,0.3018160179049929,0.04276344958769385,0.17228973374634338,1.1607868685965237,False,,
A2MP1,0.6459520804132639,-0.27995072108964214,0.18300067966181088,1.347922508827559,False,,
A4GALT,0.2045134433228033,-0.02680218167475612,0.08885563082402359,3.6146427825550744,False,,
AAAS,0.22686786273559711,0.07002859256641347,0.1484482276510053,5.32559067100342,False,,
AACS,-0.28076955482654853,-0.5224542110643462,-0.40161188294544736,4.858096773411048,False,,
AADAC,-2.0604723891758,-1.0869010930536054,-1.5736867411147026,3.706475594788498,False,,
AADACL2-AS1,0.09719228574536487,-0.7892893509265697,-0.3460485325906024,3.435822091494252,False,,
AADACP1,-0.016422205905473497,-0.8622527369861257,-0.4393374714457996,4.01468050169286,False,,
AADAT,-0.014999341952531609,0.12726914152192137,0.05613489978469488,4.831162795957147,False,,
AAGAB,0.2555553036628533,0.16477144847265635,0.21016337606775481,5.238260272944301,False,,
AAK1,-0.23903507955967118,0.11646987240690088,-0.06128260357638515,4.639012942992372,False,,
AAMDC,0.22545591445601953,-0.029369659043762653,0.09804312770612844,5.8006233406534795,False,,
AAMP,-0.5308417388159263,-0.1440004911319397,-0.337421114973933,5.8963845051862975,False,,
AANAT,0.566777309206266,0.22435977325176104,0.3955685412290135,4.1095168006912095,False,,
AAR2,-1.0055283166116142,-0.031192921693484532,-0.5183606191525494,3.5682944513724273,False,,
AARD,0.6376492363533859,0.22667835336999342,0.43216379486168965,2.558029813196432,False,,
AARS1,0.9534043982342799,-0.29543999145621225,0.32898220338903383,2.3003983250692697,False,,
AARS2,-0.9670009061184217,0.22752370623546225,-0.36973859994147973,3.3014513485540236,False,,
AARSD1,-0.16078562088747228,-0.01831160242358587,-0.08954861165552908,3.4818926904453424,False,,
AASDH,-0.17501986566072247,0.07204371714825974,-0.051488074256231364,4.800527745081518,False,,
AASDHPPT,-1.4880433189413005,-1.3087288474565892,-1.398386083198945,2.440767867781784,False,,
AASS,-0.22468709793844965,0.013032306162747531,-0.10582739588785106,5.345660428483722,False,,
AATBC,-0.06803696197588005,-0.14382283990494926,-0.10592990094041466,2.260880939195651,False,,
AATF,0.003107634917995483,0.09296072145245482,0.04803417818522515,4.705546386547346,False,,
AATK,0.038481895010405776,0.4977277091903072,0.2681048021003565,2.893852726766509,False,,
ABAT,0.08575040841754689,0.47760558310313783,0.28167799576034236,4.665135397744392,False,,
