"symbol","MSC_8A","CHON_8A","MSC_2454e","CHON_2454e"
"OR4F5",0.0435383152167645,0.0309918588368229,0.057428255395275,0.0579729144468988
"OR4F29",0.0292879252660099,0.0196827623790128,0.0457818423774279,0.0474112945210775
"OR4F16",0.0960985227179628,0.0378613177378088,0.0970234182338128,0.0854228308360017
"SAMD11",0.0447037091245634,0.0509448257300383,0.0507514371020178,0.0523670634926434
"NOC2L",0.0398535813872395,0.0488339993949972,0.0498315820282949,0.0506604581511217
"KLHL17",0.0398715417212682,0.0487973774443568,0.0498268219347403,0.0506586128032656
"PLEKHN1",0.0399547667370586,0.0487872366551965,0.049808833692669,0.0506500704537727
"PERM1",0.040176701251696,0.0486931014400616,0.0498150771280627,0.0504548909991611
"HES4",0.0401189865773891,0.048284245387592,0.0501198157234872,0.0499633495188284
"ISG15",0.040115066469665,0.0482330520129118,0.050166546934837,0.0499528048493256
"AGRN",0.0397810576548115,0.0478630969166918,0.0510423236384977,0.0500276125168021
"RNF223",0.0418908171602466,0.0489402423400318,0.0515045203169972,0.0505193806666141
"C1orf159",0.0429297039647344,0.0475392946479435,0.0515939598379145,0.0511430928889967
"TTLL10",0.0422596758500068,0.0483534240137858,0.0511572776427551,0.0504187069894374
"TNFRSF18",0.0413145060162215,0.0492867277461695,0.0511213414046996,0.0511608750798555
"TNFRSF4",0.0412477895655064,0.0490735024111086,0.0511554860628047,0.0513340496758232
"SDF4",0.0410472293450054,0.0485888046972762,0.0509986263210051,0.0510239582457136
"B3GALT6",0.0410474295628047,0.0485828309435433,0.0509961687324853,0.0510193889192639
"C1QTNF12",0.0410620414735318,0.0480270795219239,0.0508167186223242,0.0508199506938065
"UBE2J2",0.0391949962625256,0.0475385911243287,0.0505854369480496,0.0509177789698109
"SCNN1D",0.0392110108379534,0.0476121265413481,0.0503725165310873,0.0508940393164264
"ACAP3",0.0393157482630719,0.0480805766174283,0.0496542759504575,0.0508826588348655
"PUSL1",0.0393113118049114,0.0480840538854895,0.0496654059856436,0.0508660689062044
"INTS11",0.0396258858648089,0.0486367454050828,0.0496535135486556,0.0514139901987062
"CPTP",0.0396305894503414,0.0486420673801577,0.0496563947875198,0.0514164733220137
"TAS1R3",0.0400732342661315,0.0491371605110199,0.0499270658767452,0.0516503059547594
"DVL1",0.0411552215079307,0.0498334828074346,0.0505975363281781,0.0521311979935833
"MXRA8",0.0421006904509637,0.0493052687361656,0.0508408993889864,0.0522681781575983
"AURKAIP1",0.0429564703050923,0.0489083613283175,0.0512575166106264,0.0524492593360402
"CCNL2",0.0436949865846567,0.0491655747643471,0.0520615826708499,0.0522629782876411
"MRPL20",0.0435963157571309,0.0486822461956919,0.0520525401018517,0.0520459362943171
"ANKRD65",0.0433614817518416,0.0475845330050378,0.0517370217596128,0.051753539328052
"TMEM88B",0.0429498647827357,0.0470443514762994,0.0515915320299036,0.05173975689226
"VWA1",0.0421225262736652,0.0458588531161175,0.0511843962037371,0.0516650797504584
"ATAD3C",0.0411026630185738,0.0444334716341393,0.0508734746828982,0.0515199503267624
"ATAD3B",0.0398441534051475,0.0424891023064428,0.0508190150031379,0.0509380232014249
"ATAD3A",0.0388489909223876,0.043366258712958,0.0506011704438584,0.0506893339762522
"TMEM240",0.0407468790845122,0.0442514191989139,0.0525785076532966,0.050115443274528
"SSU72",0.0410513625413323,0.0468653890436105,0.0523045093506087,0.0508541459620083
"FNDC10",0.0417109601286011,0.046877851190442,0.0526182031143717,0.0514044755271103
"MIB2",0.0412516608503951,0.0453915085265853,0.0532649016797273,0.0515379819562234
"MMP23B",0.0400293569486905,0.0443110505457631,0.0524088761775915,0.0515077928842207
"CDK11B",0.0394673618063747,0.0440292252183072,0.0519001501021415,0.0516081600663704
"SLC35E2B",0.0383595382014507,0.042675467616773,0.0520239734487393,0.0512428819185665
"CDK11A",0.0377817865496081,0.0422915882995101,0.0515772438031953,0.0516843315226314
"NADK",0.0458434711142699,0.0481973435000497,0.0520837350433907,0.0522611614968921
"GNB1",0.0432743378562385,0.0489357207284724,0.0515678863372704,0.0537898455891107
"CALML6",0.0422526062520223,0.0510403151190075,0.0512207628051595,0.0538758152451864
"TMEM52",0.0420841276071221,0.0514885860532085,0.0512210623207958,0.0538509453958774
"CFAP74",0.0425689640268761,0.0505872975967486,0.0497195437192511,0.0513431582318828
