symbol,delta,n_sonden,donor_konsistent
ACSS1,0.0030240700000000015,1,0.0
ACSS2,0.04796160000000001,2,0.5
ACTA1,0.021128858333333334,2,0.5
ACTA2,0.03749654999999999,2,0.5
ACTB,0.005970573333333333,2,0.5
ACTC,0.004015324999999998,2,0.0
ACTG1,0.002530393333333333,2,0.0
ACTG2,0.034178333333333345,1,0.0
ACTL6A,-0.009060073333333335,2,0.5
ACTL6B,0.0006610816666666672,2,0.5
ACTL7A,0.0025724000000000302,2,0.0
ACTL7B,0.007493133333333346,2,0.0
ACTL8,0.020554135,2,0.5
ACTN1,0.02652897166666667,2,0.5
ACTN2,0.011421305000000003,2,0.5
ACTN3,0.03723246666666666,2,0.0
ACTN4,-0.0016218699999999973,2,0.0
ACTR1A,0.01673917166666666,2,0.5
ACTR1B,0.004027926833333334,2,0.5
ACTR2,-0.0017279366666666637,2,0.0
ACTR3,0.012614110333333331,2,1.0
ACTR3B,0.006330898333333334,2,1.0
ACTR5,0.0021422783333333332,2,0.0
ACTR6,0.0006434548333333332,2,0.5
ACTRT1,-0.025345133333333325,2,0.0
ACVR1,0.0028277033333333314,2,0.0
ACVR1B,0.0009271399999999996,2,0.5
ACVR1C,-0.001312696666666668,2,0.0
ACVR2A,0.03306076833333334,2,0.5
ACVR2B,0.001825396666666668,1,0.0
ACVRL1,0.025870886666666662,2,0.0
ACY1,0.01285890499999998,2,0.0
ACY3,0.039361783333333344,2,0.0
ACYP1,-0.005068356666666666,2,0.5
ACYP2,0.030247579999999975,2,0.5
AD031,0.0005701000000000178,1,0.0
ADA,0.013060903333333328,2,0.0
ADAM10,0.0012837186666666668,2,1.0
ADAM11,0.012342620000000002,2,0.5
ADAM12,0.002642266666666666,2,0.5
ADAM15,0.01683615833333333,2,0.0
ADAM17,-0.0018571850000000016,2,0.5
ADAM18,-0.0072414999999999745,1,0.0
ADAM19,0.011313726666666666,2,0.0
ADAM2,-0.001238366666666657,2,0.0
ADAM21,0.007088650000000021,2,0.0
