symbol,delta,n_sonden,donorkons
APBB1IP,0.023735545910095236,14,1.0
APBB2,0.01610131920255552,47,0.574468085106383
APBB3,0.00433447185696214,11,0.7272727272727273
APC,0.0217656640234144,38,0.7368421052631579
APC2,0.016985510206886288,10,0.9
APCDD1,0.020906191555183473,6,0.6666666666666666
APCDD1L,0.00303727325475673,11,0.9090909090909091
APCS,0.04508529864654182,4,1.0
APEH,0.008180796950003308,14,0.7142857142857143
APEX1,0.025082399723287043,11,0.9090909090909091
APEX2,0.030583407530915537,8,0.625
APH1A,0.01619117127646513,13,0.8461538461538461
APH1B,0.005909120179602805,11,0.09090909090909091
API5,0.02348080735055588,10,0.5
APIP,0.010973728250060578,11,0.9090909090909091
APITD1,0.02343648482091903,15,0.8
APLF,0.023096646842677447,11,0.5454545454545454
APLN,0.022801612793885415,9,0.8888888888888888
APLNR,0.03823785253018682,9,1.0
APLP1,0.011437644841886403,10,0.7
APLP2,0.012876585564087172,11,0.36363636363636365
APOA1,0.025345595736974178,7,0.8571428571428571
APOA1BP,0.02875009688357576,7,1.0
APOA2,0.04818917528048004,5,1.0
APOA4,0.04304826858654487,6,0.8333333333333334
APOA5,0.017976498931530003,6,0.5
APOB,0.022062776501041534,9,0.6666666666666666
APOB48R,0.024148311810495402,6,0.8333333333333334
APOBEC1,0.05399826534133334,4,1.0
APOBEC2,0.043052021076173945,6,0.8333333333333334
APOBEC3A,0.043398817222342144,7,1.0
APOBEC3B,0.033919966921093565,8,0.875
APOBEC3C,0.02515574710362366,5,0.6
APOBEC3D,0.04271162169840787,3,1.0
APOBEC3F,0.04750845075345508,5,1.0
APOBEC3G,0.027164825924990223,6,0.8333333333333334
APOBEC3H,0.046546623295824964,5,1.0
APOBEC4,0.028252570633837622,6,0.8333333333333334
APOC1,0.03920736129322739,6,0.8333333333333334
APOC1P1,0.05309646368896455,4,1.0
APOC2,0.04577176709856653,8,1.0
APOC3,0.03093954050747051,9,0.7777777777777778
APOC4,0.03690434565922675,8,0.875
APOD,0.032125294761611016,6,0.6666666666666666
APOE,0.027840930991735863,8,1.0
APOF,0.04706699916128241,4,1.0
APOH,0.01691916833599711,4,0.0
APOL1,0.03413904120222328,8,1.0
APOL2,0.0190871282461062,8,0.875
APOL3,0.03877274038554137,12,0.9166666666666666
APOL4,0.015720128730960015,6,0.6666666666666666
APOL5,0.020612761113641576,1,1.0
APOL6,0.021183151879406146,9,0.8888888888888888
APOLD1,0.023565897908183826,20,0.9
APOM,0.022921036133772808,12,0.75
APOO,0.018185473059186996,13,0.6923076923076923
APOOL,0.03569589183663752,8,0.875
APP,0.0040199964165000355,7,0.5714285714285714
APPBP2,0.020989068770875852,11,0.5454545454545454
APPL1,0.021258838345562865,7,0.7142857142857143
APPL2,0.015367371567973341,9,0.5555555555555556
APRT,0.006783485945064801,10,0.5
APTX,0.02872265116578829,9,1.0
AQP1,0.03290830768068241,14,0.8571428571428571
AQP10,0.04291181863883781,5,1.0
AQP11,0.017953111947278926,13,0.5384615384615384
AQP12A,0.032806018250416985,5,1.0
AQP12B,0.024419199918174383,6,0.6666666666666666
AQP2,0.03918257324727319,7,0.8571428571428571
AQP3,0.023838195315015666,5,0.6
AQP4,0.04180054645077641,12,0.8333333333333334
AQP5,0.03362165100307742,7,0.7142857142857143
AQP6,0.07323014591858132,7,1.0
AQP7,0.056412064028010966,1,1.0
AQP7P1,0.026855960642284293,2,1.0
AQP7P2,0.03414948182629074,1,1.0
AQP8,0.037342387948091915,3,1.0
AQP9,0.03854036457528742,5,0.8
AQR,0.02433633763079098,9,0.7777777777777778
AR,0.03253121030388685,35,0.8
ARAF,0.023312590140101067,14,0.5714285714285714
ARAP1,0.020063735062663922,28,0.7857142857142857
ARAP2,0.029805463630892086,10,0.8
ARAP3,0.0075986537330250065,13,0.6153846153846154
ARC,0.015217662544915547,15,0.7333333333333333
ARCN1,0.016098986301836923,8,0.625
AREG,0.056832842258324266,3,1.0
ARF1,-0.00319546173353972,20,0.75
ARF3,0.021745415521763307,13,0.8461538461538461
ARF4,0.020400138759973298,10,0.8
ARF5,0.01571295150451028,6,0.6666666666666666
ARF6,0.016215426293195414,11,0.7272727272727273
ARFGAP1,0.009959686380017365,14,0.7857142857142857
ARFGAP2,0.007728675807032084,10,0.5
ARFGAP3,0.010794570410169312,11,0.5454545454545454
ARFGEF1,0.02137340058777349,7,0.7142857142857143
ARFGEF2,0.0005138514965936092,5,0.4
ARFIP1,0.022430862931572256,9,0.8888888888888888
ARFIP2,0.014550165813527333,15,0.8
ARFRP1,0.0161292393681474,14,0.7142857142857143
ARG1,0.013322523271367737,3,0.3333333333333333
ARG2,0.008712612396816427,12,0.5
ARGFX,0.047859745850542736,6,1.0
ARGFXP2,0.023034195123130152,2,0.0
ARGLU1,0.010581558714994362,10,0.6
ARHGAP1,0.01222986169861143,14,0.7142857142857143
ARHGAP10,0.00474851131274175,6,1.0
ARHGAP11A,0.036277711377905676,7,1.0
ARHGAP11B,0.024693818420162446,10,1.0
ARHGAP12,0.020896542805984523,26,0.5384615384615384
ARHGAP15,0.038011121337311674,4,0.75
ARHGAP17,0.015604493378616592,9,0.8888888888888888
ARHGAP18,0.021760335591216193,9,0.7777777777777778
ARHGAP19,0.025405245868540663,9,0.6666666666666666
ARHGAP20,0.021045841510511084,13,0.7692307692307693
ARHGAP21,0.02555428209518042,10,0.9
ARHGAP22,0.009647748030626653,12,0.8333333333333334
ARHGAP23,0.026168078151718337,9,1.0
ARHGAP24,0.02396541696938079,24,0.5833333333333334
ARHGAP25,0.03643226013265157,17,0.8823529411764706
ARHGAP26,0.011275685697970004,7,1.0
ARHGAP27,0.02195158052611544,16,0.875
ARHGAP28,0.019622456593324972,3,0.6666666666666666
ARHGAP29,0.025315763899963723,16,0.6875
ARHGAP30,0.020683005677907235,4,0.75
ARHGAP4,0.02685200360011037,5,0.6
ARHGAP5,0.029559117923593933,9,0.7777777777777778
ARHGAP6,0.030211543333032723,17,0.7647058823529411
