variante,achse,n,konkordanz,konkordanz_null,konkordanz_null_sd,konkordanz_z,konkordanz_p,konkordanz_mde80,rang,rang_null,rang_null_sd,rang_z,rang_p
alle promotornahen Sonden,osteo,126,0.3492063492063492,0.367375,0.039652474756995876,-0.45819714671012635,1.0,0.47840192931958847,0.014206963419235389,-0.00016994513762755878,0.02582109661054156,0.5567892322200414,0.5756712164391781
S1 nur Sonden mit Dynamik,osteo,87,0.40229885057471265,0.37324885057471263,0.04819428109456507,0.6027686136244913,0.6260686965651717,0.5081928376394949,0.009560651641914126,-3.937062194863083e-05,0.03083765885196384,0.311308400872701,0.7577621118944052
S2a nur CpG-Insel,osteo,97,0.30927835051546393,0.3702067010309278,0.04366810751101885,-1.3952596983986472,1.0,0.4924774020617806,-0.0014154484450123992,0.00031040569503103097,0.029083337456883046,-0.05934168121530284,1.0
S2b nur ausserhalb der Insel,osteo,43,0.4883720930232558,0.39176395348837206,0.07128222812675865,1.3552906814737737,0.23488825558722065,0.5913541922432963,0.05519794451833729,-0.0001894653160166871,0.044111560875916785,1.2556211735548304,0.2103894805259737
alle promotornahen Sonden,myo,126,0.5317460317460317,0.6044448412698412,0.04131025848037099,-1.7598246101111443,1.0,0.72011356501488,-0.039059003922187994,-0.00021453833675537655,0.025765323557253365,-1.5076257629412637,1.0
S1 nur Sonden mit Dynamik,myo,87,0.5287356321839081,0.6478775862068965,0.04565600328765004,-2.609557242064076,1.0,0.7757143954123167,-0.04412636602522344,0.0001649830306667936,0.031085993914038358,-1.4248008018777991,1.0
S2a nur CpG-Insel,myo,97,0.4948453608247423,0.5680242268041237,0.04860787989709326,-1.5054938856479003,1.0,0.7041262905159849,-0.04711953376159723,0.0001968763192227831,0.028950548472026466,-1.6343873459440537,1.0
S2b nur ausserhalb der Insel,myo,43,0.5581395348837209,0.656332558139535,0.06430459644524558,-1.5269985146306602,1.0,0.8363854281862226,-0.020843074325091134,1.0410869357979768e-05,0.04409308780794337,-0.47294227352098395,1.0
S3 osteo minus myo (driftkontrolliert),differenz,126,0.35714285714285715,0.3295011904761905,0.035843791416095235,0.7711702801131275,0.5060746962651868,0.4298638064412571,0.04524226311125149,6.6610564900365545e-06,0.025684630322350695,1.761193425291294,0.0767961601919904
