symbol,delta,n_sonden,donor_konsistent
ACSM1,-0.08510396666666667,2,0.5
ACSM2,-0.0020333566666666685,1,0.0
ACSM3,-0.030872436666666666,2,0.0
ACSS1,0.002494879999999998,1,0.0
ACSS2,-0.03238381666666667,2,0.5
ACTA1,-0.00701769,2,0.0
ACTA2,-0.040307883333333315,2,0.5
ACTB,-0.00011065499999999911,2,0.0
ACTC,-0.014927313333333338,2,0.5
ACTG1,-0.008711556666666665,2,1.0
ACTG2,0.001252466666666674,1,0.0
ACTL6A,-0.019248833333333333,2,0.5
ACTL6B,-0.011760653333333333,2,0.5
ACTL7A,-0.014213349999999977,2,0.5
ACTL7B,-0.019263833333333313,2,0.5
ACTL8,-0.0011123099999999896,2,0.5
ACTN1,-0.018260711666666665,2,1.0
ACTN2,-9.756333333333278e-05,2,0.0
ACTN3,-0.007046950000000019,2,0.0
ACTN4,-0.012576259999999999,2,0.5
ACTR1A,-0.04580632000000001,2,1.0
ACTR1B,0.011002253833333331,2,0.5
ACTR2,-0.050813505,2,1.0
ACTR3,-0.011071241333333336,2,0.5
ACTR3B,0.0019061483333333352,2,1.0
ACTR5,-0.018960916666666668,2,0.5
ACTR6,0.0015648415000000004,2,0.0
ACTRT1,-0.08189704999999997,2,1.0
ACVR1,-0.0007067766666666647,2,0.0
ACVR1B,0.002319981666666666,2,0.0
ACVR1C,0.002527314999999998,2,0.5
ACVR2A,-0.020327976666666667,2,0.5
ACVR2B,0.00037017333333333284,1,0.0
ACVRL1,0.0025847366666666683,2,0.5
ACY1,-0.023162705000000013,2,1.0
ACY3,-0.02282514999999999,2,0.0
ACYP1,-0.006689483333333334,2,0.0
ACYP2,-0.006189873333333352,2,0.0
AD031,-0.1027401,1,1.0
ADA,0.0022259633333333337,2,0.5
ADAM10,0.0053949900000000005,2,0.0
ADAM11,-0.02595107,2,0.5
ADAM12,0.006819663333333333,2,0.5
ADAM15,-0.004668118333333335,2,0.5
ADAM17,0.022063144999999996,2,0.5
ADAM18,-0.10400829999999998,1,1.0
ADAM19,-0.013217346666666668,2,1.0
ADAM2,-0.023123999999999978,2,0.5
ADAM21,-0.07119191666666666,2,0.5
ADAM22,-0.00836313166666667,2,1.0
ADAM23,0.012456368333333332,2,1.0
ADAM29,-0.028468450000000013,2,0.5
ADAM30,-0.028248066666666665,2,0.5
ADAM33,0.027449425,2,0.5
ADAM7,-0.04904948333333334,2,0.5
ADAM8,0.007539393333333334,1,1.0
ADAMDEC1,-0.06727605,2,0.5
ADAMTS1,-0.007586736666666666,2,0.5
ADAMTS10,0.007796526666666662,2,0.5
ADAMTS13,-0.005751000000000006,2,0.0
ADAMTS14,-0.0040391099999999985,2,0.0
ADAMTS15,-0.024558585,2,1.0
ADAMTS17,-0.03906117333333333,2,0.5
ADAMTS18,-0.00420300999999998,2,0.0
ADAMTS19,-0.007422036666666667,2,0.5
ADAMTS2,0.005462373333333334,2,0.0
ADAMTS3,-0.006426793333333332,2,0.5
