internal_name,english_name,files
schwelle_erreicht,threshold_reached,3
seite,side,1
share_match,directional_share,2
spender,donor,9
statistik,statistic,3
studie,study,13
symbol,gene_symbol,37
teil,part,3
teilmenge,subset,3
titel,title,7
treffer,hits,1
ueber_grenze,above_detection_limit,1
ueber_mde80,above_detection_limit,9
urteil,verdict,19
urteil_invitro,verdict_in_vitro_reachable,1
urteil_vorreg,verdict_preregistered,1
variante,variant,8
wert,value,1
wilson_hi,wilson_ci_high,13
wilson_lo,wilson_ci_low,13
z_invitro,z_in_vitro_reachable,1
z_korr,z_corrected,3
z_vorreg,z_preregistered,1
zelle,cell,11
zielgroesse,target_quantity,1
