"symbol","ATAC_AC_rep1","ATAC_AC_rep2","ATAC_OB_rep1","ATAC_OB_rep2"
"OR4F5",49.5731889505907,42.2778598559922,33.22092102443,42.3274830474402
"OR4F29",30.7082101051275,31.1419728850756,40.4302036606727,33.2334411551341
"OR4F16",2847.32562445292,1025.34979260121,127.352032161169,38.7588803852542
"SAMD11",129.084429354527,146.809905699184,86.5164910652437,114.426554303074
"NOC2L",137.61013540592,157.783783103879,94.6390218272597,123.883326616681
"KLHL17",137.746707723002,158.06277189282,94.6197964424442,124.030257083303
"PLEKHN1",139.326046487823,158.345840631856,94.5288854602058,124.717094842656
"PERM1",135.291499189156,153.904972594567,94.270991811246,124.411489978937
"HES4",131.849441048176,150.043425752346,91.7217211210697,123.996502687805
"ISG15",131.883717168041,149.76966559045,91.4206331900002,124.357708241125
"AGRN",134.892062092476,149.914525016502,85.5544081286375,128.564671137536
"RNF223",132.17300698439,151.756359697395,72.5695886205555,132.466696931135
"C1orf159",121.702715697587,143.982293035443,70.1389565917794,123.253371992704
"TTLL10",125.382663006034,144.777688278471,73.7034673583129,123.651569207685
"TNFRSF18",130.962023340964,145.228449173394,74.3267873339801,126.259554203497
"TNFRSF4",128.47941146632,142.117354644841,76.612047452663,123.105341359054
"SDF4",126.931363449178,139.042000453755,81.456102852286,117.84633712426
"B3GALT6",126.979559229129,139.14215088889,81.5196760479181,117.809716782529
"C1QTNF12",130.615103178088,144.322968330461,85.8213889410426,119.93725611234
"UBE2J2",133.129169090559,143.660541273662,88.4520119562353,121.116471147404
"SCNN1D",132.723771181496,146.360493531711,87.2918315528072,120.56092259883
"ACAP3",142.897794236011,162.545640399925,88.61302201821,124.985014855511
"PUSL1",142.105956081339,161.748632422834,88.2658006063356,124.288172214712
"INTS11",147.866593630871,170.05742229816,93.6435618540324,129.77696037371
"CPTP",147.852108684222,170.066073909411,93.6659845604722,129.769585936087
"TAS1R3",146.484966482207,170.612889158757,95.4432476320315,128.091924749163
"DVL1",141.799755459378,164.788544713997,94.7913312649843,120.559804651228
"MXRA8",136.654567659567,157.846712148628,94.2999205670827,110.935490019451
"AURKAIP1",133.990705040067,148.582897051699,95.7616244864881,108.178303909019
"CCNL2",125.190225369861,136.434220956344,96.5151930544606,104.888550111169
"MRPL20",118.894507209195,129.542315542964,92.0742041196242,97.3227365806977
"ANKRD65",109.434339655039,117.674466865634,82.8285153221841,88.0442072866044
"TMEM88B",108.381193444135,116.407525251333,79.878581392485,87.5030158479989
"VWA1",105.963230234552,113.527846867855,74.7434252720017,85.4203588809881
"ATAD3C",101.76215067058,109.646980804528,70.0210446507179,82.4904911887931
"ATAD3B",97.2135693174929,106.458228689024,64.7138554755029,82.5541709833001
"ATAD3A",99.6546860408177,104.386793718587,62.6065970351388,77.8574278540206
"TMEM240",101.847099018239,105.792463353519,67.3796814194479,78.1904301306474
"SSU72",112.681243566783,117.584619988065,83.3143689551406,87.9906223616758
"FNDC10",109.271268048525,117.261470299748,88.1361696019879,88.4200246620848
"MIB2",106.152816119213,112.720340903406,89.8793472762466,89.6862998348604
"MMP23B",105.113822127315,115.483640544057,91.5184717936341,88.6257882940899
"CDK11B",99.660424537516,110.91709222612,86.3712898294202,87.3296933149706
"SLC35E2B",75.342754948758,87.3573051060448,82.1165063942302,60.7494821892455
"CDK11A",79.3021405281123,91.140322725732,80.7757954659765,59.7429742439192
"NADK",82.54322395138,88.3064365114732,60.52264415701,58.5427963375185
"GNB1",107.522357833464,114.946927851132,80.9035197852053,101.57266414086
"CALML6",117.447997621925,125.376467268027,82.6675369627662,110.555091297511
"TMEM52",118.531662542681,127.62562553305,81.9638084653887,112.665973657046
"CFAP74",113.68948325719,127.601841651239,47.8073764982051,117.073493952881
"GABRD",113.489471113735,126.332386047096,46.1966671437306,118.231162524032
"PRKCZ",116.215949486554,127.216708816029,47.3158124432156,123.577082826712
"FAAP20",133.015151697922,153.308062155618,117.709606804244,126.903722964048
"SKI",135.669144504614,155.213592455913,109.863254707009,126.31041030801
"MORN1",115.351425153919,129.105850535101,67.7942908712403,117.371591030812
"RER1",115.374949573682,129.146147060661,67.7995771770252,117.418055298109
"PEX10",123.799783926122,139.655730134137,69.5108764955128,138.257053171452
"PLCH2",129.786287289359,148.391646891465,67.8128113286446,154.249789782714
"PANK4",139.780947876964,153.761978023507,67.7629799672766,160.69813686654
"HES5",139.404145662595,152.347214125304,70.209070022435,158.173546260689
"TNFRSF14",135.671727480718,143.189712357548,88.3433668132426,149.068546675763
"PRXL2B",130.770777933465,131.583112720035,73.7634655973856,143.800106991642
"MMEL1",119.196297904297,121.802136859735,71.1701062487133,150.072906376758
"TTC34",91.3150570595018,98.6315212616232,42.1195466498355,178.920038625016
"ACTRT2",105.105164047751,112.779926209866,45.5910901037663,170.280633108661
"PRDM16",121.77632954486,131.281532240543,46.8705820077764,195.964435241399
"ARHGEF16",130.475013970786,145.015302107185,51.7360664820284,187.300104713607
"MEGF6",117.130989913896,136.693130070925,62.6049895115095,145.412622585759
"TPRG1L",115.487117189417,131.370437052238,63.0635700303216,135.928512446917
"WRAP73",119.335513777877,130.576236143551,62.4418430479981,145.338126487104
"TP73",119.299179797985,130.6034863847,62.4520829457802,145.277574677552
"CCDC27",120.264060266513,129.033318265796,57.5070093963698,146.834305284071
"SMIM1",105.712617716593,111.320860448197,61.7170441022471,120.553759404525
"LRRC47",94.635971551679,98.1317572580629,60.5973067995695,100.222059616663
"CEP104",86.3926952146894,85.7685735481931,78.0465115241829,92.7282898085649
"DFFB",86.343484373043,85.7348735817895,77.9181780475408,92.6406837596458
"C1orf174",99.4521659094374,97.4640543332467,99.4250067505155,120.203085329857
"AJAP1",91.7065023411522,97.2482871774354,42.5239441621407,179.713848479543
"NPHP4",102.047353652822,105.390696111305,71.1110411800539,111.614914055484
"KCNAB2",101.515428111383,104.912199751759,70.9986780476052,110.993264290302
"CHD5",113.40946716617,120.707756147401,76.172697319472,122.129687076459
"ENSG00000285629",109.201747730354,119.362732145129,79.470567478372,113.323987012805
"RPL22",111.260142783268,118.621786126481,81.9027069279574,109.449891139582
"RNF207",110.592167010675,119.124595280332,81.0891670841027,110.516085518032
"ICMT",115.213121376937,121.691119526428,77.6401920118401,108.075487927682
"HES3",116.86839590468,121.421722465767,72.9655431427301,110.903081541682
"GPR153",111.630710048278,114.75874626265,64.921415342548,108.388453748165
"ACOT7",99.445458994638,105.752145920719,75.7709799974937,89.0636334159338
"HES2",105.351017677727,113.642635665543,71.4720156556743,96.0841064321762
"ESPN",105.387909436094,113.700567159126,71.4573930731142,96.1488757546765
"TNFRSF25",121.276218907341,131.492554433092,56.9201652414193,115.998140034204
"PLEKHG5",106.303445733108,109.311263925261,57.306293421966,98.3460499246084
"NOL9",97.4347227883218,103.932276973634,79.7416322893067,89.8977739991833
"TAS1R1",97.6034720100736,103.710303130396,80.4450233566807,89.9079390273958
"ZBTB48",101.830508820723,104.520083234716,98.5946814294317,98.1864874456822
"KLHL21",106.567320436764,109.168175098565,110.239956822255,97.3092755699337
"PHF13",106.58378036563,109.345257527911,110.180192224886,97.449629579409
"THAP3",105.331058257499,106.384355477282,110.953023535377,94.2750100443559
"DNAJC11",69.4098608823936,73.3175883655533,60.3110893326772,58.279430646606
"CAMTA1",69.3213953940272,69.3931217942463,102.317536563429,67.7240553669998
"VAMP3",62.9491602913838,65.5968127447775,71.3724612028743,59.9062634092578
"PER3",59.9450884383226,62.5923046864835,71.9078530999295,57.2752717083062
"UTS2",62.5882694117756,59.5078952616941,49.8951999450519,57.0609377968552
"TNFRSF9",69.8192787877697,70.1528957626993,71.4251844751484,58.7957828873421
"PARK7",70.4717530007501,71.4631187750837,71.8553943576997,61.8441278370714
"ERRFI1",68.9575065783068,75.2342938088939,95.2230584160934,60.7557061849596
"SLC45A1",80.3832434597922,89.8958421010717,60.1010478612322,63.8069907108147
