"symbol","K27_AC_rep1","K27_AC_rep2","K27_hMSC_rep1","K27_hMSC_rep2","K27_OB_rep1","K27_OB_rep2"
"OR4F5",0.583051893873553,1.08260672289456,0.458715918502226,0.640646087046304,0.558545318074256,0.817425416313871
"OR4F29",0.505404867777673,0.964893406757318,0,0,0.254778268704477,0
"OR4F16",0.513043695406473,0.514609796655253,0.343427000976338,0.666587129779341,0.40709137034061,0.735611760053927
"SAMD11",1.03907796345753,1.26239751397622,3.48540541905606,2.25526001613009,1.92797462621594,1.97265065474568
"NOC2L",1.03783464517639,1.27743278956432,2.56545940553121,1.64577426961497,1.71093813798457,1.68728228202342
"KLHL17",1.04748976856995,1.28667923456036,2.61246913607493,1.69145738313463,1.71185716436789,1.69350986719453
"PLEKHN1",1.00087269221677,1.24492959196731,2.68031170309064,1.69788924187316,1.65341473522912,1.64730258083226
"PERM1",0.902764412448988,1.0124602233709,2.32921588826989,1.29867114973557,1.22316944274881,1.3284521868195
"HES4",1.27786163517119,1.53226955011413,2.34209305361716,1.41002699558488,1.93509292984748,1.934578088393
"ISG15",1.29535106785545,1.57092068762194,2.36992110097186,1.52657151794419,1.97692320200983,1.96041634636192
"AGRN",1.26494256080585,1.52505420546977,3.2137413867257,2.29981952578179,1.80623157627341,1.84237345947796
"RNF223",0.95265553015973,1.12162992386437,2.9714146236155,1.44057313470833,1.48736760453926,1.5908867727307
"C1orf159",0.963657608253621,1.10964407980079,2.20199321702787,1.44301135378664,1.50090420108761,1.63145889551914
"TTLL10",0.764847011823793,0.971967590372185,2.48770759376572,1.05693724305205,1.08516919023182,1.19477143510355
"TNFRSF18",0.974010333724688,1.27458201866996,3.26690594086416,1.79818258262178,1.48580763843674,1.47540154062105
"TNFRSF4",0.989163840776645,1.25147014595445,3.08861854215218,1.63283749905714,1.59421170558067,1.63636150898787
"SDF4",1.3212962839341,1.48675391162048,2.95923910072293,1.61633845647227,2.08533529032712,2.22234783753135
"B3GALT6",1.32280241693235,1.48723809573979,2.96165486888927,1.61877122058723,2.08570028330244,2.2247092432304
"C1QTNF12",1.05460817412582,1.21959396254534,2.92691834084839,1.64136048009818,1.81694996935489,2.01224105708391
"UBE2J2",1.95873796962032,2.28368595302853,3.29450405484837,2.65367475389403,2.73140226857822,2.67029781533386
"SCNN1D",1.57722686695013,1.94496562719128,2.98941189495904,2.08195015237959,2.28511312234745,2.39060236663432
"ACAP3",1.36587047321663,1.58343873854465,3.17935072855827,2.1773305829718,2.64245464297585,2.51406714564246
"PUSL1",1.34527271829592,1.5766452572311,3.14296966348044,2.1730986685452,2.580490003739,2.47327162234976
"INTS11",1.14004630068258,1.42485692241164,2.71873535515099,1.51338885246297,2.1486427849904,2.10394198087531
"CPTP",1.13976842843859,1.42505949207171,2.71827021328614,1.5129990835853,2.14827621792507,2.10292734484543
