"symbol","K27_AC_rep1","K27_AC_rep2","K27_hMSC_rep1","K27_hMSC_rep2","K27_OB_rep1","K27_OB_rep2"
"A1BG",1.87059306129304,2.1726298505125,2.49172096231188,1.40372650682171,2.5527494500977,2.16578498792134
"A1CF",1.27908891275604,1.36169186777395,1.19281419935229,1.58657437858229,0.941078420041507,1.12412807096883
"A2M",0.902885110120514,1.19528190714976,0.807178540802605,1.05124065716573,0.668361775932157,0.935292001291302
"A2ML1",1.19366009217816,1.34221311660631,1.31826705725653,1.23359400787875,1.00231822550066,1.17167362177524
"A3GALT2",2.35585736279712,2.18037344821786,2.42619746396406,2.1004284755852,3.17876852754467,2.99090220638382
"A4GALT",2.44696752222762,2.33621421812234,2.74449078623388,2.09751388799781,2.98716885572829,2.91967418288198
"A4GNT",1.73757735537867,1.52042342433762,2.16737757386526,2.49574691113857,1.81709630513554,1.83219267073596
"AAAS",2.46221726974379,2.53214807413939,2.52841071018167,2.43207300202629,2.56579288530117,2.27323501349311
"AACS",1.89823505899853,1.88144603740471,2.1622051184863,1.80368208620166,2.87460695094397,2.64359785616198
"AADAC",2.36289558408903,2.14369653066565,2.11822411060918,3.27217840169437,1.32661725893032,1.50691853008013
"AADACL2",1.90901081782526,1.81456814441618,1.36157529530664,1.71593409944782,1.18654014729548,1.43247452092769
"AADACL3",0.690009141695058,0.948828547400681,0.995460336017239,0.869518299086744,0.509954131925318,0.770782652070314
"AADACL4",1.90150712892545,1.72633773279734,1.91516368546278,1.65024050328448,2.36588755421913,2.35077986283368
"AADAT",1.48422673060852,1.50732443266302,1.3676617891404,1.66674635647049,1.20101514440093,1.29201842674745
"AAGAB",3.71626533947595,3.27672709036862,2.21378179103646,2.71733352603527,2.41104808015165,2.19617292584139
"AAK1",3.47515925865165,3.09826778779945,2.30542693331624,2.69762706803549,2.73671386754701,2.56019006686759
"AAMDC",2.22554698880654,2.08984775996504,1.85048370296587,2.31905613692814,1.96277567596586,1.87385001668
"AAMP",2.5398752146809,2.86984486009643,3.45995147952809,2.53254902317671,3.01990461378173,3.0498651423836
"AANAT",2.16501232471711,2.06307939096546,3.04229767917363,1.9771085964881,2.17122413963753,1.89607814576487
"AAR2",1.89807707295341,1.83232997628546,1.81507458722686,1.58316775379468,1.86917079591657,1.86072673707106
"AARD",1.98404377186441,1.8967342556485,1.47201076850498,1.89626268424204,2.77671143487018,2.45599271067041
"AARS1",1.99172413481896,2.03249835072238,1.90067292830247,1.76892402703078,2.18315343359975,2.23909869759932
"AARS2",1.30981109750378,1.51917379150548,2.3398383004952,1.72226435391241,1.85853727423807,1.77923522693494
"AARSD1",1.78326222356531,1.97428834273007,2.05637772703433,1.68636779380339,1.86430227164685,1.94876114395622
"AASDH",1.90389760574782,2.01660719724951,1.22824024882949,1.67206113634212,1.18412809165495,1.2134383203157
"AASDHPPT",3.29458319229657,2.86755446929083,1.80505867123936,2.58263962171559,1.64610163128984,1.7088990933661
"AASS",2.0739685385126,1.93456020260766,1.32708924167909,1.80092435681903,1.50551422920898,1.61306339542027
"AATF",2.28714047544025,2.1479641428554,1.68199601379317,1.95408154203596,1.74913248510991,1.77736481116186
"AATK",0.827932053574395,1.16060092907386,2.27043806381778,1.16601701634018,1.42214243659705,1.43345496026869
"ABAT",1.0489445156863,1.24984553939937,1.26183135212068,1.15017620795523,1.14288413224546,1.34426173246343
"ABCA1",4.00338128216748,3.8552637174417,2.69882927048694,3.41772903104809,3.03086081354082,2.94923573786087
"ABCA10",2.20168550897843,2.05726010725872,1.77777043857858,2.61836919346734,1.4377802333851,1.54168385898846
"ABCA12",1.2701343508261,1.35741765531798,1.02297725371018,1.33590672004053,0.874278163878366,1.0500525216601
"ABCA13",0.836839123089039,1.08512813572671,0.876544094537594,1.1685542884244,0.578436641342253,0.830401467532539
"ABCA2",0.848919141100592,1.08970525334562,2.49787496945626,1.2847447904896,1.56414903235588,1.73037584238226
"ABCA3",1.16827265906326,1.26511501045061,1.80587949165041,1.11928155189688,1.42372671319549,1.51760467817911
"ABCA4",5.21102011407658,4.53909663098803,2.71761727958813,2.80606877919309,3.56607312717966,3.43145092904347
"ABCA5",2.17954023221757,2.10239116384235,1.45237036125552,2.03546812765713,1.63398645445722,1.62138562806583
"ABCA6",2.00604470673134,1.94908112079199,1.64581745896112,2.25178175979697,1.45791406209663,1.54299707505839
"ABCA7",0.821604902295442,0.981963554946503,2.3530311626461,1.34461119794091,1.60701784813364,1.61112780730824
"ABCA8",2.24368823652038,2.10831875343358,1.56600309981278,2.14610176449099,1.82561427436236,1.80459252741825
"ABCA9",2.41215598432376,2.3594274830028,2.3458917621646,3.37044323467327,1.79917571054021,1.96481775917381
"ABCB1",0.676730070184199,0.982624279378468,0.651786816141064,0.89353535422689,0.540310079577093,0.789829770004751
"ABCB10",2.29171479053639,2.38976583369444,1.90603795531035,1.80113450938905,2.0361951525291,2.1386872309294
"ABCB11",1.50580474471438,1.58545709191225,1.40236207353812,1.82912868473626,1.53631091028969,1.60175144432263
"ABCB4",1.5445688655707,1.73907777966076,1.16597360257058,1.61842453706386,1.09846597307227,1.35622358882978
"ABCB5",1.30715236332795,1.28983250893815,0.765995439538517,1.03279140323294,0.932966496639411,1.06849126091431
