status,n_gene_set,observed,null_mean,null_sd,z,p_value,detection_limit_delta,delta_observed,run,target_quantity,matching,gene_set
ok,355,0.7529832498233435,0.7074175473837995,0.0144632392383084,3.1504493349494864,0.0019990004997501,0.0404970698672635,0.045565702439544,P1_expression_ohne_pub,expr_rank_med,laenge,PanelApp 309
ok,154,0.7397505422779015,0.7076674149368825,0.0225349253900352,1.4237068366423775,0.1489255372313843,0.0630977910920985,0.032083127341019,P1_expression_ohne_pub,expr_rank_med,laenge,Nosology (core)
ok,539,0.7441561548784059,0.7074537544166964,0.0121084289432615,3.031144720235128,0.0019990004997501,0.0339036010411323,0.0367024004617094,P1_expression_ohne_pub,expr_rank_med,laenge,Nosology (broad)
ok,1129,0.748702022787294,0.7103567610557747,0.0080677369636973,4.752914219199576,0.000999500249875,0.0225896634983526,0.0383452617315193,P1_expression_ohne_pub,expr_rank_med,laenge,short stature
ok,5649,0.718711812143756,0.7055678846778735,0.0038265832582769,3.434899119848493,0.000999500249875,0.0107144331231755,0.0131439274658825,P1_expression_ohne_pub,expr_rank_med,laenge,height GWAS
ok,1296,0.7399763755359683,0.7005268152893539,0.0078777571257762,5.007714710768926,0.000999500249875,0.0220577199521734,0.0394495602466143,P1_expression_ohne_pub,expr_rank_med,laenge,cell cycle (neg. control)
ok,147,0.6766025867305305,0.7021409325905862,0.022991590335609,-1.1107690023731067,0.2718640679660169,0.0643764529397054,-0.0255383458600556,P1_expression_ohne_pub,expr_rank_med,laenge,programme (173 genes)
ok,355,0.7529832498233435,0.7582378681915423,0.0132146975315288,-0.3976344033347551,0.6906546726636682,0.0370011530882807,-0.0052546183681987,P1_expression_mit_pub,expr_rank_med,laenge+log_pub,PanelApp 309
ok,154,0.7397505422779015,0.7617080751459653,0.01982038328932,-1.1078258451185117,0.2848575712143928,0.055497073210096,-0.0219575328680637,P1_expression_mit_pub,expr_rank_med,laenge+log_pub,Nosology (core)
ok,539,0.7441561548784059,0.7576912838823311,0.0106925563452907,-1.2658459368218655,0.224887556221889,0.0299391577668141,-0.0135351290039251,P1_expression_mit_pub,expr_rank_med,laenge+log_pub,Nosology (broad)
ok,1129,0.748702022787294,0.7653571065118697,0.0073776674773411,-2.2574999179250272,0.0269865067466266,0.0206574689365551,-0.0166550837245756,P1_expression_mit_pub,expr_rank_med,laenge+log_pub,short stature
