dataset_id,dataset,arm,n,concordance,concordance_detection_limit,concordance_null,concordance_null_sd,concordance_z,concordance_p,passed,calibration_status,above_detection_limit,calibration
5,"SERPINA3-KD, chondrogenic (GSE247491)",chondrogenic,29,1.0,0.7752563263266081,0.518632183908046,0.0916514794352007,5.252155437733982,0.0006664445184938,False,too few genes,True,not calibratable
13,"SERPINA3-KD, osteogenic (GSE247528)",osteogenic,31,1.0,0.7559500559057548,0.5006236559139785,0.0911879999970629,5.476338378976463,0.0006664445184938,False,ok,True,failed
16,YAP/TAZ-KD (GSE137035),osteogenic,142,0.7323943661971831,0.6188026324704132,0.5019600938967136,0.0417294780620356,5.522098118694484,0.0006664445184938,False,ok,True,failed
8,ARSB / MPS VI (GSE218101),chondrogenic,169,0.8047337278106509,0.6019155869486902,0.4944615384615384,0.0383764458882685,8.084964153597172,0.0006664445184938,False,ok,True,failed
11,RB1 +/- (GSE245585),osteogenic,166,0.8855421686746988,0.6866656591088596,0.5821566265060241,0.0373246545010126,8.128288023682671,0.0006664445184938,False,ok,True,failed
9,ACVR1 / FOP (GSE221128),chondrogenic,167,0.9161676646706588,0.6272781764791493,0.5185548902195608,0.0388297450927101,10.239901742897224,0.0006664445184938,False,ok,True,failed
1,"LAMA5-KO, chondrogenic (E-MTAB-16566)",chondrogenic,163,0.9386503067484664,0.6155134728762695,0.505239263803681,0.039383646097353,11.004848100488973,0.0006664445184938,True,ok,True,passed
15,TP53 LFS (GSE102732),osteogenic,173,0.9364161849710982,0.6219801173577771,0.5180539499036608,0.0371164883764701,11.271600665020266,0.0006664445184938,False,ok,True,failed
10,RNF4-KD (GSE205432),osteogenic,173,0.9248554913294798,0.5992854481462122,0.4920539499036608,0.038296963658054,11.30119727741911,0.0006664445184938,False,ok,True,failed
7,LINC01638-KD (GSE227512),osteogenic,135,0.9777777777777776,0.6121169222346029,0.4923851851851852,0.0427613346605063,11.351203054026596,0.0006664445184938,False,ok,True,failed
2,"LAMA5-KO, osteogenic (E-MTAB-16566)",osteogenic,163,0.950920245398773,0.6101659797683696,0.4992229038854806,0.0396225271010317,11.400013440877425,0.0006664445184938,False,ok,True,failed
6,MIR181A1HG-KD (GSE184087),osteogenic,170,0.9705882352941176,0.6159871286775684,0.5098882352941176,0.037892461922661,12.158090992881238,0.0006664445184938,False,ok,True,failed
18,RB1-del isogenic (GSE145235),osteogenic,171,0.9766081871345028,0.6154354907688494,0.5089551656920077,0.0380286875274434,12.29737474124009,0.0006664445184938,False,ok,True,failed
17,RB1-mut isogenic (GSE145235),osteogenic,173,0.9710982658959536,0.5991597521635019,0.4911946050096339,0.0385589811263814,12.44596321965514,0.0006664445184938,False,ok,True,failed
14,ERCC6L2-KD (GSE190542),osteogenic,171,0.9707602339181286,0.6040400420345821,0.4986627680311891,0.0376347407154974,12.544193394496698,0.0006664445184938,True,ok,True,passed
4,FN1 C231W (GSE251698),chondrogenic,173,1.0,0.6256131816989474,0.5207687861271676,0.0374444269899213,12.798465683606894,0.0006664445184938,False,ok,True,failed
3,FN1 C123R (GSE251698),chondrogenic,173,1.0,0.6256131816989474,0.5207687861271676,0.0374444269899213,12.798465683606894,0.0006664445184938,False,ok,True,failed
12,Nonunion (GSE226565),osteogenic,169,0.9349112426035504,0.549543146614699,0.4447593688362919,0.0374227777780025,13.097688169352676,0.0006664445184938,False,ok,True,failed
