zone,zone_rank,sample,specimen,contrast,detection_limit,z,p_value
MesCond,1,Pcw5.1_WholeLimb_LowerLimb,Pcw5.1,0.0613403767347335,0.0736987839705846,2.331583661493021,0.0109994500274986
MesCond,1,Pcw6.1_Distal_UpperLimb,Pcw6.1,0.0687601417303085,0.075157495603337,2.5625961556135626,0.0049997500124993
MesCond,1,Pcw6.1_Distal_LowerLimb,Pcw6.1,0.0703171715140342,0.0741612571489826,2.6553944044382365,0.0039998000099995
MesCond,1,Pcw5.6_Distal_UpperLimb,Pcw5.6,0.0837202817201614,0.080135578850824,2.924772369005308,0.0017999100044997
MesCond,1,Pcw5.6_Middle_UpperLimb,Pcw5.6,0.0744154304265976,0.0821228145465149,2.5383346875108086,0.0062996850157492
MesCond,1,Pcw5.6_Proximal_UpperLimb,Pcw5.6,0.0867035090923309,0.0813442770881966,2.98392715841106,0.0007999600019999
MesCond,1,Pcw5.6_Distal_LowerLimb,Pcw5.6,0.0909702330827713,0.080365832651129,3.168324841689087,0.0006999650017499
MesCond,1,Pcw5.6_Middle_LowerLimb,Pcw5.6,0.095127910375595,0.0841245781650949,3.164750047130175,0.0006999650017499
MesCond,1,Pcw5.6_Proximal_LowerLimb,Pcw5.6,0.0749023407697677,0.081821250086992,2.563936943734264,0.0064996750162491
ChondroProg,2,Pcw5.1_WholeLimb_LowerLimb,Pcw5.1,0.070274993777275,0.0812739453570179,2.422313910062022,0.0096995150242487
ChondroProg,2,Pcw7.2_s1_Thigh_LowerLimb,Pcw7.2_s1,0.1037722527980804,0.082411626692958,3.5230491511730557,0.0001999900004999
ChondroProg,2,Pcw7.2_s2_Thigh_LowerLimb,Pcw7.2_s2,0.081180453300476,0.084598576532658,2.687372260274706,0.0027998600069996
ChondroProg,2,Pcw6.5_Thigh_LowerLimb,Pcw6.5,0.1060082167387008,0.082247000969677,3.605395166836475,0.0001999900004999
ChondroProg,2,Pcw5.4_s1_Thigh_LowerLimb,Pcw5.4_s1,0.1152752488851547,0.0811816347522751,3.971592741898564,0.0001999900004999
ChondroProg,2,Pcw5.4_s2_Thigh_LowerLimb,Pcw5.4_s2,0.1067750975489616,0.080790037551784,3.6974227552149936,0.0001999900004999
ChondroProg,2,Pcw6.1_Proximal_UpperLimb,Pcw6.1,0.1163909882307052,0.0847546459134225,3.840913950545152,0.0001999900004999
ChondroProg,2,Pcw6.1_s1_Middle_UpperLimb,Pcw6.1_s1,0.1249994933605194,0.0861156275798167,4.059059984790969,9.99950002499875e-05
ChondroProg,2,Pcw6.1_Distal_UpperLimb,Pcw6.1,0.1071188300848007,0.0817663738936388,3.665748223213139,9.99950002499875e-05
ChondroProg,2,Pcw6.1_Proximal_LowerLimb,Pcw6.1,0.1181410998106002,0.0848495726889671,3.894148688597681,0.0001999900004999
ChondroProg,2,Pcw6.1_s2_Middle_UpperLimb,Pcw6.1_s2,0.1235359162092208,0.0861742253471104,4.008900404981261,9.99950002499875e-05
ChondroProg,2,Pcw6.1_Distal_LowerLimb,Pcw6.1,0.1113617569208145,0.0804770047612672,3.87219104830829,0.0001999900004999
ChondroProg,2,Pcw5.6_Distal_UpperLimb,Pcw5.6,0.1136370599269867,0.0828634116816569,3.836890198396235,9.99950002499875e-05
ChondroProg,2,Pcw5.6_Middle_UpperLimb,Pcw5.6,0.1139116436243057,0.0849783819604057,3.7496160851481193,0.0001999900004999
ChondroProg,2,Pcw5.6_Proximal_UpperLimb,Pcw5.6,0.1194531470537185,0.0849377366456426,3.9333983281014575,9.99950002499875e-05
ChondroProg,2,Pcw5.6_Distal_LowerLimb,Pcw5.6,0.1095701307058334,0.0833716489405706,3.677311825906509,9.99950002499875e-05
ChondroProg,2,Pcw5.6_Middle_LowerLimb,Pcw5.6,0.110107883810997,0.0837227343901912,3.678950311425873,0.0001999900004999
ChondroProg,2,Pcw5.6_Proximal_LowerLimb,Pcw5.6,0.1166616082191467,0.0850698204721183,3.8359981228964255,9.99950002499875e-05
RestingChon,3,Pcw7.2_s1_Thigh_LowerLimb,Pcw7.2_s1,0.1204735115170478,0.0832722577352146,4.046098844843467,9.99950002499875e-05
RestingChon,3,Pcw7.2_s2_Thigh_LowerLimb,Pcw7.2_s2,0.1223891600966453,0.0829808369261482,4.124708636676632,9.99950002499875e-05
RestingChon,3,Pcw6.5_Thigh_LowerLimb,Pcw6.5,0.1225998625159263,0.0862782735610993,3.97248901006788,0.0001999900004999
RestingChon,3,Pcw9.3_s1_Thigh_LowerLimb,Pcw9.3_s1,0.098262682557106,0.0805152627254979,3.4147725514063336,0.0001999900004999
RestingChon,3,Pcw9.3_s2_Thigh_LowerLimb,Pcw9.3_s2,0.1100939437747001,0.0802387681431932,3.837705871352005,0.0001999900004999
RestingChon,3,Pcw9.0_s1_Thigh_LowerLimb,Pcw9.0_s1,0.1483768224716186,0.0882397407046309,4.70046578227971,9.99950002499875e-05
RestingChon,3,Pcw9.0_s2_Thigh_LowerLimb,Pcw9.0_s2,0.1485348045825958,0.0880996604072481,4.713372562236337,9.99950002499875e-05
RestingChon,3,Pcw6.1_Proximal_UpperLimb,Pcw6.1,0.1236055195331573,0.087578334488692,3.94743172338028,0.0001999900004999
RestingChon,3,Pcw6.1_s1_Middle_UpperLimb,Pcw6.1_s1,0.1366112530231475,0.0902529748602894,4.23257590974007,9.99950002499875e-05
RestingChon,3,Pcw6.1_Proximal_LowerLimb,Pcw6.1,0.1179230064153671,0.0916030715769079,3.601183712388253,0.0001999900004999
RestingChon,3,Pcw6.1_s2_Middle_UpperLimb,Pcw6.1_s2,0.1363601982593536,0.0898903974689951,4.242069256814167,9.99950002499875e-05
RestingChon,3,Pcw5.6_Proximal_UpperLimb,Pcw5.6,0.151259645819664,0.0951095248900917,4.445721056039141,9.99950002499875e-05
ProlifChon,4,Pcw7.2_s1_Thigh_LowerLimb,Pcw7.2_s1,0.1385999619960785,0.0820456953773711,4.723185843590441,9.99950002499875e-05
ProlifChon,4,Pcw7.2_s2_Thigh_LowerLimb,Pcw7.2_s2,0.130677580833435,0.0817097602661772,4.472192145232624,9.99950002499875e-05
ProlifChon,4,Pcw6.5_Thigh_LowerLimb,Pcw6.5,0.137630209326744,0.0810687975204665,4.745309382801002,9.99950002499875e-05
ProlifChon,4,Pcw5.4_s1_Thigh_LowerLimb,Pcw5.4_s1,0.1396605670452118,0.0887728992853721,4.3986027232943,9.99950002499875e-05
ProlifChon,4,Pcw9.3_s1_Thigh_LowerLimb,Pcw9.3_s1,0.1723086088895797,0.08231859293533,5.844730258846702,9.99950002499875e-05
ProlifChon,4,Pcw9.3_s2_Thigh_LowerLimb,Pcw9.3_s2,0.1170470938086509,0.0807463459017385,4.053835305250588,9.99950002499875e-05
ProlifChon,4,Pcw9.0_s1_Thigh_LowerLimb,Pcw9.0_s1,0.1362094432115554,0.0753568596491936,5.0542429375886,9.99950002499875e-05
ProlifChon,4,Pcw9.0_s2_Thigh_LowerLimb,Pcw9.0_s2,0.1385362148284912,0.0762369306185701,5.081907327625967,9.99950002499875e-05
ProlifChon,4,Pcw6.1_Proximal_UpperLimb,Pcw6.1,0.1360124945640564,0.0875879128068711,4.342542200581583,9.99950002499875e-05
ProlifChon,4,Pcw6.1_s1_Middle_UpperLimb,Pcw6.1_s1,0.1421655714511871,0.0887829818185896,4.477520956302565,9.99950002499875e-05
ProlifChon,4,Pcw6.1_Distal_UpperLimb,Pcw6.1,0.1185825318098068,0.0879225470785405,3.773688611023601,0.0001999900004999
ProlifChon,4,Pcw6.1_Proximal_LowerLimb,Pcw6.1,0.1366567462682724,0.0878222939275496,4.352702124288935,9.99950002499875e-05
ProlifChon,4,Pcw6.1_s2_Middle_UpperLimb,Pcw6.1_s2,0.1433473080396652,0.0902699534268558,4.440327693268738,9.99950002499875e-05
ProlifChon,4,Pcw6.1_Distal_LowerLimb,Pcw6.1,0.1295972615480423,0.0884882059731046,4.096179748235988,9.99950002499875e-05
ProlifChon,4,Pcw5.6_Middle_UpperLimb,Pcw5.6,0.1452407240867614,0.0902353557589854,4.501995480038628,9.99950002499875e-05
ProlifChon,4,Pcw5.6_Proximal_UpperLimb,Pcw5.6,0.1390536576509475,0.0920665946713909,4.22526282372203,9.99950002499875e-05
ProlifChon,4,Pcw5.6_Distal_LowerLimb,Pcw5.6,0.1306195259094238,0.0918107346325139,3.978876442040701,9.99950002499875e-05
ProlifChon,4,Pcw5.6_Middle_LowerLimb,Pcw5.6,0.135408878326416,0.0913531869481753,4.146530331791685,9.99950002499875e-05
PrehyperChon,5,Pcw8.4_s1_Thigh_LowerLimb,Pcw8.4_s1,0.1730838567018509,0.0947449471836079,5.10968022900919,9.99950002499875e-05
PrehyperChon,5,Pcw8.4_s2_Thigh_LowerLimb,Pcw8.4_s2,0.1650209426879882,0.0939041427491371,4.915575953721786,9.99950002499875e-05
PrehyperChon,5,Pcw7.2_s1_Thigh_LowerLimb,Pcw7.2_s1,0.1427780985832214,0.0880886464325389,4.535071587577824,9.99950002499875e-05
PrehyperChon,5,Pcw7.2_s2_Thigh_LowerLimb,Pcw7.2_s2,0.1333804726600647,0.0871293823530634,4.282784012803285,9.99950002499875e-05
PrehyperChon,5,Pcw9.0_s1_Thigh_LowerLimb,Pcw9.0_s1,0.2031934857368469,0.0988011856047587,5.750325802288858,9.99950002499875e-05
PrehyperChon,5,Pcw9.0_s2_Thigh_LowerLimb,Pcw9.0_s2,0.1943189054727554,0.094876834228425,5.725246476120511,9.99950002499875e-05
PrehyperChon,5,Pcw6.1_s1_Middle_UpperLimb,Pcw6.1_s1,0.1540648192167282,0.0935991298683043,4.60483881573431,9.99950002499875e-05
PrehyperChon,5,Pcw6.1_s2_Middle_UpperLimb,Pcw6.1_s2,0.1711149960756302,0.0948961703012269,5.041836229415608,9.99950002499875e-05
HyperChon,6,Pcw9.0_s2_Thigh_LowerLimb,Pcw9.0_s2,0.1324875801801681,0.0889352426184621,4.169282891359868,9.99950002499875e-05
