compared_to,side,n_gene_set,n_panel,observed,null_mean,null_sd,odds_ratio_matched,odds_ratio_detection_limit,z,p_value,above_detection_limit,gene_set,compartment
S_BIOSYN,programme,147,1616,10,14.8759,3.618308140234865,0.6483032885748727,1.8206601271948264,-1.34756350510366,0.1255937203139842,False,programme (173 genes),biosynthetic secretion
S_DISTAL,programme,147,416,4,4.87975,2.157434277940624,0.8146711631521305,2.3372816142210446,-0.4077760370247587,0.552472376381181,False,programme (173 genes),distal secretion
S_BIOSYN,disease genes PA309,355,1616,27,47.15535,6.3419498101033325,0.5373912096775507,1.4608394615390214,-3.178099890965804,0.00069996500175,False,PanelApp 309,biosynthetic secretion
S_DISTAL,disease genes PA309,355,416,37,13.96015,3.654289215289815,2.8424291475486254,1.7865447235819507,6.3048786351117405,9.99950002499875e-05,True,PanelApp 309,distal secretion
S_BIOSYN,disease genes NOSO,154,1616,16,20.0167,4.113583254093616,0.7760667668583688,1.723591788923451,-0.9764479656520376,0.2678866056697166,False,Nosology (core),biosynthetic secretion
S_DISTAL,disease genes NOSO,154,416,15,6.13575,2.428603887698068,2.6005905946310057,2.209904515742131,3.649936510808236,0.0021998900054997,True,Nosology (core),distal secretion
S_BIOSYN,disease genes NOSO broad,539,1616,50,73.4977,7.814751961989028,0.6476035602221438,1.3617230257029544,-3.0068388752826527,0.0017999100044998,False,Nosology (broad),biosynthetic secretion
S_DISTAL,disease genes NOSO broad,539,416,44,20.62655,4.412794889345841,2.2338995130062957,1.6380699630594762,5.296745166296391,9.99950002499875e-05,True,Nosology (broad),distal secretion
