dataset,n_units,n_module_genes,n_measurable,n_matching,directional_share,null_mean,null_sd,z,p_permutation_two_sided,p_permutation_upper,detection_limit,above_detection_limit
GSE185951,5,173,173,149,0.861271676300578,0.4999323699421965,0.2517484678981399,1.4353187901210311,0.155,0.0914,1.2048280800569884,False
GSE161176,3,173,170,112,0.6473988439306358,0.4868976878612717,0.1688822903168553,0.950372924053987,0.4961,0.3716,0.9597681007484666,False
GSE113253,9,173,125,103,0.5953757225433526,0.3600213872832369,0.1513631230380026,1.554898779414226,0.0462,0.03,0.7838381317896443,False
GSE210984,3,173,173,135,0.7803468208092486,0.4977063583815028,0.2103871414751495,1.343430308744085,0.1235,0.1235,1.0867903545119215,False
GSE202080,11,173,173,150,0.8670520231213873,0.4954734104046243,0.2338948102501943,1.5886569365061587,0.0815,0.0454,1.1503788791051683,False
GSE37521,2,173,163,59,0.3410404624277456,0.3863514450867052,0.1474703558443549,-0.3072548540316961,1.0,0.7534,0.799268441450899,False
