category,k,n_module_genes,n_gene_set_in_background,n_background,odds_ratio,ci_low,ci_high,p_value,p_bonferroni
matrix remodelling,3,147,33,11581,7.91534963534877,1.52854544031851,25.8993563889561,0.0082737486591679,0.0496424919550075
matrix components,5,147,104,11581,4.03052120718456,1.26134630927041,9.94749149432929,0.010364768841626,0.0621886130497562
cell-cycle exit,13,147,515,11581,2.112401498141,1.08850745919498,3.77037780900466,0.0151068252606747,0.090640951564048
TGFb / BMP,2,147,165,11581,0.953758809740996,0.113452736703269,3.56372278960311,1.0,1.0
hypoxia / stress,2,147,230,11581,0.677936725826925,0.0808329547171385,2.52201650177511,1.0,1.0
secretory machinery,5,147,1127,11581,0.323637584503417,0.103293102863161,0.775557737940725,0.0070418618407079,0.0422511710442475
