level,dataset,window,axis,null_model,calibrated,k,wilson_ci_low,wilson_ci_high,threshold_reached,n,concordance,concordance_null,concordance_null_sd,concordance_z,concordance_p,concordance_detection_limit,rank,rank_null,rank_null_sd,rank_z,rank_p
H3K27ac,GSE129031,P,chondrogenic,background,True,105.0,0.532586804400314,0.6766399838667,True,173,0.6069364161849711,0.4817919075144508,0.0380258804485607,3.291035136972272,0.0014999250037498,0.5882643727704209,0.0847378273095746,-0.000106166425566,0.0220728048741449,3.84382475262684,9.99950002499875e-05
H3K27ac,GSE129031,P,chondrogenic,H1 baseline-stratified,True,105.0,0.532586804400314,0.6766399838667,True,173,0.6069364161849711,0.4746118497109826,0.0368581544628167,3.5901028796078256,0.0010999450027498,0.5778146822068695,0.0847378273095746,-0.0020690576939689,0.0203490657140995,4.265890445446674,9.99950002499875e-05
H3K27ac/Input,GSE129031,P,chondrogenic,H1 baseline-stratified,True,,,,True,173,0.5895953757225434,0.4801936416184971,0.0368511639480057,2.968745688966675,0.0039998000099995,0.5833769006729133,0.0715767748703075,-0.0046367983957472,0.0204590587147954,3.7251749617854726,0.0003999800009999
H3K27ac,GSE129031,P,line 8A,background,True,,,,True,173,0.5606936416184971,0.4555089595375722,0.0372016994915042,2.827416046004721,0.0066996650167491,0.5596737181137842,0.0691250358688971,-3.4911446808990195e-05,0.0219253357882397,3.1543392531667425,0.0018999050047497
H3K27ac,GSE129031,P,line 2454e,background,True,,,,False,173,0.6011560693641619,0.519714739884393,0.038125294722148,2.1361495058150304,0.0378981050947452,0.6264655651064075,0.0704868174678739,-2.074990736067428e-07,0.0221024357718619,3.1891066529727308,0.0011999400029998
H3K27ac,GSE129031,T10,chondrogenic,background,True,106.0,0.5384291353355454,0.68210720905401,True,173,0.6127167630057804,0.4893543352601155,0.0379528507340484,3.250412692583147,0.0014999250037498,0.5956223173154513,0.1070177970039161,4.4101881859292055e-05,0.0219952745700357,4.863485326424958,9.99950002499875e-05
H3K27ac,GSE129031,T10,chondrogenic,H1 baseline-stratified,True,106.0,0.5384291353355454,0.68210720905401,True,173,0.6127167630057804,0.4843450867052024,0.0370987822794067,3.4602665751602304,0.0005999700014999,0.5882216770875414,0.1070177970039161,-0.0008788708194933,0.0212556407435223,5.0761428048830215,9.99950002499875e-05
H3K27ac/Input,GSE129031,T10,chondrogenic,H1 baseline-stratified,True,,,,True,173,0.6358381502890174,0.501399421965318,0.0370145526861808,3.6320506008408766,0.0003999800009999,0.6050401694866243,0.0977422720028803,0.0014285900119668,0.020532653288917,4.690756749051069,9.99950002499875e-05
H3K27ac,GSE129031,T10,line 8A,background,True,,,,False,173,0.5549132947976878,0.4682586705202313,0.0375486289802451,2.3077972919609606,0.0262986850657467,0.5733948316649176,0.0816203039191888,4.49469805358142e-05,0.0219367820854506,3.718656483931475,0.0002999850007499
H3K27ac,GSE129031,T10,line 2454e,background,True,,,,False,173,0.5838150289017341,0.5304245664739884,0.0376495493494349,1.418090345045443,0.1822908854557272,0.6358433046524063,0.0787102058066749,0.000230207400218,0.0219650191198382,3.5729537943163283,0.0003999800009999
H3K27ac,GSE129031,T50,chondrogenic,background,True,106.0,0.5384291353355454,0.68210720905401,True,173,0.6127167630057804,0.4947184971098266,0.0380265624649253,3.1030484547424466,0.0026998650067496,0.6011928720116176,0.1020706081654178,0.0002034604402826,0.0219043907475064,4.650535543278304,9.99950002499875e-05
H3K27ac,GSE129031,T50,chondrogenic,H1 baseline-stratified,True,106.0,0.5384291353355454,0.68210720905401,True,173,0.6127167630057804,0.4963,0.0369824849031705,3.1478891510559337,0.0021998900054997,0.5998509577288775,0.1020706081654178,0.0024262085976456,0.0212082084462082,4.698388353759659,9.99950002499875e-05
H3K27ac/Input,GSE129031,T50,chondrogenic,H1 baseline-stratified,True,,,,True,173,0.6358381502890174,0.5167725433526011,0.0367306116570049,3.241590639662244,0.0017999100044997,0.6196182559922151,0.0989337689269142,0.0049211611296198,0.0204738674536067,4.591834347385739,9.99950002499875e-05
H3K27ac,GSE129031,T50,line 8A,background,True,,,,False,173,0.5895953757225434,0.4833193641618497,0.0381082796133765,2.7887905893130203,0.0069996500174991,0.590022547079304,0.0906444593324296,0.0001976890875107,0.021990493638574,4.112994084237563,9.99950002499875e-05
H3K27ac,GSE129031,T50,line 2454e,background,True,,,,True,173,0.6242774566473989,0.5161676300578034,0.0378345813798154,2.857434195037018,0.0053997300134993,0.6221044579212867,0.0816688262404081,-0.0001964032491724,0.0218837259351553,3.7409182390676583,0.0004999750012499
