panel,n_gene_set,n_panel,observed,null_mean,odds_ratio_matched,odds_ratio_detection_limit,z,p_value,above_detection_limit
height GWAS,147,5654,80.0,80.01675,0.9995407211615066,1.5928519784213884,-0.0028698605136265,0.9235538223088846,False
short stature,147,1130,11.0,13.71195,0.7862230465354073,1.859408196400504,-0.7676388831732706,0.3599820008999549,False
short stature (broad),147,1144,12.0,13.8118,0.8571620723664628,1.8569344880097511,-0.5111555143861035,0.5256737163141842,False
Nosology (core),147,154,2.0,2.4177,0.8248494936053503,2.8612034821906454,-0.2723474170737532,0.5991700414979251,False
Nosology (broad),147,539,8.0,7.14345,1.1268081727633874,2.128957286690892,0.3297275402000882,0.8516574171291436,False
PanelApp 1471,147,62,1.0,0.91515,1.093352089147748,3.969138915249927,0.0896094095959263,0.7944602769861508,False
PanelApp 309,147,355,4.0,4.6979,0.8472888570804662,2.3727693879725944,-0.3267405277451212,0.6104694765261738,False
