dataset_id,dataset,arm,quantity,z,calibration,verdict,decomposable
15,TP53 LFS (GSE102732),osteogenic,undifferentiated markers,-3.2594423963851846,failed,decomposition confirmed,True
15,TP53 LFS (GSE102732),osteogenic,own-lineage markers,-0.3309129858872808,failed,decomposition confirmed,True
15,TP53 LFS (GSE102732),osteogenic,adipogenic markers,-0.1649139073511749,failed,decomposition confirmed,True
15,TP53 LFS (GSE102732),osteogenic,the module,11.271600665020266,failed,decomposition confirmed,True
16,YAP/TAZ-KD (GSE137035),osteogenic,undifferentiated markers,0.3189371189356945,failed,not decomposable,False
16,YAP/TAZ-KD (GSE137035),osteogenic,own-lineage markers,0.2552859191395392,failed,not decomposable,False
16,YAP/TAZ-KD (GSE137035),osteogenic,adipogenic markers,-0.0128025563109515,failed,not decomposable,False
16,YAP/TAZ-KD (GSE137035),osteogenic,the module,5.522098118694484,failed,not decomposable,False
17,RB1-mut isogenic (GSE145235),osteogenic,undifferentiated markers,-3.7398916129638287,failed,decomposition confirmed,True
17,RB1-mut isogenic (GSE145235),osteogenic,own-lineage markers,1.926869163048835,failed,decomposition confirmed,True
17,RB1-mut isogenic (GSE145235),osteogenic,adipogenic markers,1.4421357801109622,failed,decomposition confirmed,True
17,RB1-mut isogenic (GSE145235),osteogenic,the module,12.44596321965514,failed,decomposition confirmed,True
18,RB1-del isogenic (GSE145235),osteogenic,undifferentiated markers,-3.5059875316495868,failed,decomposition confirmed,True
18,RB1-del isogenic (GSE145235),osteogenic,own-lineage markers,1.3940276069622757,failed,decomposition confirmed,True
18,RB1-del isogenic (GSE145235),osteogenic,adipogenic markers,0.5809658025110578,failed,decomposition confirmed,True
18,RB1-del isogenic (GSE145235),osteogenic,the module,12.29737474124009,failed,decomposition confirmed,True
