level,unit,arm,n_group_a,n_group_b,contrast,null_mean,null_sd,z,p_value,detection_limit,status,passed
dataset,"LAMA5-KO, chondrogenic (E-MTAB-16566)",chondrogenic,6,39,1.764664226677659,-0.006342072606988,0.6621946910918726,2.674449558579953,0.0050997450127493,1.847803062450255,ok,True
dataset,"LAMA5-KO, osteogenic (E-MTAB-16566)",osteogenic,12,33,-0.0997098367238929,-0.0014236082044101,0.4760209374478036,-0.2064745913203871,1.0,1.33143501664944,ok,False
dataset,FN1 C123R (GSE251698),chondrogenic,12,49,0.2754824250372226,-0.0028858296394782,0.3914839773482725,0.7110591257456714,0.4802759862006899,1.0932693069356847,ok,False
dataset,FN1 C231W (GSE251698),chondrogenic,12,49,0.1730395424016236,-0.0034117819168984,0.4200167758264813,0.4201054207211432,0.680265986700665,1.1726351903972492,ok,False
dataset,"SERPINA3-KD, chondrogenic (GSE247491)",chondrogenic,1,10,,,,,,,too few genes,False
dataset,MIR181A1HG-KD (GSE184087),osteogenic,16,48,-0.2136244875825531,-0.0044170912518185,0.3010898634131799,-0.6948337415253439,1.0,0.8386345263050851,ok,False
dataset,LINC01638-KD (GSE227512),osteogenic,11,26,-0.1201243433782646,0.0025934842102894,0.3847048027879443,-0.3189921901136188,1.0,1.0797669320165333,ok,False
dataset,ARSB / MPS VI (GSE218101),chondrogenic,12,62,0.342088836595263,-0.0005375703788439,0.4146505923951947,0.8263015012108242,0.4100794960251987,1.1604840883277012,ok,False
dataset,ACVR1 / FOP (GSE221128),chondrogenic,12,53,0.6064551173384733,-0.0041518594496016,0.3211654954419882,1.9012222217326216,0.0573971301434928,0.8951115277879652,ok,False
dataset,RNF4-KD (GSE205432),osteogenic,17,56,-0.1743691629135123,0.0002929029555882,0.2098050260513493,-0.8324970528892498,1.0,0.5877469758993664,ok,False
dataset,RB1 +/- (GSE245585),osteogenic,11,44,-0.4313540563963038,0.0037343201093355,0.4226090447826177,-1.0295292584886364,1.0,1.187039645500665,ok,False
dataset,Nonunion (GSE226565),osteogenic,17,54,-0.1032782764611061,0.00108685343634,0.1817057436154767,-0.5743634065761964,1.0,0.5098629355596748,ok,False
dataset,"SERPINA3-KD, osteogenic (GSE247528)",osteogenic,4,9,-0.4582228283979702,-0.0019390873000433,0.5896228412654321,-0.7738569627300452,1.0,1.6490048682431664,ok,False
dataset,ERCC6L2-KD (GSE190542),osteogenic,14,40,0.7155908606586632,-0.0020038195905406,0.3369180243593362,2.129879164564556,0.0339983000849957,0.9413666486156008,ok,True
dataset,TP53 LFS (GSE102732),osteogenic,18,55,-0.0842334860248829,0.0030710518712022,0.2638292893281129,-0.3309129858872808,1.0,0.7417930619899185,ok,False
dataset,YAP/TAZ-KD (GSE137035),osteogenic,11,36,0.0560804295184633,-0.0015483822590903,0.2257422264878374,0.2552859191395392,0.7943602819859007,0.6305298519068546,ok,False
dataset,RB1-mut isogenic (GSE145235),osteogenic,16,51,0.6278419224287781,7.752892506951437e-05,0.3257950282988666,1.926869163048835,0.0538973051347432,0.912303608161896,ok,False
dataset,RB1-del isogenic (GSE145235),osteogenic,16,55,0.4675699098515999,0.0007964559404411,0.3348380272958183,1.3940276069622757,0.1635918204089795,0.9383429323687325,ok,False
donor cell,GSE218101_Line1_chondr,chondrogenic,12,62,-0.5394267391347175,-0.0003358879202697,0.4246642542489902,-1.2694519160031932,1.0,1.1887240239769028,ok,False
donor cell,GSE218101_Line2_chondr,chondrogenic,12,62,0.4843112640207446,0.0004695145830867,0.4687912157251294,1.0321049823624535,0.3018849057547123,1.313084918613449,ok,False
donor cell,GSE218101_Line3_chondr,chondrogenic,12,62,0.1599604496340678,0.0012536180740346,0.43374791848103,0.3658964684276042,0.72056397180141,1.2157477898209186,ok,False
donor cell,GSE218101_Line4_chondr,chondrogenic,12,62,1.2635103718609575,-0.0030702980414009,0.5424741061913612,2.3348223545541256,0.015599220038998,1.51585719929441,ok,True
