variant,n,status,amplitude_observed,amplitude_null_mean,amplitude_null_sd,amplitude_z,amplitude_p,direction_observed,direction_null_mean,direction_null_sd,direction_z,direction_p
primary (7 calibrated cells),7,ok,-0.6785714285714287,-0.3578794642857143,0.191118249188453,-1.6779766748987668,0.0843644544431946,-0.9642857142857144,-0.9225133928571432,0.0382283948848855,-1.0927040372570558,0.5024371953505812
sensitivity (all 14 cells),14,ok,-0.4312433852669466,-0.34671803158861,0.1237992150296229,-0.6827616286428893,0.5510561179852519,-0.8580863278270876,-0.8219152388324842,0.0445265397140876,-0.8123489771912225,0.5178102737157855
