gene_set,n_gene_set,observed,null_mean,null_sd,z,p_value,detection_limit_delta,delta_observed,matching,above_detection_limit
PanelApp 309,353,0.64,0.5781839999999999,0.033870366766134,1.8250761920242355,0.0699650174912543,0.0948370269451752,0.061816,expr_rank_med+laenge+log_pub,False
Nosology (core),153,0.637,0.5724215,0.0496047593868462,1.3018609665330685,0.2338830584707646,0.1388933262831695,0.0645784999999999,expr_rank_med+laenge+log_pub,False
Nosology (broad),537,0.636,0.5708979999999999,0.0273238337710133,2.382608551405544,0.0219890054972513,0.0765067345588375,0.0651020000000001,expr_rank_med+laenge+log_pub,False
short stature,1124,0.548,0.5418475,0.0172192114910115,0.357304398242138,0.7216391804097951,0.0482137921748324,0.0061525,expr_rank_med+laenge+log_pub,False
height GWAS,5613,0.616,0.6559055,0.0085489831153274,-4.667865108828411,0.000999500249875,0.0239371527229167,-0.0399055,expr_rank_med+laenge+log_pub,True
cell cycle (neg. control),1292,0.5545,0.59615675,0.0163959741528739,-2.540669411380977,0.0119940029985008,0.0459087276280471,-0.04165675,expr_rank_med+laenge+log_pub,False
programme (173 genes),147,0.741,0.7018325,0.0502626562276162,0.7792564687116538,0.4247876061969015,0.1407354374373254,0.0391675,expr_rank_med+laenge+log_pub,False
