zone,zone_rank,n_samples,contrast_median,contrast_ci_low,contrast_ci_high,z_median,detection_limit_median
MesCond,1,9,0.0749023407697677,0.0703171715140342,0.0867035090923309,2.6553944044382365,0.080365832651129
ChondroProg,2,18,0.1124994084239006,0.10686103068292138,0.11659395322203633,3.7928071040222724,0.08354719166538091
RestingChon,3,12,0.1231026910245418,0.11983588524162762,0.13955264538526527,4.08540374076005,0.08783899744797005
ProlifChon,4,18,0.13714347779750818,0.13186040520668024,0.1395088396966457,4.419465208281519,0.08787242050304506
PrehyperChon,5,8,0.16806796938180918,0.15124313905835152,0.17839261889457703,4.9787060915686965,0.09432454496637249
HyperChon,6,1,0.1324875801801681,0.1324875801801681,0.1324875801801681,4.169282891359868,0.0889352426184621
