null_type,n_genes,rho_observed,null_mean,null_sd,z_sd_units,p_empirical,n_background
unmatched,173,0.6222703273984731,0.09183771388431061,0.07622204288034616,6.959044830992511,9.999000099990002e-05,36073
matched,147,0.6350520215490861,0.13594066315827,0.0805971841180493,6.192664965314128,9.999000099990002e-05,11465
