window,axis,n,concordance,concordance_detection_limit,concordance_z,concordance_p,above_detection_limit,calibration_contrast,calibration_detection_limit,calibration_z,calibration_passed
P,osteogenic,172,0.563953488372093,0.5529232603592907,3.1000439194555,0.0035998200089995,True,0.2110048033885529,0.485495515848347,1.2241377084644192,False
P,adipogenic,172,0.7151162790697675,0.6272672296225525,5.108598629240914,9.99950002499875e-05,True,0.5334937422589648,0.5519986610285658,2.7062907854629707,False
T10,osteogenic,172,0.7093023255813954,0.5541570397524259,6.996457409518211,9.99950002499875e-05,True,0.2013744329226602,0.3597712973621555,1.5716397063372498,False
T10,adipogenic,172,0.7674418604651163,0.6204126431443246,6.686983332105254,9.99950002499875e-05,True,0.3672659910002199,0.4331818088650028,2.374592477235576,False
T50,osteogenic,172,0.6627906976744186,0.5679066185171101,5.31678880375431,9.99950002499875e-05,True,0.0877814637567068,0.28598388948043,0.8691537587047838,False
T50,adipogenic,172,0.7151162790697675,0.6039775379058291,5.7364350591833855,9.99950002499875e-05,True,0.1362279550393609,0.3337705028448753,1.145032905986544,False
GB,osteogenic,171,0.6900584795321637,0.5735509046557349,5.895746958173198,9.99950002499875e-05,True,0.0659290346445366,0.3952709295572514,0.4665305411498947,False
GB,adipogenic,171,0.7719298245614035,0.6113339962530334,7.020091171697956,9.99950002499875e-05,True,0.1787351284895156,0.505175886705488,0.9862212744987824,False
