block,dataset,concordance,concordance_null,concordance_null_sd,concordance_z,concordance_p,concordance_detection_limit,above_detection_limit,window,axis,null_model,level,gene_set,run,statistic_z,detection_limit,p_value,panel,class,side,compared_to
ATAC module test,GSE332758,0.6994219653179191,0.5397098265895954,0.0371473586835395,4.299421126786445,9.99950002499875e-05,0.6437224309035061,True,T50,adipogenic,H1 baseline-stratified,ATAC,,,,,,,,,
ATAC module test,GSE332758,0.5549132947976878,0.4920771676300577,0.0380432832732558,1.6517009511585286,0.1152942352882355,0.5985983607951741,False,T50,lineage contrast,background,ATAC,,,,,,,,,
ATAC module test,GSE332758,0.5549132947976878,0.4891445086705203,0.0361032829917005,1.8216843643356888,0.0813959302034898,0.5902337010472819,False,T50,lineage contrast,H1 baseline-stratified,ATAC,,,,,,,,,
ATAC module test,GSE332758,0.6820809248554913,0.5198404624277456,0.0376229753008393,4.312270923031606,9.99950002499875e-05,0.6251847932700958,True,GB,osteogenic,background,ATAC,,,,,,,,,
ATAC module test,GSE332758,0.6820809248554913,0.5117268786127168,0.0377755322960956,4.509639861789105,9.99950002499875e-05,0.6174983690417846,True,GB,osteogenic,H1 baseline-stratified,ATAC,,,,,,,,,
ATAC module test,GSE332758,0.6936416184971098,0.5342855491329479,0.0376471529901244,4.232885004769521,9.99950002499875e-05,0.6396975775052964,True,GB,adipogenic,background,ATAC,,,,,,,,,
ATAC module test,GSE332758,0.6936416184971098,0.5175835260115608,0.036963627529736,4.763009051098032,9.99950002499875e-05,0.6210816830948216,True,GB,adipogenic,H1 baseline-stratified,ATAC,,,,,,,,,
ATAC module test,GSE332758,0.5491329479768786,0.4871462427745664,0.0377910903573902,1.6402465400205222,0.1155942202889855,0.592961295775259,False,GB,lineage contrast,background,ATAC,,,,,,,,,
ATAC module test,GSE332758,0.5491329479768786,0.5013468208092485,0.0371826756551066,1.285171826010512,0.2276886155692215,0.6054583126435473,False,GB,lineage contrast,H1 baseline-stratified,ATAC,,,,,,,,,
H3K27ac module test,GSE129031,0.6069364161849711,0.4817919075144508,0.0380258804485607,3.291035136972272,0.0014999250037498,0.5882643727704209,True,P,chondrogenic,background,H3K27ac,,,,,,,,,
H3K27ac module test,GSE129031,0.6069364161849711,0.4746118497109826,0.0368581544628167,3.5901028796078256,0.0010999450027498,0.5778146822068695,True,P,chondrogenic,H1 baseline-stratified,H3K27ac,,,,,,,,,
H3K27ac module test,GSE129031,0.5895953757225434,0.4801936416184971,0.0368511639480057,2.968745688966675,0.0039998000099995,0.5833769006729133,True,P,chondrogenic,H1 baseline-stratified,H3K27ac/Input,,,,,,,,,
H3K27ac module test,GSE129031,0.5606936416184971,0.4555089595375722,0.0372016994915042,2.827416046004721,0.0066996650167491,0.5596737181137842,True,P,line 8A,background,H3K27ac,,,,,,,,,
H3K27ac module test,GSE129031,0.6011560693641619,0.519714739884393,0.038125294722148,2.1361495058150304,0.0378981050947452,0.6264655651064075,False,P,line 2454e,background,H3K27ac,,,,,,,,,
H3K27ac module test,GSE129031,0.6127167630057804,0.4893543352601155,0.0379528507340484,3.250412692583147,0.0014999250037498,0.5956223173154513,True,T10,chondrogenic,background,H3K27ac,,,,,,,,,
H3K27ac module test,GSE129031,0.6127167630057804,0.4843450867052024,0.0370987822794067,3.4602665751602304,0.0005999700014999,0.5882216770875414,True,T10,chondrogenic,H1 baseline-stratified,H3K27ac,,,,,,,,,
H3K27ac module test,GSE129031,0.6358381502890174,0.501399421965318,0.0370145526861808,3.6320506008408766,0.0003999800009999,0.6050401694866243,True,T10,chondrogenic,H1 baseline-stratified,H3K27ac/Input,,,,,,,,,
H3K27ac module test,GSE129031,0.5549132947976878,0.4682586705202313,0.0375486289802451,2.3077972919609606,0.0262986850657467,0.5733948316649176,False,T10,line 8A,background,H3K27ac,,,,,,,,,
H3K27ac module test,GSE129031,0.5838150289017341,0.5304245664739884,0.0376495493494349,1.418090345045443,0.1822908854557272,0.6358433046524063,False,T10,line 2454e,background,H3K27ac,,,,,,,,,
H3K27ac module test,GSE129031,0.6127167630057804,0.4947184971098266,0.0380265624649253,3.1030484547424466,0.0026998650067496,0.6011928720116176,True,T50,chondrogenic,background,H3K27ac,,,,,,,,,
H3K27ac module test,GSE129031,0.6127167630057804,0.4963,0.0369824849031705,3.1478891510559337,0.0021998900054997,0.5998509577288775,True,T50,chondrogenic,H1 baseline-stratified,H3K27ac,,,,,,,,,
H3K27ac module test,GSE129031,0.6358381502890174,0.5167725433526011,0.0367306116570049,3.241590639662244,0.0017999100044997,0.6196182559922151,True,T50,chondrogenic,H1 baseline-stratified,H3K27ac/Input,,,,,,,,,
H3K27ac module test,GSE129031,0.5895953757225434,0.4833193641618497,0.0381082796133765,2.7887905893130203,0.0069996500174991,0.590022547079304,False,T50,line 8A,background,H3K27ac,,,,,,,,,
H3K27ac module test,GSE129031,0.6242774566473989,0.5161676300578034,0.0378345813798154,2.857434195037018,0.0053997300134993,0.6221044579212867,True,T50,line 2454e,background,H3K27ac,,,,,,,,,
methylome 27K,GSE33896,0.3492063492063492,0.367375,0.0396524747569958,-0.4581971467101263,1.0,0.4784019293195884,False,,osteo,,DNAm,,,,,,,,,
methylome 27K,GSE33896,0.5317460317460317,0.6044448412698412,0.0413102584803709,-1.7598246101111443,1.0,0.72011356501488,False,,myo,,DNAm,,,,,,,,,
methylome 450K,GSE129266,0.2981366459627329,0.2715248447204969,0.0143917589757209,1.8490999805604271,0.1104944752762361,0.3118217698525156,False,,chondrogenic,,DNAm450,,,,,,,,,
gene-set matching,,,,,,,,,,,,,PanelApp 309,P1_expression_ohne_pub,3.1504493349494864,0.0404970698672635,0.0019990004997501,,,,
gene-set matching,,,,,,,,,,,,,Nosology (core),P1_expression_ohne_pub,1.4237068366423775,0.0630977910920985,0.1489255372313843,,,,
gene-set matching,,,,,,,,,,,,,Nosology (broad),P1_expression_ohne_pub,3.031144720235128,0.0339036010411323,0.0019990004997501,,,,
gene-set matching,,,,,,,,,,,,,short stature,P1_expression_ohne_pub,4.752914219199576,0.0225896634983526,0.000999500249875,,,,
gene-set matching,,,,,,,,,,,,,height GWAS,P1_expression_ohne_pub,3.434899119848493,0.0107144331231755,0.000999500249875,,,,
gene-set matching,,,,,,,,,,,,,cell cycle (neg. control),P1_expression_ohne_pub,5.007714710768926,0.0220577199521734,0.000999500249875,,,,
gene-set matching,,,,,,,,,,,,,programme (173 genes),P1_expression_ohne_pub,-1.1107690023731067,0.0643764529397054,0.2718640679660169,,,,
gene-set matching,,,,,,,,,,,,,PanelApp 309,P1_expression_mit_pub,-0.3976344033347551,0.0370011530882807,0.6906546726636682,,,,
gene-set matching,,,,,,,,,,,,,Nosology (core),P1_expression_mit_pub,-1.1078258451185117,0.055497073210096,0.2848575712143928,,,,
gene-set matching,,,,,,,,,,,,,Nosology (broad),P1_expression_mit_pub,-1.2658459368218655,0.0299391577668141,0.224887556221889,,,,
gene-set matching,,,,,,,,,,,,,short stature,P1_expression_mit_pub,-2.2574999179250272,0.0206574689365551,0.0269865067466266,,,,
