zone,zone_rank,sample,specimen,n_cells,contrast,detection_limit,z,p_value
ProlifChon,4,Pcw6.5_Thigh_LowerLimb,Pcw6.5,52,0.0393038392066955,0.1590814096295477,0.6858840671799367,0.4962751862406879
ProlifChon,4,Pcw5.4_s1_Thigh_LowerLimb,Pcw5.4_s1,5,0.0552002415060997,0.1742799513989042,0.8801818254376534,0.359882005899705
ProlifChon,4,Pcw9.3_s1_Thigh_LowerLimb,Pcw9.3_s1,6,0.0606972947716712,0.1612575091597632,1.050406240033755,0.2541872906354682
ProlifChon,4,Pcw9.3_s2_Thigh_LowerLimb,Pcw9.3_s2,9,0.0613774582743644,0.1574497845260168,1.0879831143644978,0.2285885705714714
ProlifChon,4,Pcw9.0_s1_Thigh_LowerLimb,Pcw9.0_s1,151,0.0558223836123943,0.1475345895140564,1.0571686649010097,0.2357882105894705
ProlifChon,4,Pcw9.0_s2_Thigh_LowerLimb,Pcw9.0_s2,170,0.0673862993717193,0.1492857950102426,1.2613781377063784,0.1451927403629818
ProlifChon,4,Pcw6.1_Proximal_UpperLimb,Pcw6.1,468,0.0734774321317672,0.1706338102547196,1.202369554293731,0.1853907304634768
ProlifChon,4,Pcw6.1_s1_Middle_UpperLimb,Pcw6.1_s1,122,0.0648526474833488,0.173017638925525,1.0456144470430195,0.2618869056547173
ProlifChon,4,Pcw6.1_Distal_UpperLimb,Pcw6.1,75,0.0926356986165046,0.1712645020297132,1.5105709108220993,0.0886955652217389
ProlifChon,4,Pcw6.1_Proximal_LowerLimb,Pcw6.1,26,0.0837718322873115,0.1706770934040774,1.3712180074914726,0.1293935303234838
ProlifChon,4,Pcw6.1_s2_Middle_UpperLimb,Pcw6.1_s2,105,0.0646934434771537,0.1759526908642049,1.02518146191061,0.2761861906904654
ProlifChon,4,Pcw6.1_Distal_LowerLimb,Pcw6.1,7,0.0525429025292396,0.1726749263096111,0.8436792100169368,0.3872806359682016
ProlifChon,4,Pcw5.6_Middle_UpperLimb,Pcw5.6,5,0.0645795091986656,0.1760793586888423,1.0202152040824752,0.2832858357082146
ProlifChon,4,Pcw5.6_Proximal_UpperLimb,Pcw5.6,25,0.1456015110015869,0.1796484539538921,2.26756424166731,0.0092995350232488
ProlifChon,4,Pcw5.6_Distal_LowerLimb,Pcw5.6,13,0.1332646310329437,0.1803681121557811,2.065515763552138,0.0202989850507474
ProlifChon,4,Pcw5.6_Middle_LowerLimb,Pcw5.6,14,0.1462830305099487,0.1787748569318895,2.2890853379578315,0.0082995850207489
PrehyperChon,5,Pcw8.4_s1_Thigh_LowerLimb,Pcw8.4_s1,39,0.1332568526268005,0.1845340885550948,2.021838719089069,0.0192990350482475
PrehyperChon,5,Pcw8.4_s2_Thigh_LowerLimb,Pcw8.4_s2,51,0.1365862935781479,0.1825516450542709,2.0950148830792648,0.0148992550372481
PrehyperChon,5,Pcw7.2_s1_Thigh_LowerLimb,Pcw7.2_s1,48,0.110262706875801,0.1713965354233091,1.800659453128317,0.0362981850907454
PrehyperChon,5,Pcw7.2_s2_Thigh_LowerLimb,Pcw7.2_s2,40,0.0985659584403038,0.1697026515252579,1.6256546161950238,0.0623968801559922
PrehyperChon,5,Pcw9.0_s1_Thigh_LowerLimb,Pcw9.0_s1,13,0.1405991017818451,0.1936756847792169,2.0324740378366566,0.0185990700464976
PrehyperChon,5,Pcw9.0_s2_Thigh_LowerLimb,Pcw9.0_s2,16,0.1183427199721336,0.1857001580384761,1.783433390866914,0.0419979001049947
PrehyperChon,5,Pcw6.1_s1_Middle_UpperLimb,Pcw6.1_s1,19,0.1267225593328476,0.1818165431388258,1.950101546498072,0.0247987600619969
PrehyperChon,5,Pcw6.1_s2_Middle_UpperLimb,Pcw6.1_s2,9,0.1246164739131927,0.1845676946976115,1.889050120384372,0.0299985000749962
HyperChon,6,Pcw9.0_s2_Thigh_LowerLimb,Pcw9.0_s2,8,0.1491731405258178,0.1738921029686758,2.401472453964082,0.0059997000149992
