panel,n_panel,n_gene_set,observed,null_mean,odds_ratio_matched,odds_ratio_detection_limit,z,p_value,part
Nosology (core),154,17,4,0.3014,17.047215558164464,6.622728157812994,6.8413730733156655,0.0003999800009999,lineage markers in panel
Nosology (broad),539,17,11,0.8514,34.7730404823428,4.670815613734551,11.33120602060764,9.99950002499875e-05,lineage markers in panel
PanelApp 309,355,17,11,0.58315,51.612035211066335,5.267802813442915,13.912475067594812,9.99950002499875e-05,lineage markers in panel
