zone,sample,n_cells,kontrast_module,mde80_module,z_module,p_module,contrast_positive_control,detection_limit_positive_control,z_positive_control,p_positive_control,specimen
MesCond,Pcw5.1_WholeLimb_LowerLimb,22,0.0257456973195076,0.1430948221017064,0.4993850710006604,0.6491675416229189,0.6853723526000977,0.356881398978518,5.378913886243172,0.0002999850007499,Pcw5.1
MesCond,Pcw6.1_Distal_UpperLimb,175,0.0513669177889823,0.1461877248114818,0.9783855523711958,0.2855857207139643,0.3750053644180298,0.3654793783884429,2.872981315370708,0.0201989900504974,Pcw6.1
MesCond,Pcw6.1_Distal_LowerLimb,494,0.0446051657199859,0.1446502490046618,0.8576589006749403,0.3548822558872056,0.2577682137489319,0.3618772999826879,1.9944507024997309,0.0671966401679916,Pcw6.1
MesCond,Pcw5.6_Distal_UpperLimb,283,0.0785335302352905,0.1564859055756335,1.399732651596227,0.1179941002949852,0.5420877933502197,0.3896195192881766,3.895616563525482,0.0024998750062496,Pcw5.6
MesCond,Pcw5.6_Middle_UpperLimb,10,0.1049454361200332,0.1606870842765636,1.824512895484997,0.039298035098245,0.4894295036792755,0.4002889587016028,3.423651189856364,0.0056997150142492,Pcw5.6
MesCond,Pcw5.6_Proximal_UpperLimb,6,0.0644775852560997,0.1592892723138034,1.1247215910252362,0.2243887805609719,0.6028859615325928,0.3969076013580362,4.253130416506167,0.0015999200039998,Pcw5.6
MesCond,Pcw5.6_Distal_LowerLimb,838,0.0722427368164062,0.1575681927518343,1.2774746029515098,0.1573921303934803,0.570636510848999,0.3914315246286953,4.0819374587399,0.0017999100044997,Pcw5.6
MesCond,Pcw5.6_Middle_LowerLimb,8,0.0615468993782997,0.1648743288152827,1.0360912974901344,0.2704864756762162,0.3883247971534729,0.4083331152392192,2.6627706989488376,0.0187990600469976,Pcw5.6
MesCond,Pcw5.6_Proximal_LowerLimb,7,0.0620726719498634,0.1602317820525179,1.0769109955112357,0.2468876556172191,0.5647186040878296,0.3990151182914465,3.964225283134368,0.0020998950052497,Pcw5.6
ChondroProg,Pcw5.1_WholeLimb_LowerLimb,5,0.0378319770097732,0.1595288323164493,0.656249606536095,0.520273986300685,0.8299809694290161,0.3948804775837977,5.880330368858896,9.99950002499875e-05,Pcw5.1
ChondroProg,Pcw7.2_s1_Thigh_LowerLimb,9,0.0014044940471649,0.1605463219049653,0.0204683563674133,1.0,1.3042689561843872,0.3998354211634394,9.1315250457907,9.99950002499875e-05,Pcw7.2_s1
ChondroProg,Pcw7.2_s2_Thigh_LowerLimb,6,0.0231716856360435,0.1646777572454862,0.3875134760780436,0.7528623568821559,1.3290653228759766,0.4113226838088318,9.047791368286449,9.99950002499875e-05,Pcw7.2_s2
ChondroProg,Pcw6.5_Thigh_LowerLimb,38,0.0468699410557746,0.1610109119046646,0.8080719932870982,0.4048797560121994,1.5889687538146973,0.4022357654561455,11.063407726526677,9.99950002499875e-05,Pcw6.5
ChondroProg,Pcw5.4_s1_Thigh_LowerLimb,79,0.0140540599822998,0.1585225580103299,0.2398489526697517,0.8841557922103895,1.0979458093643188,0.3959113241070416,7.767824149266872,9.99950002499875e-05,Pcw5.4_s1
ChondroProg,Pcw5.4_s2_Thigh_LowerLimb,81,0.0092938840389251,0.1578682638107727,0.1564477362207962,0.9527523623818808,1.065189003944397,0.3933225371985767,7.583094601641744,9.99950002499875e-05,Pcw5.4_s2
ChondroProg,Pcw6.1_Proximal_UpperLimb,684,0.0444406643509864,0.1648617431998271,0.7483072777680191,0.4496775161241937,1.320585012435913,0.4124488576277837,8.966730480975809,9.99950002499875e-05,Pcw6.1
ChondroProg,Pcw6.1_s1_Middle_UpperLimb,371,0.0429859086871147,0.167002324674719,0.7148280311644502,0.4837758112094395,1.5682387351989746,0.4172487348745396,10.525144160005494,9.99950002499875e-05,Pcw6.1_s1
ChondroProg,Pcw6.1_Distal_UpperLimb,542,0.0540874600410461,0.1592219024840829,0.9449284939912876,0.3162841857907104,1.0714261531829834,0.3982903649023721,7.53337856350857,9.99950002499875e-05,Pcw6.1
ChondroProg,Pcw6.1_Proximal_LowerLimb,168,0.038756176829338,0.1653361225421923,0.6475506433956687,0.5326733663316834,1.3431503772735596,0.4128058819841797,9.112828489032085,9.99950002499875e-05,Pcw6.1
ChondroProg,Pcw6.1_s2_Middle_UpperLimb,331,0.0391722917556762,0.1670577936476852,0.6505754175774228,0.5324733763311834,1.5374963283538818,0.4176295406977783,10.31110698162542,9.99950002499875e-05,Pcw6.1_s2
