zone,zone_rank,sample,specimen,contrast,detection_limit,z,p_value,above_detection_limit,fraction_z_above_2
MesCond,1,Pcw5.1_WholeLimb_LowerLimb,Pcw5.1,0.6853723526000977,0.356881398978518,5.378913886243172,0.0002999850007499,True,True
MesCond,1,Pcw6.1_Distal_UpperLimb,Pcw6.1,0.3750053644180298,0.3654793783884429,2.872981315370708,0.0201989900504974,True,True
MesCond,1,Pcw6.1_Distal_LowerLimb,Pcw6.1,0.2577682137489319,0.3618772999826879,1.9944507024997309,0.0671966401679916,False,False
MesCond,1,Pcw5.6_Distal_UpperLimb,Pcw5.6,0.5420877933502197,0.3896195192881766,3.895616563525482,0.0024998750062496,True,True
MesCond,1,Pcw5.6_Middle_UpperLimb,Pcw5.6,0.4894295036792755,0.4002889587016028,3.423651189856364,0.0056997150142492,True,True
MesCond,1,Pcw5.6_Proximal_UpperLimb,Pcw5.6,0.6028859615325928,0.3969076013580362,4.253130416506167,0.0015999200039998,True,True
MesCond,1,Pcw5.6_Distal_LowerLimb,Pcw5.6,0.570636510848999,0.3914315246286953,4.0819374587399,0.0017999100044997,True,True
MesCond,1,Pcw5.6_Middle_LowerLimb,Pcw5.6,0.3883247971534729,0.4083331152392192,2.6627706989488376,0.0187990600469976,False,True
MesCond,1,Pcw5.6_Proximal_LowerLimb,Pcw5.6,0.5647186040878296,0.3990151182914465,3.964225283134368,0.0020998950052497,True,True
ChondroProg,2,Pcw5.1_WholeLimb_LowerLimb,Pcw5.1,0.8299809694290161,0.3948804775837977,5.880330368858896,9.99950002499875e-05,True,True
ChondroProg,2,Pcw7.2_s1_Thigh_LowerLimb,Pcw7.2_s1,1.3042689561843872,0.3998354211634394,9.1315250457907,9.99950002499875e-05,True,True
ChondroProg,2,Pcw7.2_s2_Thigh_LowerLimb,Pcw7.2_s2,1.3290653228759766,0.4113226838088318,9.047791368286449,9.99950002499875e-05,True,True
ChondroProg,2,Pcw6.5_Thigh_LowerLimb,Pcw6.5,1.5889687538146973,0.4022357654561455,11.063407726526677,9.99950002499875e-05,True,True
ChondroProg,2,Pcw5.4_s1_Thigh_LowerLimb,Pcw5.4_s1,1.0979458093643188,0.3959113241070416,7.767824149266872,9.99950002499875e-05,True,True
ChondroProg,2,Pcw5.4_s2_Thigh_LowerLimb,Pcw5.4_s2,1.065189003944397,0.3933225371985767,7.583094601641744,9.99950002499875e-05,True,True
ChondroProg,2,Pcw6.1_Proximal_UpperLimb,Pcw6.1,1.320585012435913,0.4124488576277837,8.966730480975809,9.99950002499875e-05,True,True
ChondroProg,2,Pcw6.1_s1_Middle_UpperLimb,Pcw6.1_s1,1.5682387351989746,0.4172487348745396,10.525144160005494,9.99950002499875e-05,True,True
ChondroProg,2,Pcw6.1_Distal_UpperLimb,Pcw6.1,1.0714261531829834,0.3982903649023721,7.53337856350857,9.99950002499875e-05,True,True
ChondroProg,2,Pcw6.1_Proximal_LowerLimb,Pcw6.1,1.3431503772735596,0.4128058819841797,9.112828489032085,9.99950002499875e-05,True,True
ChondroProg,2,Pcw6.1_s2_Middle_UpperLimb,Pcw6.1_s2,1.5374963283538818,0.4176295406977783,10.31110698162542,9.99950002499875e-05,True,True
ChondroProg,2,Pcw6.1_Distal_LowerLimb,Pcw6.1,1.0660457611083984,0.3919736005900181,7.616740833558022,9.99950002499875e-05,True,True
ChondroProg,2,Pcw5.6_Distal_UpperLimb,Pcw5.6,1.246675968170166,0.4035247841238703,8.651262240884124,9.99950002499875e-05,True,True
ChondroProg,2,Pcw5.6_Middle_UpperLimb,Pcw5.6,1.429714322090149,0.4132730392124972,9.688571719859857,9.99950002499875e-05,True,True
ChondroProg,2,Pcw5.6_Proximal_UpperLimb,Pcw5.6,1.4899693727493286,0.4141610727106882,10.074703369153209,9.99950002499875e-05,True,True
ChondroProg,2,Pcw5.6_Distal_LowerLimb,Pcw5.6,1.148898363113403,0.4063399687205239,7.918514982771617,9.99950002499875e-05,True,True
ChondroProg,2,Pcw5.6_Middle_LowerLimb,Pcw5.6,1.2181648015975952,0.4080001875156542,8.358009092245673,9.99950002499875e-05,True,True
ChondroProg,2,Pcw5.6_Proximal_LowerLimb,Pcw5.6,1.3251831531524658,0.4144098261421639,8.952106294008262,9.99950002499875e-05,True,True
RestingChon,3,Pcw7.2_s1_Thigh_LowerLimb,Pcw7.2_s1,1.7411733865737915,0.4048425979026702,12.050093103927187,9.99950002499875e-05,True,True
RestingChon,3,Pcw7.2_s2_Thigh_LowerLimb,Pcw7.2_s2,1.7170283794403076,0.4036016955626058,11.917329458151878,9.99950002499875e-05,True,True
RestingChon,3,Pcw6.5_Thigh_LowerLimb,Pcw6.5,1.872983813285828,0.4194139613518455,12.511916598714109,9.99950002499875e-05,True,True
RestingChon,3,Pcw9.3_s1_Thigh_LowerLimb,Pcw9.3_s1,1.5961310863494873,0.3919597722016125,11.39933733851537,9.99950002499875e-05,True,True
RestingChon,3,Pcw9.3_s2_Thigh_LowerLimb,Pcw9.3_s2,1.66360604763031,0.390856640646526,11.91696559410804,9.99950002499875e-05,True,True
RestingChon,3,Pcw9.0_s1_Thigh_LowerLimb,Pcw9.0_s1,2.299233913421631,0.4274066659444795,15.066034082347803,9.99950002499875e-05,True,True
RestingChon,3,Pcw9.0_s2_Thigh_LowerLimb,Pcw9.0_s2,2.2900781631469727,0.4265806553648945,15.034378312110176,9.99950002499875e-05,True,True
RestingChon,3,Pcw6.1_Proximal_UpperLimb,Pcw6.1,1.6596062183380127,0.4255304884950747,10.922906665442156,9.99950002499875e-05,True,True
RestingChon,3,Pcw6.1_s1_Middle_UpperLimb,Pcw6.1_s1,1.8999948501586916,0.4368462076457654,12.180007939403351,9.99950002499875e-05,True,True
RestingChon,3,Pcw6.1_Proximal_LowerLimb,Pcw6.1,1.6293702125549316,0.4471784276080506,10.208992147461569,9.99950002499875e-05,True,True
RestingChon,3,Pcw6.1_s2_Middle_UpperLimb,Pcw6.1_s2,1.922550916671753,0.4345860811427287,12.387147712760298,9.99950002499875e-05,True,True
RestingChon,3,Pcw5.6_Proximal_UpperLimb,Pcw5.6,1.7408649921417236,0.461570238749496,10.558766349040305,9.99950002499875e-05,True,True
ProlifChon,4,Pcw7.2_s1_Thigh_LowerLimb,Pcw7.2_s1,1.8234074115753172,0.3998445251727865,12.77450135357348,9.99950002499875e-05,True,True
ProlifChon,4,Pcw7.2_s2_Thigh_LowerLimb,Pcw7.2_s2,1.7655421495437622,0.3982053439844455,12.420642028851065,9.99950002499875e-05,True,True
ProlifChon,4,Pcw6.5_Thigh_LowerLimb,Pcw6.5,1.6860122680664062,0.3967172536196054,11.902443816434864,9.99950002499875e-05,True,True
ProlifChon,4,Pcw5.4_s1_Thigh_LowerLimb,Pcw5.4_s1,1.7029950618743896,0.4368979730503975,10.924734120866678,9.99950002499875e-05,True,True
ProlifChon,4,Pcw9.3_s1_Thigh_LowerLimb,Pcw9.3_s1,2.1485800743103027,0.4022513061892328,14.948021337597272,9.99950002499875e-05,True,True
ProlifChon,4,Pcw9.3_s2_Thigh_LowerLimb,Pcw9.3_s2,2.007699012756348,0.3920364398709983,14.348435677706863,9.99950002499875e-05,True,True
ProlifChon,4,Pcw9.0_s1_Thigh_LowerLimb,Pcw9.0_s1,2.136254072189331,0.3653604690536673,16.38269539417828,9.99950002499875e-05,True,True
ProlifChon,4,Pcw9.0_s2_Thigh_LowerLimb,Pcw9.0_s2,2.128077507019043,0.3696327749411441,16.126598990552736,9.99950002499875e-05,True,True
ProlifChon,4,Pcw6.1_Proximal_UpperLimb,Pcw6.1,1.7109473943710327,0.4269432799670345,11.228358783250917,9.99950002499875e-05,True,True
ProlifChon,4,Pcw6.1_s1_Middle_UpperLimb,Pcw6.1_s1,1.7779935598373413,0.4330941907267842,11.502131329222854,9.99950002499875e-05,True,True
ProlifChon,4,Pcw6.1_Distal_UpperLimb,Pcw6.1,1.6485110521316528,0.428781950022802,10.764717683685827,9.99950002499875e-05,True,True
ProlifChon,4,Pcw6.1_Proximal_LowerLimb,Pcw6.1,1.806411862373352,0.4272666700673646,11.846286680892494,9.99950002499875e-05,True,True
ProlifChon,4,Pcw6.1_s2_Middle_UpperLimb,Pcw6.1_s2,1.7381646633148191,0.4394794657450647,11.079740843650823,9.99950002499875e-05,True,True
ProlifChon,4,Pcw6.1_Distal_LowerLimb,Pcw6.1,1.638245940208435,0.434490650539638,10.561518071833516,9.99950002499875e-05,True,True
ProlifChon,4,Pcw5.6_Middle_UpperLimb,Pcw5.6,1.7014293670654297,0.4396642225032242,10.84201247899644,9.99950002499875e-05,True,True
ProlifChon,4,Pcw5.6_Proximal_UpperLimb,Pcw5.6,2.0048344135284424,0.4480107612079498,12.53173372755064,9.99950002499875e-05,True,True
ProlifChon,4,Pcw5.6_Distal_LowerLimb,Pcw5.6,1.8358113765716555,0.4487262829903028,11.455236246507758,9.99950002499875e-05,True,True
ProlifChon,4,Pcw5.6_Middle_LowerLimb,Pcw5.6,1.852125883102417,0.446685630061294,11.615888277303176,9.99950002499875e-05,True,True
PrehyperChon,5,Pcw8.4_s1_Thigh_LowerLimb,Pcw8.4_s1,2.390419244766236,0.4603724015340976,14.542518756090374,9.99950002499875e-05,True,True
PrehyperChon,5,Pcw8.4_s2_Thigh_LowerLimb,Pcw8.4_s2,2.326370477676392,0.455937167195477,14.289441469422211,9.99950002499875e-05,True,True
PrehyperChon,5,Pcw7.2_s1_Thigh_LowerLimb,Pcw7.2_s1,2.000305652618408,0.4300483152805266,13.034360024375212,9.99950002499875e-05,True,True
PrehyperChon,5,Pcw7.2_s2_Thigh_LowerLimb,Pcw7.2_s2,1.921096682548523,0.424727134568495,12.666596902207438,9.99950002499875e-05,True,True
PrehyperChon,5,Pcw9.0_s1_Thigh_LowerLimb,Pcw9.0_s1,2.7774949073791504,0.4796520320749212,16.213465844217815,9.99950002499875e-05,True,True
PrehyperChon,5,Pcw9.0_s2_Thigh_LowerLimb,Pcw9.0_s2,2.586344957351685,0.4602402869028456,15.736748589191572,9.99950002499875e-05,True,True
PrehyperChon,5,Pcw6.1_s1_Middle_UpperLimb,Pcw6.1_s1,1.8649412393569944,0.4553579733845956,11.467919230558431,9.99950002499875e-05,True,True
PrehyperChon,5,Pcw6.1_s2_Middle_UpperLimb,Pcw6.1_s2,1.9955952167510984,0.461207985032869,12.124003601404358,9.99950002499875e-05,True,True
HyperChon,6,Pcw9.0_s2_Thigh_LowerLimb,Pcw9.0_s2,1.671872615814209,0.4362594866794214,10.746101851012552,9.99950002499875e-05,True,True
