gene_set,n_gene_set,observed,null_mean,null_sd,z,p_value,detection_limit_delta,delta_observed,matching,above_detection_limit
PanelApp 309,355,0.387400852313168,0.4057168245203119,0.0258950035876725,-0.7073168437738062,0.4467766116941529,0.0725060100454831,-0.0183159722071439,expr_rank_med+laenge+log_pub,False
Nosology (core),154,0.4114916315965127,0.4138387473002112,0.0391130837582124,-0.0600084544140741,0.9795102448775612,0.1095166345229947,-0.0023471157036985,expr_rank_med+laenge+log_pub,False
Nosology (broad),539,0.379873867822009,0.4039957084922208,0.020931710973066,-1.1524065424585088,0.2458770614692653,0.0586087907245848,-0.0241218406702118,expr_rank_med+laenge+log_pub,False
short stature,1129,0.391439934859597,0.4060897045625353,0.0146432482843827,-1.000445353273326,0.3308345827086456,0.0410010951962716,-0.0146497697029382,expr_rank_med+laenge+log_pub,False
height GWAS,5649,0.390475384762369,0.395150991992818,0.0057647885856516,-0.8110630877403608,0.353823088455772,0.0161414080398246,-0.004675607230449,expr_rank_med+laenge+log_pub,False
cell cycle (neg. control),1296,0.4640252577582872,0.4117608971018073,0.0140641562368031,3.7161390826784313,0.000999500249875,0.0393796374630489,0.0522643606564799,expr_rank_med+laenge+log_pub,True
programme (173 genes),147,1.135480222821935,0.4033724058409411,0.0404414259885645,18.10291796308096,0.000999500249875,0.1132359927679806,0.7321078169809938,expr_rank_med+laenge+log_pub,True
