gene_map,dataset_id,dataset,arm,n_genes_measurable,calibration_z_filed,calibration_passed_filed,calibration_status_filed,own_marker_set,other_marker_set,undifferentiated_contrast,undifferentiated_z,undifferentiated_detection_limit,undifferentiated_status,own_axis_contrast,own_axis_z,own_axis_status,other_axis_contrast,other_axis_z,other_axis_status,module_concordance,module_z,module_detection_limit,module_n,step_i_leaves_undifferentiated,step_ii_lineage_reached,step_iii_module_above_limit,verdict
full,18,RB1-del isogenic (GSE145235),osteogenic,16264,1.3940276069622757,False,ok,Osteogenic,Adipogenic,-1.4193901906732969,-3.5059875316495868,1.1348213515154268,ok,0.4675699098515999,1.3940276069622757,ok,0.1861793715238025,0.5809658025110578,ok,0.9766081871345028,12.29737474124009,0.6154354907688494,171.0,True,False,True,decomposition confirmed
filtered,1,"LAMA5-KO, chondrogenic (E-MTAB-16566)",chondrogenic,11529,2.674449558579953,True,ok,Chondrogenic,Adipogenic,-1.2224887565021718,-2.14811410933461,1.5928360071402003,ok,1.9443772779561888,2.645236070194897,ok,-0.8984681850720347,-1.5233860829115529,ok,0.9386503067484664,11.004848100488973,0.6155134728762695,163.0,True,True,True,"decoupling, the other case (lineage reached)"
filtered,2,"LAMA5-KO, osteogenic (E-MTAB-16566)",osteogenic,11529,-0.2064745913203871,False,ok,Osteogenic,Adipogenic,-1.266882625068008,-2.33132775290618,1.5195427688547858,ok,0.0830024839676017,0.1636947963338943,ok,0.6637014255099221,1.1791159110822458,ok,0.950920245398773,11.400013440877425,0.6101659797683696,163.0,True,False,True,decomposition confirmed
filtered,3,FN1 C123R (GSE251698),chondrogenic,11579,0.7110591257456714,False,ok,Chondrogenic,Adipogenic,0.030095384923501,0.067567617648037,1.301716872390793,ok,0.1508111482517136,0.245578695321401,ok,-0.7877319991894007,-1.6222436442995118,ok,1.0,12.798465683606894,0.6256131816989474,173.0,False,False,True,not decomposable
filtered,4,FN1 C231W (GSE251698),chondrogenic,11579,0.4201054207211432,False,ok,Chondrogenic,Adipogenic,0.1078476201171562,0.2106921639583619,1.4355683727563835,ok,0.0830361258564399,0.1231647613590195,ok,-0.9321206848810404,-1.7464545439949757,ok,1.0,12.798465683606894,0.6256131816989474,173.0,False,False,True,not decomposable
filtered,5,"SERPINA3-KD, chondrogenic (GSE247491)",chondrogenic,2275,,False,too few genes,Chondrogenic,Adipogenic,,,,too few genes,,,too few genes,,,too few genes,1.0,5.252155437733982,0.7752563263266081,29.0,False,False,True,not decomposable
filtered,6,MIR181A1HG-KD (GSE184087),osteogenic,11555,-0.6948337415253439,False,ok,Osteogenic,Adipogenic,-1.129491344649154,-2.41274923967172,1.3137815156731034,ok,-0.0460671652156207,-0.1144483319958577,ok,1.180521173361191,2.4293960936040917,ok,0.9705882352941176,12.158090992881238,0.6159871286775684,170.0,True,False,True,decomposition confirmed
filtered,7,LINC01638-KD (GSE227512),osteogenic,10169,-0.3189921901136188,False,ok,Osteogenic,Adipogenic,-1.2195906382798738,-2.8799444685300446,1.1869112168461828,ok,0.0367971742815581,0.0940942864764931,ok,1.32596076403448,2.883893679976731,ok,0.9777777777777776,11.351203054026596,0.6121169222346029,135.0,True,False,True,decomposition confirmed
filtered,8,ARSB / MPS VI (GSE218101),chondrogenic,11519,0.8263015012108242,False,ok,Chondrogenic,Adipogenic,-0.5077684237438621,-0.9265928105893017,1.5551471963482555,ok,0.0539867292304543,0.0849611405734919,ok,-0.3526550426781593,-0.622723705920341,ok,0.8047337278106509,8.084964153597172,0.6019155869486902,169.0,False,False,True,not decomposable
filtered,9,ACVR1 / FOP (GSE221128),chondrogenic,11554,1.9012222217326216,False,ok,Chondrogenic,Adipogenic,-0.9741218941378172,-2.622695390873396,1.0381050940678334,ok,0.9558018132606232,1.957733761671872,ok,0.2486191605647418,0.6471969801427044,ok,0.9161676646706588,10.239901742897224,0.6272781764791493,167.0,True,False,True,decomposition confirmed
filtered,10,RNF4-KD (GSE205432),osteogenic,11578,-0.8324970528892498,False,ok,Osteogenic,Adipogenic,0.1721474273601935,0.6171097001309636,0.7664468133314767,ok,-0.2278966753634748,-0.9016424658391408,ok,0.3874555466910901,1.3659604261389269,ok,0.9248554913294798,11.30119727741911,0.5992854481462122,173.0,False,False,True,not decomposable
filtered,11,RB1 +/- (GSE245585),osteogenic,11125,-1.0295292584886364,False,ok,Osteogenic,Adipogenic,-0.4511206122481848,-0.95349628437032,1.306311655768483,ok,-0.6015632477189131,-1.3085371958431342,ok,1.5222659910383325,3.164615443641414,ok,0.8855421686746988,8.128288023682671,0.6866656591088596,166.0,False,False,True,not decomposable
filtered,12,Nonunion (GSE226565),osteogenic,11509,-0.5743634065761964,False,ok,Osteogenic,Adipogenic,-0.6013677162212476,-2.6475181637889973,0.6371064267131442,ok,0.1597037293102665,0.7357817749458272,ok,0.3400466203514766,1.443914066323131,ok,0.9349112426035504,13.097688169352676,0.549543146614699,169.0,True,False,True,decomposition confirmed
filtered,13,"SERPINA3-KD, osteogenic (GSE247528)",osteogenic,2284,-0.7738569627300452,False,ok,Osteogenic,Adipogenic,,,,too few genes,,,too few genes,,,too few genes,1.0,5.476338378976463,0.7559500559057548,31.0,False,False,True,not decomposable
filtered,14,ERCC6L2-KD (GSE190542),osteogenic,11477,2.129879164564556,True,ok,Osteogenic,Adipogenic,-0.8467528085081476,-2.0920563837253,1.1283509450195706,ok,0.9271248769035384,2.441365438956738,ok,0.0651519623655113,0.1608482773584462,ok,0.9707602339181286,12.544193394496698,0.6040400420345821,171.0,True,True,True,"decoupling, the other case (lineage reached)"
filtered,15,TP53 LFS (GSE102732),osteogenic,11572,-0.3309129858872808,False,ok,Osteogenic,Adipogenic,-1.1353970199571493,-3.155820089065706,1.0011783752749162,ok,0.6495261259760128,1.9164840477087728,ok,0.3607393788894009,0.9836603645443168,ok,0.9364161849710982,11.271600665020266,0.6219801173577771,173.0,True,False,True,decomposition confirmed
filtered,16,YAP/TAZ-KD (GSE137035),osteogenic,11183,0.2552859191395392,False,ok,Osteogenic,Adipogenic,0.0620000863017539,0.2499861375975765,0.6864703709959831,ok,0.0431409653629074,0.178713884293759,ok,-0.0206285729879945,-0.0772997788613456,ok,0.7323943661971831,5.522098118694484,0.6188026324704132,142.0,False,False,True,not decomposable
filtered,17,RB1-mut isogenic (GSE145235),osteogenic,11573,1.926869163048835,False,ok,Osteogenic,Adipogenic,-1.7235904729313374,-3.868920595598395,1.2472549148922587,ok,1.2020716332353034,2.771113524873952,ok,0.4820193786981702,1.0500702843518457,ok,0.9710982658959536,12.44596321965514,0.5991597521635019,173.0,True,True,True,"decoupling, the other case (lineage reached)"
filtered,18,RB1-del isogenic (GSE145235),osteogenic,11578,1.3940276069622757,False,ok,Osteogenic,Adipogenic,-1.46706433431058,-3.086983848863743,1.3348225770206243,ok,0.8086951374385487,1.7880743855670762,ok,0.3705579184417967,0.7502415217601709,ok,0.9766081871345028,12.29737474124009,0.6154354907688494,171.0,True,False,True,decomposition confirmed
